ID,ContinentID,ParentAreaID,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,ZoneMusic,IntroSound,ExplorationLevel,AreaName_lang,FactionGroupMask
59,0,12,159,64,0,11,35,1,0,-1,Northshire Vineyards,0
61,0,12,160,64,0,11,35,1,0,-1,Thunder Falls,0
63,0,12,162,64,0,11,35,1,0,6,The Stonefield Farm,0
65,0,0,164,68,0,11,0,0,0,-1,***On Map Dungeon***,0
66,1,0,165,68,0,11,0,0,0,-1,***On Map Dungeon***,0
69,0,44,167,64,0,11,0,1,0,15,Lakeshire,0
70,0,44,168,64,0,11,0,1,0,24,Stonewatch,0
72,0,4,169,64,0,11,210,7,0,-1,Dark Portal,0
74,0,8,171,64,0,11,0,0,0,-1,Pool of Tears,0
75,0,8,172,64,0,11,0,0,0,-1,Stonard,0
76,0,8,173,64,0,11,0,0,0,-1,Fallow Sanctuary,0
80,0,12,175,64,0,11,35,17,0,10,Stormwind Mountains,0
82,0,22,176,64,0,11,0,0,0,-1,Jeff NW Quadrant,0
85,0,0,179,64,0,11,40,2,0,-1,Tirisfal Glades,0
86,0,12,180,64,0,11,35,1,0,0,Stone Cairn Lake,0
88,0,12,181,64,0,11,35,1,0,6,Eastvale Logging Camp,0
89,0,12,182,64,0,11,35,1,0,-1,Mirror Lake Orchard,0
91,0,12,183,64,0,11,35,1,0,8,Tower of Azora,0
94,0,10,184,64,0,11,0,2,0,24,Raven Hill,0
95,0,44,185,64,0,11,0,1,0,20,Redridge Canyons,0
96,0,44,186,64,0,11,0,1,0,25,Tower of Ilgalar,0
97,0,44,187,64,0,11,0,1,0,19,Alther's Mill,0
99,0,33,189,64,0,11,0,3,0,0,Rebel Camp,0
101,0,33,190,64,0,11,0,3,0,0,Kurzen's Compound,0
103,0,33,191,64,0,11,0,3,0,0,Ruins of Zul'Mamwe,0
104,0,33,192,64,0,11,0,3,0,0,The Vile Reef,0
105,0,33,193,64,0,11,0,3,0,0,Mosh'Ogg Ogre Mound,0
106,0,33,194,64,0,11,0,3,0,-1,The Stockpile,0
107,0,40,195,64,0,11,0,9,0,0,Saldean's Farm,0
108,0,40,196,64,0,11,0,9,0,0,Sentinel Hill,0
115,0,40,199,64,0,11,24,9,0,0,Westfall Lighthouse,0
116,0,8,200,64,0,11,0,0,0,-1,Misty Valley,0
118,0,11,201,64,0,11,0,3,0,22,Whelgar's Excavation Site,0
121,0,10,202,64,0,11,0,15,0,28,Tranquil Gardens Cemetery,0
122,0,33,203,64,0,11,0,3,0,0,Zuuldaia Ruins,0
123,0,33,204,64,0,11,0,3,0,0,Bal'lal Ruins,0
125,0,33,205,64,0,11,0,3,0,0,Kal'ai Ruins,0
126,0,33,206,64,0,11,0,3,0,-1,Tkashi Ruins,0
127,0,33,207,64,0,11,0,3,0,0,Balia'mah Ruins,0
128,0,33,208,64,0,11,0,3,0,0,Ziata'jai Ruins,0
129,0,33,209,64,0,11,0,3,0,0,Mizjah Ruins,0
132,0,1,212,64,0,11,0,0,0,0,Coldridge Valley,0
133,0,1,213,64,0,11,42,8,0,10,Gnomeregan,0
134,0,1,214,64,0,11,0,8,0,10,Gol'Bolar Quarry,0
135,0,1,215,64,0,11,0,8,0,0,Frostmane Hold,0
136,0,1,216,64,0,11,0,0,0,5,The Grizzled Den,0
137,0,1,217,64,0,11,0,8,0,7,Brewnall Village,0
141,1,0,220,64,0,11,48,11,0,-1,Teldrassil,0
142,0,38,221,64,0,11,0,1,0,15,Ironband's Excavation Site,0
143,0,38,222,64,0,11,0,1,0,18,Mo'grosh Stronghold,0
144,0,38,223,64,0,11,0,1,0,10,Thelsamar,0
145,0,38,224,64,0,11,0,1,0,18,Algaz Gate,0
146,0,38,225,64,0,11,230,1,0,15,Stonewrought Dam,0
147,0,38,226,64,0,11,0,1,0,15,The Farstrider Lodge,0
150,0,11,229,64,0,11,0,3,0,20,Menethil Harbor,0
152,0,85,230,64,0,11,0,2,0,0,The Bulwark,0
154,0,85,231,64,0,11,0,15,0,0,Deathknell,0
155,0,85,232,64,0,11,0,2,0,-1,Night Web's Hollow,0
158,0,85,235,64,0,11,0,15,0,-1,Agamand Family Crypt,0
159,0,85,236,64,0,11,0,15,0,5,Brill,0
160,0,85,237,64,0,11,0,2,0,12,Whispering Gardens,0
161,0,85,238,64,0,11,0,2,0,0,Terrace of Repose,0
162,0,85,239,64,0,11,0,2,0,7,Brightwater Lake,0
164,0,85,241,64,0,11,0,2,0,7,Garren's Haunt,0
165,0,85,242,64,0,11,0,15,0,5,Balnir Farmstead,0
166,0,85,243,64,0,11,0,2,0,5,Cold Hearth Manor,0
168,0,85,245,64,0,11,0,2,0,8,The North Coast,0
170,0,0,246,64,0,11,31,2,0,-1,Lordamere Lake,0
172,0,130,247,64,0,11,0,2,0,18,Fenris Isle,0
189,0,1,249,64,0,11,0,8,0,5,Steelgrill's Depot,0
190,0,28,250,64,0,11,0,0,0,-1,Hearthglen,0
193,0,28,252,64,0,11,0,15,0,-1,Ruins of Anderhol,0
195,0,28,253,64,0,11,0,0,0,-1,School of Necromancy,0
197,0,28,254,64,0,11,0,0,0,-1,Sorrow Hill,0
198,0,28,255,64,0,11,0,0,0,-1,The Weeping Cave,0
199,0,28,256,64,0,11,0,0,0,-1,Felstone Field,0
200,0,28,257,64,0,11,0,0,0,-1,Dalson's Tears,0
201,0,28,258,64,0,11,0,0,0,-1,Gahrron's Withering,0
202,0,28,259,64,0,11,0,10,0,-1,The Writhing Haunt,0
203,0,28,260,64,0,11,0,0,0,-1,Mardenholde Keep,0
205,0,11,262,64,0,11,0,191,0,28,Dun Modr,0
206,36,0,263,64,0,11,47,9,0,-1,Westfall,0
207,36,0,264,64,0,11,0,9,0,-1,The Great Sea,0
208,36,0,265,64,76,11,34,0,0,-1,Unused Ironcladcove,0
209,33,0,266,0,0,11,28,2,0,16,Shadowfang Keep,0
210,36,0,267,68,0,11,0,0,0,-1,***On Map Dungeon***,0
212,0,1,269,64,0,11,0,8,0,8,Helm's Bed Lake,0
251,0,46,2,64,0,11,0,0,0,-1,Flame Crest,0
252,0,46,3,64,0,11,0,0,301,-1,Blackrock Stronghold,0
253,0,46,4,64,0,11,0,0,0,-1,The Pillar of Ash,0
255,0,46,5,64,0,11,0,10,0,-1,Altar of Storms,0
256,1,141,6,64,0,11,0,11,0,-1,Aldrassil,0
257,1,141,7,64,0,11,0,11,0,-1,Shadowthread Cave,0
258,1,141,8,64,0,11,0,11,0,-1,Fel Rock,0
259,1,141,9,64,0,11,0,11,0,5,Lake Al'Ameth,0
260,1,141,10,64,0,11,0,11,0,6,Starbreeze Village,0
262,1,141,12,64,0,11,0,11,0,-1,Ban'ethil Barrow Den,0
263,1,141,13,64,0,11,0,0,0,-1,The Cleft,0
264,1,141,14,64,0,11,0,11,0,9,The Oracle Glade,0
265,1,141,15,64,0,11,0,0,0,0,Wellspring River,0
266,1,141,16,64,0,11,0,0,0,9,Wellspring Lake,0
267,0,0,17,64,0,11,31,1,0,-1,Hillsbrad Foothills,0
269,0,0,18,64,0,11,31,0,0,18,Dun Algaz,0
272,0,267,19,64,0,11,0,1,0,20,Tarren Mill,0
275,0,267,20,64,0,11,0,1,0,21,Durnholde Keep,0
278,0,36,22,64,0,11,0,1,301,32,Lordamere Internment Camp,0
279,0,36,23,64,0,11,0,0,81,30,Dalaran,0
281,0,36,25,64,0,11,37,10,301,36,Ruins of Alterac,0
282,0,36,26,64,0,11,37,10,0,0,Crushridge Hold,0
283,0,36,27,64,0,11,37,10,0,0,Slaughter Hollow,0
284,0,36,28,64,0,11,0,1,0,0,The Uplands,0
285,0,267,29,64,0,11,0,2,0,0,Southpoint Tower,0
286,0,267,30,64,0,11,0,1,0,22,Hillsbrad Fields,0
287,0,267,31,64,0,11,0,1,0,-1,Hillsbrad,0
288,0,267,32,64,0,11,0,0,301,0,Azurelode Mine,0
290,0,267,34,64,0,11,0,1,0,0,Dun Garok,0
293,0,0,35,64,0,11,31,1,0,30,Thoradin's Wall,0
294,0,267,36,64,0,11,0,1,0,30,Eastern Strand,0
297,0,33,38,64,0,11,0,0,0,0,Jaguero Isle,0
298,0,11,39,64,0,11,0,3,0,-1,Baradin Bay,0
299,0,11,40,64,0,11,0,0,0,-1,Menethil Bay,0
300,0,8,41,64,0,11,0,0,0,-1,Misty Reed Strand,0
301,0,33,42,64,0,11,0,3,0,-1,The Savage Coast,0
303,0,33,43,64,0,11,0,0,0,-1,Shell Beach,0
309,0,11,47,64,0,11,0,9,0,24,Ironbeard's Tomb,0
310,0,33,48,64,0,11,0,0,0,0,Crystalvein Mine,0
312,0,33,49,64,0,11,0,0,0,0,Janeiro's Point,0
314,0,45,50,64,0,11,0,0,301,33,Go'Shek Farm,0
316,0,45,51,64,0,11,31,0,0,35,Boulderfist Hall,0
318,0,45,52,64,0,11,0,0,0,-1,Drywhisker Gorge,0
320,0,45,53,64,0,11,0,0,123,30,Refuge Pointe,0
324,0,45,56,64,0,11,0,186,182,36,Stromgarde Keep,0
325,0,45,57,64,0,11,0,0,0,-1,The Tower of Arathor,0
326,0,45,58,64,0,11,0,0,0,-1,The Sanctum,0
327,0,45,59,64,0,11,0,3,0,-1,Faldir's Cove,0
