ID,DisplayRaceID,DisplaySexID,SkinID,FaceID,HairStyleID,HairColorID,FacialHairID,NPCItemDisplay[0],NPCItemDisplay[1],NPCItemDisplay[2],NPCItemDisplay[3],NPCItemDisplay[4],NPCItemDisplay[5],NPCItemDisplay[6],NPCItemDisplay[7],NPCItemDisplay[8],NPCItemDisplay[9],BakeName
122,2,0,0,8,2,0,1,0,0,11481,0,8135,8175,7782,0,0,0,197986c122efda4ca209e4e7e4ca5dde.blp
126,2,1,5,4,7,5,4,0,0,11141,0,7709,7767,0,0,11905,0,b6307a9aa1131334eec9f9e3583b03a8.blp
127,2,0,5,7,5,1,1,0,0,11906,0,10087,10114,10115,2118,0,0,130144ec29d80a246e829969b94702aa.blp
128,2,0,4,5,1,0,2,0,0,9175,0,8157,7781,7782,0,0,0,ee59ca22cab216808cb28dc4ce3500e5.blp
131,2,0,6,4,3,3,3,0,0,7811,0,9525,10114,10115,0,0,0,38199c9e2ec1566b7e26cd04839475b3.blp
132,2,0,3,2,5,5,4,0,0,11481,0,8157,7781,9173,0,0,0,bb0d36eece168ce9b964890a1240ce27.blp
133,3,0,1,2,1,0,1,0,0,0,3265,4300,1882,4463,5578,5579,0,8ae889f3e4dccc42195dfaa38ae1f81.blp
135,3,0,1,2,0,3,7,15917,0,5624,0,5588,5589,14913,0,0,0,a0b1d915ab680deb81dc40c34f1d42c6.blp
136,1,0,0,0,1,0,8,0,0,6177,0,3872,5782,5594,6178,6179,0,413ef640767025a8fb09ebceb9a47bb3.blp
137,1,0,2,7,1,5,3,5599,0,5597,0,5457,5236,5598,0,0,0,34474dc51474e89b2a88f45ec9a94.blp
138,1,1,1,5,3,2,0,0,0,5600,5334,0,5601,6005,0,0,0,7fa7ae526dd0b1f358b60df12f03617.blp
140,3,0,0,7,0,5,8,0,5608,5604,0,0,5605,3715,0,5606,0,ca3afc3192e4336c66ccbf1967dae47d.blp
142,5,0,1,9,0,1,0,0,0,8300,0,8805,8301,11031,0,0,0,7871d4204106ab458d75ab6653c5244c.blp
143,3,0,1,0,0,3,9,0,0,3552,0,0,2610,3261,0,0,0,b23ca85143187a37c173cbb2f43e0802.blp
144,3,0,2,9,1,4,4,15907,0,5315,0,0,5443,2486,0,0,0,b2e0c1178986dff88adb3ae7e4f7251d.blp
145,3,0,8,1,0,5,0,15298,0,0,5625,4882,5626,0,0,0,0,f817bde352e5e857c32d002b25afae.blp
147,1,0,4,2,7,7,3,0,0,5467,0,0,5469,5470,0,5472,0,b46efe0c232e096c6c719bb953e543d3.blp
148,3,0,3,2,0,1,0,15907,0,5631,0,0,5632,5633,0,5634,0,e3c12b57b2abb0bacf399ece537f4c0d.blp
149,3,1,1,6,10,8,0,0,0,5343,0,5344,1818,4586,0,0,0,94d1b156acb3e30ee8e9075189b43717.blp
150,3,0,2,4,6,5,8,0,0,13928,0,8350,9505,5380,0,0,0,698ef8466173eeef65fe91ac242fc0fb.blp
151,1,0,3,1,10,3,5,3047,0,3552,0,0,5346,2496,3897,0,0,232603e7178f079a40459a6958fddfdf.blp
153,3,0,6,8,7,4,6,0,0,5298,5299,4335,5300,5301,0,5302,0,a89323abdb09f5b093341b7a87bf397.blp
154,3,1,2,1,4,1,0,0,0,5653,0,4878,5652,14925,0,0,0,89c751d85809b7f5613248edb2810bf8.blp
155,1,0,7,8,8,4,1,0,0,4588,0,0,5654,945,0,0,0,76e178649a973f38913ac8e0cd0c9d20.blp
159,3,0,2,2,1,1,10,15311,0,12159,12160,8431,5602,12161,0,0,0,4b2bfcdfaf53ad6ee4438107d65ee9e4.blp
162,2,0,6,6,1,3,4,0,5676,0,5673,3418,3414,5674,0,5675,0,7b655f85bfdaa55cdae909d05ee00a1b.blp
163,1,1,4,4,8,6,0,5677,10511,0,10512,9495,9132,5354,0,10513,0,a24b62f6409363e1c07e9eaec37f7068.blp
165,1,0,1,9,3,1,2,0,0,10834,10860,5845,2201,2204,0,0,0,c7999623728e27268d744bd9ee788d33.blp
168,1,0,3,7,4,2,1,0,0,1817,0,5865,7182,9780,0,0,0,43e5a3019e626cf4db84f9c4de6f21cd.blp
169,1,1,0,2,4,5,1,0,0,9774,0,6062,7587,8268,0,0,0,92cf34d21e36cee54b1533b3ed69789e.blp
170,1,0,3,10,8,9,4,0,0,11794,10719,6062,3173,4272,0,0,0,ca29f276775ba8844b568ca559fb68b2.blp
171,1,0,7,9,3,0,5,0,0,9782,5440,7519,7520,8959,0,0,0,2ab6d0805ec104ea3d2bd74c6fbea4fd.blp
172,1,1,7,12,6,0,0,0,0,11227,5440,5725,5726,11967,0,0,0,4b7de68a2a50c6b9a2460352e852f673.blp
173,1,1,2,0,3,5,1,0,0,5710,0,4905,6074,5370,0,0,0,8185be8e2cec4f982890f212f292823d.blp
174,1,0,2,8,8,8,4,3215,0,9781,0,5873,5874,5875,0,0,0,84c8e094abd82110d1f3db788e8a3bb0.blp
175,1,1,2,4,4,2,1,0,0,7621,0,7519,6074,7029,0,0,0,a8f2ff972d6462631fa3efd51b1b8a21.blp
176,1,0,4,9,2,9,7,3047,0,5715,0,5361,4365,4921,0,0,0,6fb9c3e1d3dee4c5f8f961f21c0e764d.blp
177,1,0,5,7,1,1,0,0,0,4299,0,5361,4617,4921,0,0,0,98625943d7cbd40c2523bcac5c3555e7.blp
178,1,1,4,10,7,1,3,0,0,5722,0,4954,4365,4921,0,0,0,4a93eec1dd5f719313bfb5303a1f7d86.blp
179,1,0,0,3,5,4,2,0,0,2317,0,8072,3173,9675,0,0,0,e9a8cf07bb8c883f47900773e36ebb22.blp
180,1,1,2,8,5,3,0,0,0,6073,9458,6062,8974,6063,0,0,0,429c01fb8ffc4d141f781af81b1d2fd5.blp
181,1,1,2,11,16,1,2,0,0,13463,0,9748,13464,9750,0,0,0,af2aa4ecc8533742d32434e433f40ebb.blp
182,1,0,3,11,11,3,6,0,0,13465,0,9748,9749,9750,0,0,0,459f7d782cffa708bb24572973e05779.blp
183,1,1,3,8,9,4,5,0,0,9563,0,8344,6865,8351,0,0,0,7fdb000f178ed202ea15118cfd520b2d.blp
184,1,0,2,0,0,1,2,0,0,13209,1019,4574,4469,8354,0,0,0,5e30c0f1a0ba795c55a83252603f4aa.blp
185,1,0,1,2,7,0,1,0,0,9779,0,8958,7080,7056,0,0,0,81d73c5e407e288884e1439ccfe8d81b.blp
186,1,0,3,8,1,2,4,0,0,5802,10849,3696,2610,5380,0,0,0,888e9ff5fcc352fa5461ab6f62679b62.blp
187,1,1,3,5,7,2,3,0,0,12223,10719,5734,5735,5736,0,0,0,fa40636915f07f68f3208e4d687f22a3.blp
188,1,0,1,4,1,5,7,0,0,5741,5440,6121,5874,6063,0,0,0,80d5fc7cf0ea2b26e0ef2999c3ac01bb.blp
189,1,1,2,1,10,5,0,0,0,5738,5440,5739,8974,5875,0,0,0,aa3ccb58517c3b2499137f0d277fc651.blp
190,1,1,1,9,11,0,4,0,0,10038,0,8958,6074,5744,0,0,0,9302dbc83a7125bc7ff554b2410bc325.blp
191,1,0,3,0,5,0,1,0,0,5872,5440,5873,5874,5875,0,0,0,2a8627bc9ab04c8c20080c1bdbf56be.blp
193,1,1,0,14,2,0,0,0,4488,12266,0,5759,5760,5761,0,14972,0,658dec6d90b31087cf1233056fcbf534.blp
194,1,1,2,2,4,3,1,0,0,13212,0,5716,11458,11936,0,0,0,d2e27b3487cafffca6758de8e63cee0a.blp
195,1,0,1,9,8,7,4,5767,13180,13179,0,10501,10794,9573,0,0,0,21a408a0e1408e964cea2392d2d33c0.blp
198,1,1,1,7,5,0,4,0,0,13245,0,6071,6074,3757,0,0,0,7aad9d03f0270cc6b4fbed1af8cd4e06.blp
199,1,1,2,2,14,3,1,0,5762,5781,0,0,5765,3757,0,5268,0,6e06e2fd3408238661dc0071db27f.blp
200,1,0,1,6,3,8,1,0,0,4637,5440,6121,5782,5522,0,0,0,64925524abe507768a40c0d1e98ec563.blp
201,1,0,3,0,1,4,6,0,0,10861,11322,4989,5731,4614,0,0,0,8f9df576c182e231166e5b77f39ceae5.blp
202,1,0,0,10,1,0,4,15911,0,5306,0,5832,2185,4272,0,0,0,5d09434d3a8b216b938f1728130d0d1e.blp
203,1,0,9,0,4,0,2,0,0,4640,0,4300,3173,4272,0,0,0,44802dc2a0882a011e5e778c53a5a1e1.blp
204,1,1,1,0,17,5,1,0,5115,5784,0,5368,5785,5786,0,0,0,4f56310d7cfcb2160de9e8c5e34bc99.blp
205,1,0,2,0,1,3,0,0,0,5787,5440,5788,1882,4272,0,0,0,88fb43261f5a50888a6bc1c947affd48.blp
206,1,0,3,3,6,8,5,0,0,5789,5440,6121,2185,4272,0,0,0,d55f565bb0485a2b649ba33399a26ee.blp
207,1,1,1,1,1,5,0,0,0,10476,0,5742,5743,5792,0,0,0,fba053a667cf08c6c6fb4048c5f3c6f.blp
208,1,0,4,8,0,0,2,15293,0,4635,0,5725,5601,5463,0,5268,0,8f1a68f86b1755079eceb87e2773a322.blp
209,1,0,0,7,1,4,7,0,0,5793,5440,4882,4304,4622,0,0,0,7c978c35159487106f17392e8f93ed68.blp
