ID,Name
2565,archimonde
2566,arthas
2577,kel'thuzad
2578,kil'jaeden
2579,lichking
2583,malygos
2584,mannoroth
2585,medivh
2586,neltharion
2587,ner'zhul
2588,nozdormu
2589,orgrim
2590,proudmoore
2591,sargeras
2592,sen'jin
2593,staghelm
2594,stormrage
2595,sylvanas
2596,terenas
2598,tyrande
2599,uther
2600,varimathras
2601,vol'jin
2602,whisperwind
2603,ysera
2604,zul'jin
2608,blizzard
2610,battlenet
2611,warcraft
2621,tigole
2622,Kalgan
3062,jenn
3063,magica
1681,18년
1682,18놈
1683,18새끼
1692,callista
1693,callisto
1695,cesario
1698,donna
1699,dranzor
1701,dulcinea
1703,gfraizer
1704,gm
1705,garona
1706,geoff
1708,guldan
1712,katricia
1715,lothar
1716,malthar
1717,melchor
1719,nebu
1722,pagnus
1723,pyaray
1724,rakdar
1727,thrall
1728,twain
1729,twainm
1730,twainmartin
1733,valkryst
1734,vivendikorea
1735,zazzu
1736,aadham
1737,adham
1738,allenadham
1739,anthony
1742,avila
1744,bearskin
1745,billpetras
1746,billroper
1748,blainewhittle
1751,bpetras
1753,broper
1755,bwhittle
1757,cash
1758,cguerrero
1760,chrismetzen
1762,cmetzen
1768,dabiri
1770,danthony
1773,didier
1777,donnaanthony
1780,eavila
1782,enoyls
1783,ericavila
1792,fpearce
1793,fraizer
1794,frankpearce
1797,gamemaster
1800,geofffraizer
1803,guerrero
1809,jcash
1812,joerumsey
1813,johncash
1814,jrumsey
1815,kern
1821,markkern
1823,metzen
1825,mhein
1826,mikehein
1827,mikemorhaime
1828,mkern
1829,mmorhaime
1830,morhaime
1835,ogre
1838,pardo
1839,paulsams
1840,pearce
1843,petras
1848,psams
1852,robpardo
1853,roper
1854,rpardo
1855,rumsey
1856,samdidier
1857,sams
1861,sdabiri
1862,sdidier
1866,shanedabiri
1886,vivendi
1891,ㄳ
1892,ㅈㄹ
1893,가슴만져
1894,가슴빨아
1895,가슴빨어
1896,가슴조물락
1897,가슴주물럭
1898,가슴쪼물딱
1899,가슴쪼물락
1900,가슴핥아
1901,가슴핥어
1902,가슴핧아
1903,가슴핧어
1904,강간
1905,강간한다
1906,개가튼년
1907,개가튼뇬
1908,개같은년
1909,개걸레
1910,개고치
1911,개너미
1912,개년
1913,개놈
1914,개라슥
1915,개보지
1916,개보지년
1917,개부달
1918,개부랄
1919,개불랄
1920,개붕알
1921,개새끼
1922,개색기
1923,개색끼
1924,개색히
1925,개쓰래기
1926,개쓰레기
1927,개씁년
1928,개씁블
1929,개씁자지
1930,개씨발
1931,개씨발넘
1932,개씨발자슥
1933,개씨블
1934,개인정보보호관리자
1935,개인정보보호책임자
1936,개자슥
1937,개자지
1938,개작두넘
1939,개작두년
1940,개잡년
1941,개잡지랄
1942,개젓가튼넘
1943,개좆
1944,개지랄
1945,개지랄넘
1946,개지랄놈
1947,개후라년
1948,개후라들놈
1949,개후라새끼
1950,걔잡년
1951,걔잡지랄
1952,거시기
1953,걸래년
1954,걸레같은년
1955,걸레년
1956,걸레핀년
1957,게부럴
1958,게임관리자
1959,게임마스터
1960,게지랄놈
1961,겜마
1962,고객지원과장
1963,고객지원팀
1964,고객지원팀장
1965,귀두
1966,그리스도
1967,김일성
1968,김정일
1969,깨쌔끼
1970,꺼져
1971,꼴깝
1972,난자마셔
1973,난자먹어
1974,난자핥아
1975,난자핧아
1976,내꺼빨아
1977,내꺼핥아
1978,내꺼핧아
1979,내미랄
1980,내버지
1981,내씨발
1982,내자지
1983,내잠지
1984,내조지
1985,너거애비
1986,년
1987,놈
1988,뇬
1989,누나강간
1990,뉘마
1991,뉘망
1992,뉘이마
1993,뉘이망
1994,뉘임아
1995,뉘임앙
1996,뉨두라
1997,뉨두랑
1998,뉨둘라
1999,뉨둘아
2000,뉨둘앙
2001,뉨드라
2002,뉨드랑
2003,뉨들아
2004,뉨들앙
2005,뉨아
2006,뉨앙
2007,느그매
2008,늬마
2009,늬망
2010,늬아
2011,늬이마
2012,늬이망
2013,늬임앙
2014,늼두라
2015,늼두랑
2016,늼둘라
2017,늼둘아
2018,늼둘앙
2019,늼드라
2020,늼드랑
2021,늼들아
2022,늼들앙
2023,늼앙
2024,니기미
2025,니마
2026,니망
2027,니미
2028,니미랄
2029,니미럴
2030,니씨브랄
2031,니아범
2032,니애미
2033,니애비
2034,니에미
2035,니에비
2036,니이마
2037,니이망
2038,니임아
2039,니임앙
2040,니할애비
2041,님두라
2042,님두랑
2043,님둘라
2044,님둘아
2045,님둘앙
2046,님드라
2047,님드랑
2048,님들아
2049,님들앙
2050,님아
2051,님앙
2052,닥쳐
2053,닳은년
2054,대가리
2055,덜은새끼
2056,돈년
2057,돈새끼
2058,돌으년
2059,돌은넘
2060,돌은년
2061,돌은새끼
2062,동생강간
2063,뒷치 기
2064,등신
2065,딸딸이
2066,또라이
2067,띠발
2068,띠발뇬
2069,띠불
2070,띠블넘
2071,마리아
2072,마약
2073,막간년
2074,막대쑤셔줘
2075,막대핥아줘
2076,막대핧아줘
2077,말자지
2078,맛간년
2079,맛없는년
2080,맛이간년
2081,망나니
2082,미친구녕
2083,미친구멍
2084,미친넘
2085,미친년
2086,미친놈
2087,미친눔
2088,미친새끼
2089,미친쉐이
2090,미친씨부랄
2091,미티넘
2092,미틴것
2093,미틴넘
2094,바주카자지
2095,발리에서생긴애
2096,밥팅
2097,백보지
2098,버그담당
2099,버그테스터
2100,버그테스트
2101,버따리자지
2102,버지구녕
2103,버지구멍
2104,버지냄새
2105,버지따먹기
2106,버지뚫어
2107,버지뜨더
2108,버지물마셔
2109,버지벌려
2110,버지벌료
2111,버지빨아
2112,버지빨어
2113,버지썰어
2114,버지쑤셔
2115,버지털
2116,버지핥아
2117,버지핧아
2118,버짓물
2119,버짓물마셔
2120,벌창같은년
2121,벵신
2122,병닥
2123,병딱
2124,병신
2125,병신세리
2126,병신셰리
2127,병신씨발
2128,보지
2129,보지구녕
2130,보지구멍
2131,보지녀
2132,보지따먹기
2133,보지뚫어
2134,보지뜨더
2135,보지머리박기
2136,보지물
2137,보지물마셔
2138,보지박어
2139,보지벌려
2140,보지벌료
2141,보지벌리
2142,보지벌리자
2143,보지보지
2144,보지빨아
2145,보지빨어
2146,보지에자지껴
2147,보지에자지너
2148,보지자지
2149,보지정액
2150,보지쥐어짜
2151,보지찌져
2152,보지찢어
2153,보지털
2154,보지털뽑아
2155,보지털어
2156,보지틀래기
2157,보지핥아
2158,보지핥아줘
2159,보지핥어
2160,보지핧아
2161,보지핧아줘
2162,보지핧어
2163,보짓물
2164,보짓물마셔
2165,부랄
2166,부처
2167,북조선
2168,북한
2169,불알
2170,불켜보니누나
2171,불켜보니처제
2172,불켜보니형수
2173,붕신
2174,붕알
2175,붜지
2176,븅신
2177,블리자드
2178,비뱅디
2179,비벤디
2180,비벤디겜마
2181,비벤디고객지원팀
2182,비벤디사장
2183,비벤디코리아
2184,비붼디
2185,비아그라
2186,빙띤
2187,빙신
2188,빙신쉐이
2189,빠가십새
2190,빠가씹새
2191,빠구리
2192,빠굴이
2193,뻑큐
2194,사까시
2195,상년
2196,서버관리자
2197,석가모니
2198,성교
2199,성교하자
2200,성교해
2201,성모마리아
2202,성폭행
2203,섹스
2204,섹스하자
2205,섹스해
2206,소자지
2207,쉐끼
2208,쉬밸년
2209,시댕이
2210,시바
2211,시발
2212,시발년
2213,시발놈
2214,시발새끼
2215,시방새
2216,시스템관리자
2217,시팍새끼
2218,시팔넘
2219,시팔년
2220,시팔놈
2221,시팔새끼
2222,십녀
2223,십버지
2224,십부랄
2225,십부럴
2226,십새
2227,십세이
2228,십셰리
2229,십자석
2230,십자슥
2231,십지랄
2232,십창녀
2233,십탱
2234,십탱구리
2235,십탱굴이
2236,십팔새끼
2237,싸가지
2238,쌍년
2239,쌍놈
2240,쌍보지
2241,쌍쌍보지
2242,쌔끼
2243,쌕스
2244,쌕쓰
2245,썅년
2246,쓰바새끼
2247,쓰발
2248,쓰벌
2249,쓰브랄쉽세
2250,쓰파
2251,씨가랭넘
2252,씨가랭년
2253,씨가랭놈
2254,씨댕
2255,씨댕이
2256,씨뎅
2257,씨발
2258,씨발.년
2259,씨발.놈
2260,씨발년
2261,씨발놈
2262,씨발롬
2263,씨발병신
2264,씨방새
2265,씨방세
2266,씨뱅가리
2267,씨벌
2268,씨벌년
2269,씨벌쉐이
2270,씨부랄
2271,씨부럴
2272,씨불알
2273,씨브럴
2274,씨블
2275,씨블년
2276,씨블새끼
2277,씨븡새끼
2278,씨섹끼
2279,씨파넘
2280,씨팍새끼
2281,씨팍세끼
2282,씨팔
2283,씨퐁
2284,씨퐁넘
2285,씨퐁뇬
2286,씨퐁보지
2287,씨퐁자지
2288,씹년
2289,씹물
2290,씹미랄
2291,씹버지
2292,씹보지
2293,씹부랄
2294,씹브랄
2295,씹빵구
2296,씹뽀지
2297,씹새
2298,씹새끼
2299,씹세
2300,씹쌔끼
2301,씹자석
2302,씹자슥
2303,씹자지
2304,씹지랄
2305,씹창
2306,씹창녀
2307,씹탱
2308,씹탱굴이
2309,씹탱이
2310,씹팔
2311,아가리
2312,알라
2313,애무
2314,애미
2315,애미랄
2316,애미보지
2317,애미씨뱅
2318,애미자지
2319,애미잡년
2320,애미좃물
2321,애비
2322,양귀비
2323,양아치
2324,양키
2325,어미강간
2326,어미따먹자
2327,어미쑤시자
2328,엄창
2329,에미
2330,에비
2331,염병
2332,염병할
2333,염뵹
2334,엿
2335,엿먹어라
2336,영자개새끼
2337,영자새끼
2338,영자씨발놈
2339,예수
2340,예수그리스도
2341,예수님
2342,예수쟁이
2343,오르가즘
2344,왕버지
2345,왕자지
2346,왕잠지
2347,왕털버지
2348,왕털보지
2349,왕털자지
2350,왕털잠지
2351,요년
2352,우미쑤셔
2353,운영실장
2354,운영자
2355,운영진
2356,운영팀장
2357,유두
