ID,SkillID,RaceMask,ClassMask,Flags,MinLevel,SkillTierID,SkillCostIndex
57,6,511,128,16,0,0,0
301,8,511,128,16,0,0,0
107,26,511,1,16,0,0,0
82,38,511,8,16,0,0,0
75,39,511,8,16,0,0,0
80,40,511,8,0,0,0,0
140,43,91,1,0,0,0,0
638,43,164,1,0,0,0,0
328,43,511,398,0,0,0,0
628,44,8,4,0,0,0,0
117,44,166,4,0,0,0,0
629,44,167,1,0,0,0,0
630,44,88,1,0,0,0,0
335,44,511,66,0,0,0,0
126,45,138,4,0,0,0,0
127,45,447,13,0,0,0,0
133,46,36,4,0,0,0,0
134,46,503,9,0,0,0,0
635,46,138,4,0,0,0,0
31,50,511,4,16,0,0,0
39,51,511,4,16,0,0,0
135,54,511,82,0,0,0,0
644,54,32,1024,0,0,0,0
637,54,146,1,0,0,0,0
325,54,511,8,0,0,0,0
643,54,8,1024,0,0,0,0
636,54,109,1,0,0,0,0
125,55,511,6,0,0,0,0
626,55,16,1,0,0,0,0
627,55,495,1,0,0,0,0
58,56,511,16,16,0,0,0
60,78,511,16,16,0,0,0
4,95,511,1535,0,0,0,0
59,96,511,1024,16,0,0,0
40,98,93,1503,0,0,0,0
41,98,162,1503,32,0,21,0
68,101,4,1503,18,0,0,0
48,109,178,1503,0,0,0,0
49,109,77,1503,32,0,21,0
44,111,4,1503,0,0,0,0
45,111,507,1503,32,0,21,0
42,113,8,1503,0,0,0,0
43,113,503,1503,32,0,21,0
50,115,32,1503,0,0,0,0
51,115,479,1503,32,0,21,0
131,118,511,8,18,10,0,0
132,118,511,5,18,20,0,0
105,120,511,256,18,0,0,0
71,124,32,1503,18,0,0,0
70,125,2,1503,18,0,0,0
69,126,8,1503,18,0,0,0
86,129,511,1503,0,0,63,0
54,130,511,128,16,4,0,0
25,134,511,1024,16,10,0,0
138,136,511,1216,0,0,0,0
139,136,511,277,0,0,0,0
91,137,511,1503,32,0,21,0
85,138,511,1503,32,0,21,0
84,139,511,1503,32,0,21,0
93,140,511,1503,32,0,21,0
88,141,511,1503,32,0,21,0
87,148,1,1503,0,0,181,0
441,148,222,1503,0,0,182,0
94,149,2,1503,0,0,181,0
443,149,477,1503,0,0,182,0
92,150,8,1503,0,0,181,0
481,150,215,1503,0,0,182,0
89,152,4,1503,0,0,181,0
442,152,219,1503,0,0,182,0
124,160,511,1024,0,0,0,0
123,160,511,2,0,0,0,0
702,160,511,64,0,0,0,0
624,160,32,1,0,0,0,0
625,160,479,1,0,0,0,0
6,162,511,1535,0,0,0,0
33,163,511,4,16,0,0,0
243,164,511,1503,32,0,41,0
245,165,511,1503,32,0,41,0
241,171,511,1503,32,0,41,0
122,172,511,6,0,0,0,0
622,172,505,1,0,0,0,0
701,172,511,64,0,0,0,0
621,172,6,1,0,0,0,0
631,173,8,4,0,0,0,0
634,173,39,1,0,0,0,0
323,173,511,208,0,0,0,0
129,173,511,264,0,0,0,0
641,173,32,1024,0,0,0,0
642,173,8,1024,0,0,0,0
633,173,216,1,0,0,0,0
632,173,166,4,0,0,0,0
142,176,511,8,0,0,0,0
640,176,383,1,0,0,0,0
639,176,128,1,0,0,0,0
143,176,511,4,0,0,0,0
28,182,511,1503,32,0,2,0
5,183,511,1535,18,0,0,0
63,184,511,2,16,0,0,0
282,185,511,1503,0,0,61,0
29,186,511,1503,32,0,2,0
284,197,511,1503,32,0,62,0
65,198,511,2,16,0,0,0
97,199,511,64,16,0,0,0
244,202,511,1503,32,0,41,0
72,220,16,1503,18,0,0,0
128,226,511,13,0,0,0,0
137,227,511,1029,0,0,0,0
144,228,511,400,0,0,0,0
136,229,511,3,0,40,0,0
55,237,511,128,16,0,0,0
79,238,511,8,16,4,0,0
81,239,511,8,16,0,0,0
76,241,511,8,0,40,0,0
149,242,511,8,16,16,0,0
112,243,511,1,18,0,0,0
111,244,511,1,16,0,0,0
106,245,511,1,16,0,0,0
66,246,511,2,16,0,0,0
26,247,511,1024,16,20,0,0
83,252,511,9,0,0,0,0
74,253,511,8,16,0,0,0
73,254,511,8,16,10,0,0
108,255,511,1,16,0,0,0
109,256,511,1,16,0,0,0
110,257,511,1,16,0,0,0
113,258,511,1,16,10,0,0
38,260,511,4,0,0,0,0
32,261,511,4,0,0,0,0
35,262,511,4,0,0,0,0
36,263,511,4,0,0,0,0
37,264,511,4,0,0,0,0
61,267,511,2,16,0,0,0
62,268,511,2,18,0,0,0
64,269,511,2,16,0,0,0
24,272,511,1024,16,10,0,0
34,273,511,4,0,0,0,0
21,293,511,3,0,40,0,0
46,313,64,1503,0,0,0,0
47,313,447,1503,32,0,21,0
52,315,128,1503,0,0,0,0
53,315,383,1503,32,0,21,0
281,333,511,1503,32,0,62,0
104,353,511,256,18,0,0,0
102,354,511,256,16,0,0,0
101,355,511,256,16,0,0,0
27,356,511,1503,0,0,23,0
95,373,511,64,16,0,0,0
