ID,Continent,Loc[0],Loc[1],Loc[2],AreaName_lang[0]
169,1,-633,-4294,40,Valley of Trials, Durotar
209,1,-7190.949,-3944.6523,9.227391,Gadgetzan, Tanaris
329,1,-5530.2827,-3459.28,-45.74437,Shimmering Flats, Thousand Needles
31,1,-1443.488,1973.3696,85.490715,Ghost Walker Post, Desolace
32,1,237,-4794,10,Razor Hill, Durotar
33,1,1357.1,-4412.01,28.3841,Orgrimmar, Durotar
34,1,-2944,-153,66,Red Cloud Mesa, Mulgore
35,1,6323,514,16,Auberdine, Darkshore
36,1,-1260.01,73.9821,127.69,Thunder Bluff, Mulgore
349,0,323.51263,-2227.1958,137.61746,Aerie Peak, The Hinterlands
38,1,900,435,66,Sun Rock Retreat, Stonetalon
39,1,-4656,-1765,-41,Thousand Needles
70,169,16310.325,16268.939,69.44444,test
89,1,-2174,-346,-5,Bloodhoof Village, Mulgore
90,1,9931.99,2193.67,1328.67,Darnassus, Teldrassil
91,1,9681,954,1292,Dolanaar, Teldrassil
92,1,2634,-630,108,Astranaar, Ashenvale
93,1,10384,817,1318,Aldrassil, Teldrassil
94,0,1883,1622,94,Deathknell, Tirisfal
96,0,1822.61,214.674,60.1402,Undercity, Tirisfal
97,0,519,1588,128,Sepulcher, Silverpine
100,0,-6164,336,400,Anvilmar, Dun Morogh
101,0,-5681,-521,396,Kharanos, Dun Morogh
102,0,-5049.45,-809.697,495.127,Ironforge, Dun Morogh
103,0,-6699,-2198,249,Kargath, Badlands
104,0,-9400,-2033,58,Lakeshire, Redridge
106,0,-9341,171,62,Goldshire, Elwynn
107,0,-9151.98,410.944,92.6966,Stormwind, Elwynn
108,0,-10541,-3317,23,Stonard, Swamp of Sorrows
109,0,-14283,295,32,Booty Bay, Stranglethorn
149,0,-738,-586,22,Southshore, Hillsbrad Foothills
189,1,-3533,-4312,7,Theramore, Dustwallow Marsh
1,0,-9115,423,96,Stormwind
2,0,-9271,-2305,71,Redridge
3,0,-10774,-1189,33,Darkshire, Duskwood
4,0,-10602,1133,39,Sentinel Hill, Westfall
5,0,-5687,-515,398,Dun Morogh
6,0,-5349,-2881,341,Thelsamar, Loch Modan
7,0,-3289,-2436,19,Menethil, Wetlands
8,0,-13290,108,25,Stranglethorn Arena
129,1,8706,965,13.27,Rut'theran Village
249,1,-1082,-3478,64,Ratchet, Barrens
269,37,-448.1886,-1027.863,430.72433,Plains of Snow - Alliance Start
289,0,2349.6084,485.20844,33.3731,Brill, Tirisfal
10,1,-592.60144,-2523.4924,91.78803,Crossroads, Barrens
49,37,-661.52844,-485.30902,385.8879,Plains of Snow - Horde Start
98,0,-19,-980,56,Tarren Mill, Hillsbrad
99,0,-1467,-2624,48,Arathi Highlands
105,0,-8935,-190,81,Northshire, Elwynn
309,1,-4628.1875,3232.3945,38.06856,Feathermoon, Feralas
229,1,-2427,-1823,92,Taurajo, Barrens
310,1,-4439.967,370.15344,51.356552,Camp Mojache, Feralas
