ID,Name,Weaponflags,Bodyflags,Field_0_7_0_3694_004,Flags,Fallback
136,EmoteWorkNoSheathe,0,0,0,1,137
137,EmoteStunNoSheathe,0,0,0,1,138
138,EmoteUseStandingNoSheathe,0,0,0,1,0
0,Stand,8,1,0,0,1
1,Death,0,256,500,0,2
2,Spell,4,256,0,2,3
3,Stop,0,1,10,0,4
4,Walk,8,65,10,0,5
5,Run,8,65,10,0,6
6,Dead,0,257,500,0,7
7,Rise,0,256,0,0,8
8,StandWound,0,296,20,0,9
9,CombatWound,0,296,20,3,10
10,CombatCritical,0,296,20,3,11
11,ShuffleLeft,0,1,0,4,12
12,ShuffleRight,0,1,0,4,13
13,Walkbackwards,0,65,10,0,14
14,Stun,0,256,0,3,15
15,HandsClosed,0,0,0,0,16
16,AttackUnarmed,0,296,20,2,17
17,Attack1H,8,296,20,3,18
18,Attack2H,8,296,20,3,19
19,Attack2HL,8,296,20,1,20
20,ParryUnarmed,0,296,20,1,21
21,Parry1H,0,296,20,0,22
22,Parry2H,0,296,20,0,23
23,Parry2HL,0,296,20,0,24
24,ShieldBlock,0,296,20,1,25
25,ReadyUnarmed,16,256,0,1,26
26,Ready1H,0,256,0,1,27
27,Ready2H,0,256,0,0,28
28,Ready2HL,0,0,0,0,29
29,ReadyBow,16,0,0,3,30
30,Dodge,0,296,20,0,31
31,SpellPrecast,4,264,0,3,32
32,SpellCast,4,256,0,3,33
33,SpellCastArea,4,264,0,2,34
34,NPCWelcome,0,0,0,0,35
35,NPCGoodbye,0,0,0,0,36
36,Block,0,296,0,0,37
37,JumpStart,8,257,10,0,38
38,Jump,0,257,10,0,39
39,JumpEnd,0,257,10,0,40
40,Fall,0,257,10,0,41
41,SwimIdle,0,1,10,2,42
42,Swim,4,257,10,0,43
43,SwimLeft,4,257,10,0,44
44,SwimRight,4,257,10,0,45
45,SwimBackwards,4,257,10,0,46
46,AttackBow,8,256,22,2,47
47,FireBow,8,256,1,2,48
48,ReadyRifle,16,0,0,2,49
49,AttackRifle,0,256,22,2,50
50,Loot,4,256,5,0,51
51,ReadySpellDirected,4,264,20,2,52
52,ReadySpellOmni,4,264,20,2,53
53,SpellCastDirected,4,264,20,2,54
54,SpellCastOmni,4,264,20,2,55
55,BattleRoar,0,264,20,3,56
56,ReadyAbility,0,256,0,2,57
57,Special1H,8,296,20,3,58
58,Special2H,8,296,20,2,59
59,ShieldBash,0,296,20,2,60
60,EmoteTalk,1,256,0,3,61
61,EmoteEat,1,264,0,3,62
62,EmoteWork,1,256,0,3,63
63,EmoteUseStanding,1,256,0,1,64
64,EmoteTalkExclamation,1,256,0,3,65
65,EmoteTalkQuestion,1,256,0,1,66
66,EmoteBow,1,256,0,1,67
67,EmoteWave,1,262,0,1,68
68,EmoteCheer,1,256,0,3,69
69,EmoteDance,1,256,0,1,70
70,EmoteLaugh,1,256,0,3,71
71,EmoteSleep,1,256,0,1,72
72,EmoteSitGround,1,256,0,1,73
73,EmoteRude,1,0,0,1,74
74,EmoteRoar,0,256,0,3,75
75,EmoteKneel,1,256,0,3,76
76,EmoteKiss,1,256,0,1,77
77,EmoteCry,1,256,0,1,78
78,EmoteChicken,1,256,0,3,79
79,EmoteBeg,1,256,0,1,80
80,EmoteApplaud,1,256,0,1,81
81,EmoteShout,1,256,0,3,82
82,EmoteFlex,1,256,0,3,83
83,EmoteShy,1,256,0,1,84
84,EmotePoint,1,256,0,3,85
85,Attack1HPierce,8,296,20,2,86
86,Attack2HLoosePierce,8,296,20,0,87
87,AttackOff,0,296,20,0,88
88,AttackOffPierce,0,296,20,0,89
89,Sheath,1,32,0,0,90
90,HipSheath,1,32,0,0,91
91,Mount,20,256,0,0,92
92,RunRight,0,1,10,0,93
93,RunLeft,0,1,10,0,94
94,MountSpecial,0,257,0,0,95
95,Kick,0,288,20,2,99
99,SleepDown,1,416,0,0,100
100,Sleep,4,256,0,0,101
101,SleepUp,0,288,0,0,102
102,SitChairLow,5,0,0,0,103
103,SitChairMed,5,0,0,0,104
104,SitChairHigh,5,0,0,0,105
105,LoadBow,16,256,20,2,106
106,LoadRifle,16,256,20,2,107
107,AttackThrown,0,256,22,3,108
108,ReadyThrown,16,256,0,2,109
109,HoldBow,0,0,21,2,110
110,HoldRifle,0,0,21,2,111
111,HoldThrown,0,0,21,2,112
112,LoadThrown,16,256,20,2,113
113,EmoteSalute,1,256,0,3,114
114,KneelStart,1,416,0,0,115
115,KneelLoop,0,0,0,0,116
116,KneelEnd,0,288,0,0,117
117,AttackUnarmedOff,0,296,0,0,118
118,SpecialUnarmed,0,296,0,2,119
119,StealthWalk,0,1,0,0,120
120,StealthStand,0,1,0,0,121
121,Knockdown,0,384,50,2,122
122,EatingLoop,0,264,0,2,123
123,UseStandingLoop,4,256,0,2,124
124,ChannelCastDirected,4,256,0,2,125
125,ChannelCastOmni,4,256,0,2,126
126,Whirlwind,0,288,0,2,127
127,Birth,0,256,400,2,128
128,UseStandingStart,1,256,0,2,129
129,UseStandingEnd,0,256,0,2,130
130,CreatureSpecial,0,288,0,2,131
131,Drown,20,256,500,0,132
132,Drowned,0,256,500,0,133
133,FishingCast,8,256,0,2,134
134,FishingLoop,8,256,0,2,135
135,Fly,0,257,0,0,96
96,SitGroundDown,1,416,0,0,97
97,SitGround,0,256,0,0,98
98,SitGroundUp,0,288,0,0,139
139,SpellSleepDown,0,0,0,2,140
140,SpellKneelStart,0,0,0,3,141
141,SpellKneelLoop,0,0,0,2,142
142,SpellKneelEnd,0,0,0,2,0
