ID,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,SkillLine[0],SkillLine[1],PetFoodMask,Name_lang[0],IconFile
24,0.5,1,1.2,70,653,270,48,Bat,
1,0.5,1,1.2,70,208,270,1,Wolf,
2,0.5,1,1.2,70,209,270,3,Cat,
3,0.4,1,0.8,70,203,270,1,Spider,
4,0.5,1,1.2,70,210,270,63,Bear,
5,0.5,1,1.2,70,211,270,63,Boar,
6,0.3,1,0.6,70,212,270,3,Crocilisk,
7,0.5,1,1.1,70,213,270,3,Carrion Bird,
8,0.5,1,1.4,70,214,270,58,Crab,
9,0.5,1,1.2,70,215,270,48,Gorilla,
11,0.4,1,0.8,70,217,270,1,Raptor,
12,0.3,1,0.7,70,218,270,52,Tallstrider,
15,1,1,1,70,189,0,0,Felhunter,
16,0.8,1,0.8,70,204,0,0,Voidwalker,
17,1,1,1,70,205,0,0,Succubus,
19,1,1,1,70,207,0,0,Doomguard,
20,0.5,1,1,70,236,270,1,Scorpid,
21,0.5,1,1.5,70,251,270,48,Turtle,
23,0.5,1,0.5,70,188,270,0,Imp,
25,0.5,1,1.2,70,654,270,33,Hyena,
26,0.5,1,1.2,70,655,270,1,Owl,
27,0.5,1,1.2,70,656,270,14,Wind Serpent,
