ID,Faction,Flags,FactionGroup,FriendGroup,EnemyGroup,Enemies[0],Enemies[1],Enemies[2],Enemies[3],Friend[0],Friend[1],Friend[2],Friend[3]
84,189,2,2,4,0,0,0,0,0,0,0,0,85
85,76,4,4,10,0,0,0,0,76,0,0,0,86
86,46,4,4,2,0,0,0,0,46,0,0,0,87
87,70,8,0,1,0,0,0,0,70,0,0,0,88
88,71,2,2,4,0,0,0,0,71,0,0,0,89
89,56,8,0,1,20,0,0,0,56,0,0,0,90
90,73,8,0,1,0,0,0,0,73,0,0,0,91
91,74,8,0,1,0,0,0,0,74,0,0,0,92
92,75,8,0,1,0,0,0,0,0,0,0,0,93
93,14,8,0,7,0,0,0,0,0,0,0,0,94
94,77,0,8,0,0,0,0,0,0,0,0,0,95
95,78,8,0,1,0,0,0,0,78,0,0,0,96
96,79,2,2,0,0,0,0,0,0,0,0,0,97
97,70,8,0,0,79,0,0,0,70,0,0,0,98
98,68,4,4,10,0,0,0,0,68,0,0,0,99
99,36,8,0,0,0,0,0,0,0,0,0,0,100
100,77,0,0,9,0,0,0,0,0,0,0,0,101
101,77,0,2,4,0,0,0,0,0,0,0,0,102
102,77,0,4,2,0,0,0,0,0,0,0,0,103
103,80,8,0,1,0,0,0,0,80,0,0,0,104
104,81,4,4,2,0,0,0,0,81,0,0,0,105
105,81,4,4,10,0,0,0,0,81,0,0,0,106
106,66,4,4,10,0,0,0,0,0,0,0,0,107
107,33,8,0,1,0,0,0,0,33,0,0,0,108
108,70,0,0,0,79,0,0,0,70,0,0,0,109
109,110,8,0,1,0,0,0,0,110,111,0,0,110
110,110,8,0,1,85,0,0,0,110,0,0,0,111
111,85,8,0,1,0,0,0,0,85,111,0,0,112
112,85,8,0,1,110,0,0,0,85,111,0,0,113
113,40,1,1,0,0,0,0,0,0,0,0,0,114
114,77,0,0,1,0,0,0,0,0,0,0,0,115
115,8,3,2,12,0,0,0,0,0,0,0,0,116
116,9,5,4,10,0,0,0,0,0,0,0,0,118
118,68,4,4,2,0,0,0,0,68,0,0,0,119
119,87,8,0,1,0,0,0,0,87,0,0,0,120
120,21,0,0,0,0,0,0,0,21,0,0,0,121
121,21,0,0,0,0,0,0,0,21,0,0,0,122
122,47,2,2,4,0,0,0,0,0,0,0,0,123
123,72,2,2,4,0,0,0,0,0,0,0,0,124
124,69,2,2,4,0,0,0,0,0,0,0,0,125
125,76,4,4,2,0,0,0,0,76,0,0,0,126
126,81,4,4,2,0,0,0,0,81,0,0,0,127
127,35,0,0,1,0,0,0,0,0,0,0,0,128
128,88,8,0,1,0,0,0,0,88,0,0,0,129
129,89,8,0,1,0,0,0,0,89,0,0,0,130
130,90,8,0,1,0,0,0,0,90,0,0,0,131
131,91,8,0,1,0,0,0,0,91,0,0,0,132
132,92,8,0,1,0,0,0,0,92,0,0,0,133
133,93,8,0,1,0,0,0,0,93,0,0,0,134
134,94,8,0,1,0,0,0,0,94,0,0,0,148
148,72,2,2,4,0,0,0,0,0,0,0,0,149
149,108,2,2,0,0,0,0,0,0,0,0,0,150
150,108,2,2,12,0,0,0,0,108,0,0,0,151
151,108,2,0,4,0,0,0,0,0,0,0,0,152
152,109,8,0,1,0,0,0,0,109,111,0,0,153
153,109,8,0,0,0,0,0,0,109,111,0,0,154
154,111,8,0,1,0,0,0,0,109,85,111,110,168
168,128,0,0,1,0,0,0,0,0,0,0,0,188
188,148,0,8,0,0,0,0,0,148,28,0,0,189
189,7,8,8,0,0,0,0,0,0,0,0,0,190
190,148,0,0,0,0,0,0,0,0,0,0,0,208
208,168,2,2,0,0,0,0,0,168,0,0,0,209
209,168,2,2,0,0,0,0,0,168,0,0,0,210
210,189,2,2,12,0,0,0,0,189,0,0,0,230
230,68,4,0,2,0,0,0,0,0,0,0,0,231
231,40,3,0,8,0,0,0,0,0,0,0,0,232
232,40,5,0,8,0,0,0,0,0,0,0,0,233
233,20,8,0,1,68,0,0,0,20,0,0,0,250
250,40,1,1,8,0,0,0,0,0,0,0,0,270
270,229,8,0,1,0,0,0,0,229,0,0,0,290
290,40,1,7,8,0,0,0,0,0,0,0,0,310
310,249,8,0,1,0,0,0,0,249,0,0,0,311
311,249,8,0,0,0,0,0,0,249,0,0,0,312
312,22,8,0,1,0,0,0,0,22,0,0,0,370
370,269,2,2,12,270,0,0,0,189,0,0,0,371
371,270,2,2,12,269,0,0,0,189,0,0,0,390
390,289,0,0,0,60,0,0,0,289,0,0,0,411
411,310,8,0,1,0,0,0,0,310,0,0,0,470
470,311,8,0,1,0,0,0,0,311,0,0,0,471
471,349,0,0,0,0,0,0,0,349,0,0,0,473
473,349,0,0,0,70,0,0,0,349,0,0,0,474
474,369,0,0,0,0,0,0,0,369,0,0,0,534
534,189,2,2,0,0,0,0,0,0,0,0,0,330
330,229,8,0,0,0,0,0,0,229,0,0,0,495
495,40,1,1,8,0,0,0,0,40,0,0,0,514
514,409,8,0,1,0,0,0,0,409,0,0,0,350
350,88,8,0,0,0,0,0,0,88,0,0,0,410
410,43,8,0,1,0,0,0,0,43,0,0,0,412
412,310,8,0,1,0,0,0,0,310,0,0,0,413
413,309,8,0,1,0,0,0,0,309,0,0,0,414
414,309,8,0,1,0,0,0,0,309,0,0,0,415
415,311,8,0,1,0,0,0,0,311,0,0,0,416
416,311,8,0,0,0,0,0,0,311,0,0,0,430
430,329,0,0,0,0,0,0,0,0,0,0,0,450
450,229,8,0,1,40,0,0,0,229,0,0,0,472
472,70,8,0,1,349,0,0,0,70,0,0,0,475
475,369,0,0,0,0,0,0,0,369,0,0,0,494
494,389,8,0,1,53,0,0,0,389,0,0,0,1
1,1,3,2,12,0,0,0,0,0,0,0,0,2
2,2,5,4,10,0,0,0,0,0,0,0,0,3
3,3,3,2,12,0,0,0,0,0,0,0,0,4
4,4,3,2,12,0,0,0,0,0,0,0,0,5
5,5,5,4,10,0,0,0,0,0,0,0,0,6
6,6,5,4,10,0,0,0,0,0,0,0,0,7
7,7,8,0,0,0,0,0,0,7,0,0,0,10
10,40,3,0,0,0,0,0,0,0,0,0,0,11
11,72,2,2,12,0,0,0,0,0,0,0,0,12
12,72,2,2,4,0,0,0,0,72,0,0,0,14
14,83,8,0,1,0,0,0,0,83,0,0,0,15
15,7,8,0,0,0,0,0,0,7,0,0,0,16
16,14,8,0,1,0,0,0,0,14,0,0,0,17
17,15,8,0,1,0,0,0,0,15,0,0,0,18
18,19,8,0,1,0,0,0,0,19,0,0,0,19
19,17,8,0,1,0,0,0,0,17,0,0,0,20
20,16,8,0,1,0,0,0,0,16,0,0,0,21
21,20,8,0,1,0,0,0,0,20,0,0,0,22
22,22,8,0,1,0,0,0,0,22,0,0,0,23
23,23,8,0,0,0,0,0,0,23,0,0,0,24
24,24,8,0,1,0,0,0,0,24,0,0,0,25
25,25,8,0,0,0,0,0,0,25,0,0,0,26
26,25,8,0,1,0,0,0,0,25,0,0,0,27
27,15,8,0,1,1,0,0,0,15,0,0,0,28
28,26,8,0,1,0,0,0,0,26,0,0,0,29
29,76,4,4,2,0,0,0,0,76,0,0,0,30
30,27,8,0,1,0,0,0,0,27,0,0,0,31
31,28,0,8,0,0,0,0,0,148,28,0,0,32
32,29,8,0,0,28,0,0,0,29,0,0,0,33
33,40,5,0,0,0,0,0,0,0,0,0,0,34
34,15,8,0,0,0,0,0,0,15,0,0,0,35
35,31,0,1,0,0,0,0,0,31,0,0,0,36
36,32,8,0,0,0,0,0,0,32,0,0,0,37
37,33,8,0,1,0,0,0,0,33,0,0,0,38
38,29,8,0,1,28,0,0,0,29,0,0,0,39
39,18,8,0,1,0,0,0,0,18,0,0,0,40
40,34,8,0,1,0,0,0,0,34,0,0,0,41
41,35,8,0,1,36,0,0,0,35,0,0,0,42
42,36,0,1,0,0,0,0,0,36,0,0,0,43
43,35,8,0,0,36,0,0,0,35,0,0,0,44
44,37,8,0,1,0,0,0,0,37,0,0,0,45
45,38,8,0,1,0,0,0,0,38,0,0,0,46
46,39,8,0,1,0,0,0,0,39,0,0,0,47
47,41,8,0,1,0,0,0,0,41,0,0,0,48
48,42,8,0,1,0,0,0,0,42,0,0,0,49
49,43,8,0,1,0,0,0,0,43,0,0,0,50
50,44,8,0,1,0,0,0,0,44,0,0,0,51
51,45,8,0,1,46,40,0,0,45,0,0,0,52
52,46,4,4,10,0,0,0,0,46,0,0,0,53
53,49,2,2,12,0,0,0,0,49,0,0,0,54
54,48,8,0,1,0,0,0,0,48,0,0,0,55
55,47,2,2,4,0,0,0,0,47,0,0,0,56
56,49,0,2,12,0,0,0,0,49,0,0,0,57
57,47,2,2,12,0,0,0,0,0,0,0,0,58
58,7,8,0,0,0,0,0,0,0,0,0,0,59
59,32,8,0,1,0,0,0,0,32,0,0,0,60
60,50,8,0,1,0,0,0,0,50,0,0,0,61
61,51,8,0,1,0,0,0,0,51,0,0,0,62
