ID,School,Category,CastUI,DispelType,Attributes,AttributesEx,AttributesExB,ShapeshiftMask,Targets,TargetCreatureType,RequiresSpellFocus,CasterAuraState,TargetAuraState,CastingTimeIndex,RecoveryTime,CategoryRecoveryTime,InterruptFlags,AuraInterruptFlags,ChannelInterruptFlags,ProcFlags,ProcChance,ProcCharges,MaxLevel,BaseLevel,SpellLevel,DurationIndex,PowerType,ManaCost,ManaCostPerLevel,ManaPerSecond,ManaPerSecondPerLevel,RangeIndex,Speed,ModalNextSpell,CumulativeAura,Totem[0],Totem[1],Reagent[0],Reagent[1],Reagent[2],Reagent[3],Reagent[4],Reagent[5],Reagent[6],Reagent[7],ReagentCount[0],ReagentCount[1],ReagentCount[2],ReagentCount[3],ReagentCount[4],ReagentCount[5],ReagentCount[6],ReagentCount[7],EquippedItemClass,EquippedItemSubclass,Effect[0],Effect[1],Effect[2],EffectDieSides[0],EffectDieSides[1],EffectDieSides[2],EffectBaseDice[0],EffectBaseDice[1],EffectBaseDice[2],EffectDicePerLevel[0],EffectDicePerLevel[1],EffectDicePerLevel[2],EffectRealPointsPerLevel[0],EffectRealPointsPerLevel[1],EffectRealPointsPerLevel[2],EffectBasePoints[0],EffectBasePoints[1],EffectBasePoints[2],ImplicitTargetA[0],ImplicitTargetA[1],ImplicitTargetA[2],ImplicitTargetB[0],ImplicitTargetB[1],ImplicitTargetB[2],EffectRadiusIndex[0],EffectRadiusIndex[1],EffectRadiusIndex[2],EffectAura[0],EffectAura[1],EffectAura[2],EffectAuraPeriod[0],EffectAuraPeriod[1],EffectAuraPeriod[2],EffectAmplitude[0],EffectAmplitude[1],EffectAmplitude[2],EffectChainTargets[0],EffectChainTargets[1],EffectChainTargets[2],EffectItemType[0],EffectItemType[1],EffectItemType[2],EffectMiscValue[0],EffectMiscValue[1],EffectMiscValue[2],EffectTriggerSpell[0],EffectTriggerSpell[1],EffectTriggerSpell[2],EffectPointsPerCombo[0],EffectPointsPerCombo[1],EffectPointsPerCombo[2],SpellVisualID[0],SpellVisualID[1],SpellIconID,ActiveIconID,SpellPriority,Name_lang,NameSubtext_lang,Description_lang,AuraDescription_lang,ManaCostPct,StartRecoveryCategory,StartRecoveryTime,MaxTargetLevel,SpellClassMask[0],SpellClassMask[1],DefenseType,PreventionType,StanceBarOrder
1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Word of Recall (OLD),,,,0,0,0,0,7274524,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,9,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Word of Mass Recall (OLD),,,,0,0,0,0,7274524,0,0,0,0
4,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Word of Recall Other,,,,0,0,0,0,7274508,0,0,0,0
5,1,0,0,0,0,0,67108864,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Death Touch,,,,0,0,0,0,983070,0,0,0,0
7,0,0,0,0,150994944,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,153,0,50,Suicide,,,,0,0,0,0,7274526,0,0,0,0
10,4,0,0,0,65536,268435460,4194304,0,64,0,0,0,0,1,0,0,15,0,31788,0,100,0,25,20,20,31,0,320,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,27,0,0,1,0,0,1,0,0,0,0,0,0.3,0,0,50,0,0,28,0,0,0,0,0,14,0,0,3,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,285,0,50,Blizzard,,,,0,0,0,0,983070,172,0,0,0
11,3,44,0,1,262144,0,0,0,0,0,0,0,0,1,0,60000,0,0,0,0,0,0,0,0,20,2,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,58,0,50,Swiftness,,,,0,0,0,0,7274510,0,0,0,0
12,0,0,0,0,0,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Hot Foot (TEST),,,,0,0,0,0,7274524,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,199,0,0,1,0,0,0,0,0,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,50,Swim Speed (TEST),,,,0,0,0,0,7274524,0,0,0,0
14,0,0,0,0,0,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,8,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,1,0,50,Mana Drain,,,,0,0,0,0,7274526,0,0,0,0
