ID,TabID,TierID,ColumnIndex,SpellRank[0],SpellRank[1],SpellRank[2],SpellRank[3],SpellRank[4],SpellRank[5],SpellRank[6],SpellRank[7],SpellRank[8],PrereqTalent[0],PrereqTalent[1],PrereqTalent[2],PrereqRank[0],PrereqRank[1],PrereqRank[2],Flags,RequiredSpellID
26,41,0,1,11069,12338,12339,12340,12341,0,0,0,0,0,0,0,0,0,0,0,0
30,41,0,2,11103,12357,12358,12359,12360,0,0,0,0,0,0,0,0,0,0,0,0
34,41,1,0,11119,11120,12846,12847,12848,0,0,0,0,0,0,0,0,0,0,0,0
27,41,1,2,11078,11080,12342,12343,12344,0,0,0,0,0,0,0,0,0,0,0,0
28,41,1,3,11100,12353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,41,2,0,18459,18460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,41,2,1,11366,0,0,0,0,0,0,0,0,26,0,0,4,0,0,1,0
31,41,2,2,11108,12349,12350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,41,2,3,11083,12351,12352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,41,3,0,11095,12872,12873,12874,12875,0,0,0,0,0,0,0,0,0,0,0,0
24,41,3,1,11094,13043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,41,4,1,11115,11367,11368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,41,4,2,11113,0,0,0,0,0,0,0,0,31,0,0,2,0,0,0,0
35,41,5,1,11124,12378,12398,12399,12400,0,0,0,0,33,0,0,2,0,0,0,0
36,41,6,1,11129,0,0,0,0,0,0,0,0,35,0,0,4,0,0,1,0
37,61,0,1,11070,12473,16763,16765,16766,0,0,0,0,0,0,0,0,0,0,0,0
65,61,0,2,11175,12569,12571,12570,12573,0,0,0,0,0,0,0,0,0,0,0,0
73,61,1,0,11207,12672,15047,15052,15053,0,0,0,0,0,0,0,0,0,0,0,0
68,61,1,1,11180,12579,12580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,61,1,2,11165,12475,12476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,2,0,11151,12952,12953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,61,2,1,12472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,61,2,3,11185,12487,12488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,61,3,0,16757,16758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,61,3,1,11160,12518,12519,0,0,0,0,0,0,69,0,0,0,0,0,0,0
67,61,3,2,11170,12982,12983,12984,12985,0,0,0,0,62,0,0,2,0,0,0,0
70,61,3,3,11189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,61,4,1,11958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,61,4,2,11190,12489,12490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,61,5,2,11071,12496,12497,12498,12499,0,0,0,0,0,0,0,0,0,0,0,0
71,61,6,1,11426,0,0,0,0,0,0,0,0,72,0,0,0,0,0,1,0
74,81,0,0,11210,12592,12593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,81,0,1,11222,12839,12840,12841,12842,0,0,0,0,0,0,0,0,0,0,0,0
80,81,0,2,11237,12463,12464,16769,16770,0,0,0,0,0,0,0,0,0,0,0,0
78,81,1,1,6057,6085,6086,6087,6088,0,0,0,0,0,0,0,0,0,0,0,0
75,81,1,2,11213,12574,12575,12576,12577,0,0,0,0,0,0,0,0,0,0,0,0
82,81,2,0,11247,12606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,2,1,11242,12467,12469,18467,18468,0,0,0,0,0,0,0,0,0,0,0,0
85,81,2,2,12051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,81,3,0,11252,12605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,81,3,1,11255,12598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,81,3,3,18462,18463,18464,18465,18466,0,0,0,0,85,0,0,0,0,0,0,0
86,81,4,1,12043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,81,4,2,11232,12500,12501,12502,0,0,0,0,0,85,0,0,0,0,0,0,0
421,81,5,1,15058,15059,15060,0,0,0,0,0,0,86,0,0,0,0,0,0,0
87,81,6,1,12042,0,0,0,0,0,0,0,0,421,0,0,2,0,0,1,0
124,161,0,0,12282,12663,12664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,161,0,1,16462,16463,16464,16465,16466,0,0,0,0,0,0,0,0,0,0,0,0
127,161,0,2,12286,12658,12659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,161,1,0,12285,12697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,161,1,1,12295,12676,12677,12678,12679,0,0,0,0,0,0,0,0,0,0,0,0
128,161,1,3,12287,12665,12666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,161,2,0,12290,12963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,161,2,1,12296,0,0,0,0,0,0,0,0,641,0,0,4,0,0,1,0
121,161,2,2,12834,12849,12867,0,0,0,0,0,0,127,0,0,2,0,0,0,0
136,161,3,1,12163,12711,12712,12713,12714,0,0,0,0,0,0,0,0,0,0,0,0
662,161,3,2,16493,16494,0,0,0,0,0,0,0,121,0,0,2,0,0,0,0
132,161,4,0,12700,12781,12783,12784,12785,0,0,0,0,0,0,0,0,0,0,0,0
123,161,4,1,12281,12812,12813,12814,12815,0,0,0,0,0,0,0,0,0,0,0,0
125,161,4,2,12284,12701,12702,12703,12704,0,0,0,0,0,0,0,0,0,0,0,0
133,161,4,3,12292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
