RaceID,SexID,VariationID,BeardGeoset,MoustacheGeoset,SideburnGeoset
1,0,1,0,1,0
1,0,2,0,1,0
1,0,3,1,0,1
1,0,4,1,1,1
1,0,5,0,1,1
1,0,6,1,1,0
1,0,7,0,1,0
6,1,0,1,1,1
6,1,1,2,2,2
3,0,0,1,1,1
6,0,0,1,1,1
6,0,1,2,2,2
6,0,2,3,3,3
3,0,1,2,2,2
3,0,2,3,3,3
3,0,3,4,4,4
3,0,4,5,5,5
4,0,0,1,1,1
4,0,1,2,2,2
4,0,2,3,3,3
4,0,3,4,4,4
4,0,4,5,5,5
4,0,5,6,6,2
2,0,0,0,0,0
5,0,0,0,0,0
7,0,1,2,0,0
2,1,0,0,0,0
3,1,0,0,0,0
4,1,0,1,1,1
5,1,0,0,0,0
6,0,3,4,4,4
6,0,4,5,5,5
6,0,5,6,6,6
6,1,2,3,3,3
6,1,3,4,4,4
1,0,8,0,0,0
3,0,5,6,6,6
3,0,6,7,7,7
3,0,7,8,8,8
3,0,8,9,9,9
3,0,9,10,10,10
3,0,10,11,11,11
2,0,1,0,0,0
2,0,2,1,0,0
2,0,3,2,0,0
2,0,4,3,0,0
2,0,5,4,0,0
2,0,6,5,0,0
2,0,7,6,0,0
2,0,8,7,0,0
2,0,9,8,0,0
2,0,10,9,0,0
4,1,1,2,2,2
4,1,2,3,3,3
4,1,3,4,4,4
4,1,4,5,5,5
4,1,5,6,6,6
4,1,6,7,7,7
4,1,7,8,8,8
4,1,8,9,9,9
4,1,9,10,10,10
4,1,10,11,11,11
6,0,6,7,7,7
6,0,7,8,8,8
6,1,4,5,5,5
7,0,0,0,0,0
7,0,2,3,0,0
8,0,0,0,0,0
8,1,0,0,0,0
7,0,3,4,0,0
7,0,4,5,0,0
7,0,5,6,0,0
7,0,6,7,0,0
7,0,7,8,0,0
1,0,0,0,0,0
1,1,0,0,0,0
7,1,0,0,0,0
