ID,ModelID,SoundID,ExtendedDisplayInfoID,CreatureModelScale,CreatureModelAlpha,TextureVariation[0],TextureVariation[1],TextureVariation[2],BloodID
4,4,0,0,1,255,,,,0
6,6,0,0,1,255,DragonWhelpSkinBlack,,,0
13,13,0,0,1,255,,,,0
14,14,0,0,1,255,,,,0
15,15,0,0,1,255,,,,0
16,16,0,0,0,255,,,,0
17,17,0,0,0,255,,,,0
18,18,0,0,1,255,,,,0
19,19,0,0,0,255,,,,0
20,20,0,0,1,255,,,,0
21,22,0,0,1,255,HumanMaleCitizenLow,,,0
22,22,0,0,1,255,HumanMaleCitizenLow,,,0
23,23,0,0,1,255,,,,0
26,26,26,0,1,255,koboldskinNormal,,,0
30,30,0,0,0.6,255,MineSpiderSkinSteel,,,0
31,31,0,0,1,255,Sahauginskin,,,0
33,33,0,0,1,255,OgreMageSkin1,OgreMageSkin2,,0
38,38,0,0,1,255,TallStriderSkinTurquoise,,,0
39,39,0,0,1,255,,,,0
40,40,0,0,1,255,TitanMaleSkin01,TitanMaleSkin02,,0
42,42,0,0,1,255,TrollSkinJungleBloodScalpMelee,,,0
46,46,0,0,1,255,werewolfskin,,,0
49,49,0,0,1,255,,,,0
50,50,0,0,1,255,,,,0
51,51,0,0,1,255,,,,0
52,52,0,0,1,255,,,,0
53,53,0,0,1,255,,,,0
54,54,0,0,1,255,,,,0
55,55,0,0,1,255,,,,0
56,56,0,0,1,255,,,,0
57,57,0,0,1,255,,,,0
58,58,0,0,1,255,,,,0
59,59,0,0,1.2,255,,,,0
60,60,0,0,1,255,,,,0
62,62,0,0,1,255,HydraSkinBlue,,,0
64,64,0,0,1,255,,,,0
65,65,0,0,1,255,,,,0
67,67,0,0,1,255,AncientProtectorGreen,,,0
68,68,0,0,1,255,BalrogSkinBlue,BalrogWingBlue,,0
69,69,0,0,1,255,RockElementalSkinBrown,,,0
71,71,0,0,1,255,HarvestGolemSkinBrown,HarvestGolemBitsBrown,,0
72,72,0,0,1,255,,,,0
73,73,0,0,1,255,,,,0
74,22,0,0,1,255,HumanMaleCitizenLow,,,0
79,79,0,0,1,255,HumanMaleKidSkinPeach,,,0
80,80,0,0,1,255,HumanFemaleKidfarmdress,,,0
86,22,0,0,1,255,HumanMaleCitizenLow,,,0
87,22,0,0,1,255,HumanMaleCitizenLow,,,0
88,22,0,0,1,255,HumanMaleCitizenLow,,,0
89,89,0,0,1,255,HumanMalePeasantLightSkin,HumanMalePeasantLogs,,0
91,91,0,0,1,255,SilithidTankSkinViolet,,,0
92,92,0,0,1,255,SilithidFlyerSkinPurple,,,0
93,93,0,0,1,255,HumanFemaleMerchant01_GreenApron,,,0
94,94,0,0,1,255,HumanFemaleFarmer_Bluedress,,,0
95,95,0,0,1,255,HumanFemaleMerchant03Skin1,,,0
96,96,0,0,1,255,,,,0
97,97,0,0,1,255,HumanFemalePeasant_BlackDress,,,0
98,98,0,0,1,255,HumanFemaleWarriorHeavy_SkinLight,,,0
99,99,0,0,1,255,HumanFemaleWarriorLight_Skin01,,,0
100,100,0,0,1,255,HumanFemaleWarriorMedium_SkinBronze,,,0
101,22,0,0,1,255,HumanMaleCitizenLow,,,0
102,102,0,0,1,255,HumanMaleFarmerSkin01,,,0
103,103,0,0,1,255,HumanMaleMerchant03Skin1,,,0
104,104,0,0,1,255,HumanMaleWarriorHeavy_Skin01,,,0
105,105,0,0,1,255,HumanMaleWarriorMediumSkinDark,,,0
106,22,0,0,1,255,HumanMaleCitizenLow,,,0
107,107,0,0,1,255,HumanMaleWarriorLight_Skin01,,,0
108,108,0,0,1,255,HumanMaleCaster_SkinMage,,,0
109,109,0,0,1,255,HumanFemaleCaster_SkinPriest,,,0
110,110,0,0,1,255,WaterElementalSkin,,,0
112,112,0,0,1,255,BlackRockClanOrcWarriorSkin,,,0
113,113,0,0,1,255,BlackRockClanOrcRunnerSkin,,,0
115,53,0,23,1,255,DwarfMaleWarriorLightSkin2,,,0
123,123,0,0,1,255,,,,0
125,125,0,0,1,255,HumanMaleMarshalBlonde,,,0
126,22,0,0,1,255,HumanMaleCitizenLow,,,0
127,127,0,0,1,255,PirateCaptain01,,,0
128,128,0,0,1,255,PirateCrewman02,,,0
129,129,0,0,1,255,Swashbuckler02,,,0
130,130,0,0,1,255,DreadLordSkin,DreadLordWingSkin,,0
134,134,0,0,1.3,255,squirrel,,,0
135,67,0,0,1,255,AncientProtectorGreen,,,0
136,6,0,0,1.2,255,DragonWhelpSkinBlack,,,0
137,45,0,0,1,255,GhoulSkinGrey,,,0
138,40,0,0,1,255,TitanMaleSkin01,TitanMaleSkin02,,0
139,26,26,0,1,255,koboldskinNormal,,,0
140,39,0,0,1,255,TitanFemaleSkinBronze1,TitanFemaleSkinBronze2,,0
142,5,0,0,1,255,DarkHoundSkin,,,0
143,47,0,0,1,255,DragonSpawnSkin,DragonSpawnBodySkin,,0
145,8,0,0,1,255,FurbolgSkinBrown,FurbolgStuffBrown,,0
146,9,0,0,1,255,GhostSkin,,,0
148,12,0,0,1,255,HarpyAqua,,,0
149,16,0,0,1,255,HumanThiefSkin,,,0
150,25,0,0,1,255,KeeperOfTheGroveSkin,KeeperLeaves2,,0
151,28,0,0,1,255,LavaSpiderSkin,,,0
152,29,0,0,1,255,LostOne_Skin,LostOne_Skullbag,,0
154,32,0,0,1,255,OgreSkin1Green,OgreSkin2Green,,0
155,33,0,0,1,255,OgreMageSkin1,OgreMageSkin2,,0
157,36,0,0,1,255,AurokkSkin,,,0
158,70,0,0,1,255,SkeletonSkin,,,0
159,37,0,0,1,255,SuccubusSkinViolet,,,0
160,41,0,0,1,255,TroglodyteSkinNormal,,,0
161,43,0,0,1,255,WolfSkinCoyote,WolfSkinCoyoteAlpha,,0
162,93,0,0,1,255,HumanFemaleMerchant01_RedApron,,,0
163,26,26,0,1,255,koboldskinAlbino,,,0
164,126,0,0,1,255,HumanMaleGuard,,,0
165,43,0,0,1,255,WolfSkinTimber,WolfSkinTimberAlpha,,0
166,105,0,0,1,255,HumanMaleWarriorMediumSkinDark,,,0
167,42,0,0,1,255,TrollSkin,,,0
168,2,0,0,1,255,BogBeastSkinGreen,BogBeastSkinGreenAlpha,,0
169,24,0,0,1,255,InfernalSkin,,,0
170,35,0,0,1,255,SeaGiantSkin01,SeaGiantSkin02,,0
171,69,0,0,1,255,RockElementalSkinBrown,,,0
172,3,0,0,1,255,CentaurSkin,,,0
173,107,0,0,1,255,HumanMaleWarriorLight_Skin01,,,0
174,10,0,0,1.1,255,RiverPawGnollWhelpSkin,,,0
175,123,0,0,1,255,RiverPawGnollFighterSkin,,,0
176,50,0,469,1,255,HumanFemaleWarriorLight_Skin01,,,0
177,47,0,0,1,255,DragonSpawnSkinBronze,DragonSpawnBodySkinBronze,,0
178,38,0,0,1,255,TallStriderSkinBrown,,,0
179,27,0,0,1,255,KotoBeastSkinBrown,,,0
180,34,0,0,0.6,255,RaptorSkinOrange,,,0
181,47,0,0,1,255,DragonSpawnSkinGreen,DragonSpawnBodySkinGreen,,0
182,47,0,0,1,255,DragonSpawnSkinWhite,DragonSpawnBodySkinWhite,,0
184,16,0,0,1,255,HumanThiefSkin_var2,,,0
186,99,0,0,1,255,HumanFemaleWarriorLight_Skin01,,,0
188,31,0,0,1.1,255,SahauginskinBlue,,,0
190,108,0,0,1,255,HumanMaleCaster_SkinPriest,,,0
191,19,0,0,1,255,,,,0
193,66,0,0,1,255,BoarSkinIvory,,,0
194,42,0,0,1,255,TrollSkinGreen,,,0
195,42,0,0,1,255,TrollSkinArcticFrostManeScout,,,0
196,47,0,0,1,255,DragonSpawnSkinBlue,DragonSpawnBodySkinBlue,,0
197,125,0,0,1,255,HumanMaleMarshalBlonde,,,0
198,108,0,0,1,255,HumanMaleCaster_SkinMage,,,0
200,70,0,0,1,255,SkeletonSkinDarkTeal,,,0
201,70,0,0,1,255,SkeletonSkinGreen,,,0
202,44,0,0,1,255,WargenSkinBrown,,,0
203,44,0,0,1,255,WargenSkinBlack,,,0
204,122,0,0,1,255,RiverPawGnollCasterSkin,,,0
207,217,0,0,1.5,255,DireWolfSkinDarkBlack,DireWolfSkinDarkBlackAlpha,,0
208,16,0,0,1,255,HumanThiefSkin_var1,,,0
210,16,0,0,1,255,HumanThiefSkin_var3,,,0
211,102,0,0,1,255,HumanMaleFarmerSkin02,,,0
212,105,0,0,1,255,HumanMaleWarriorMediumSkinLight,,,0
213,97,0,0,1,255,HumanFemalePeasant_BlueDress,,,0
214,102,0,0,1,255,HumanMaleFarmerSkin01,,,0
215,94,0,0,1,255,HumanFemaleFarmer_Browndress,,,0
216,53,0,0,1,255,,,,0
218,22,0,0,1,255,HumanMaleCitizenLow,,,0
221,79,0,0,1,255,HumanMaleKidSkinOlive,,,0
224,100,0,0,1,255,HumanFemaleWarriorMedium_SkinBronze,,,0
225,96,0,0,1,255,HumanFemaleMerchant02,,,0
226,107,0,0,1,255,HumanMaleWarriorLight_Skin02,,,0
227,103,0,0,1,255,HumanMaleMerchant03Skin1,,,0
228,96,0,0,1,255,HumanFemaleMerchant01,,,0
229,65,0,0,1,255,HorseSkinBrown,,,0
231,16,0,0,1,255,HumanThiefSkin_var6,,,0
232,97,0,0,1,255,HumanFemalePeasant_BlackDress,,,0
235,65,0,0,1,255,HorseSkinEvil,,,0
236,65,0,0,1,255,HorseSkinWhite,,,0
237,65,0,0,1,255,HorseSkinPalamino,,,0
238,65,0,0,1,255,HorseSkinPinto,,,0
239,65,0,0,1,255,HorseSkinBlack,,,0
240,112,0,0,1,255,BlackRockClanOrcWarriorSkin,,,0
242,101,0,0,1,255,HumanMaleMerchant02Skin2,,,0
243,17,0,0,1,255,HumanMaleBlacksmith,,,0
244,113,0,0,1,255,BlackRockClanOrcRunnerSkin,,,0
245,76,0,0,1,255,FrenzySkinBlue,,,0
246,73,0,0,1,255,DireWolfSkinReddishBrown,DireWolfSkinReddishBrownAlpha,,0
247,217,0,0,1.5,255,DireWolfSkinBrown,DireWolfSkinBrownAlpha,,0
251,79,0,0,1,255,HumanMaleKidSkinPeach,,,0
252,80,0,0,1,255,HumanFemaleKidfarmdress,,,0
257,80,0,0,1,255,HumanFemaleKiddirtydress,,,0
258,109,0,0,1,255,HumanFemaleCaster_SkinPriest,,,0
260,13,0,0,1,255,HUFMCitizenLow,,,0
262,79,0,0,1,255,HumanMaleKidSkinBrown,,,0
263,108,0,0,1.1,255,HumanMaleCaster_SkinWarlock,,,0
267,101,0,0,1,255,HumanMaleMerchant02Skin1,,,0
268,11,0,0,1,255,GrellSkinBlanca,,,0
269,10,0,0,0.95,255,RedRidgeGnollWhelpSkin,,,0
275,10,0,0,1,255,ShadowHideGnollWhelpSkin,,,0
277,108,0,0,1,255,HumanMaleCaster_DefiasMage,,,0
278,109,0,0,1,255,HumanFemaleCaster_SkinWarlock,,,0
280,23,0,0,1,255,,,,0
282,104,0,31,1,255,HumanMaleWarriorHeavy_Skin01,,,0
283,30,0,0,1,255,MineSpiderSkinGreen,,,0
285,97,0,0,1,255,HumanFemalePeasant_BrownDress,,,0
286,105,0,0,1,255,HumanMaleWarriorMediumSkinLight,,,0
295,85,0,0,1,255,WyvernSkin01,WyvernSkin02,,0
298,119,0,0,1,255,TrollSkinJungleBloodScalpMelee,,,0
299,118,0,0,1,255,TrollSkinJungleBloodScalpScout,,,0
300,16,0,0,1,255,HumanThiefSkin_var5,,,0
301,74,0,0,1,255,HumanMalePeasantskinblack,,,0
302,50,0,0,1,255,HumanFemaleWarriorLight_Skin02,,,0
304,111,0,0,1,255,ChickenSkin,,,0
308,74,0,0,1,255,HumanMalePeasantLightSkin,,,0
309,74,0,0,1,255,HumanMalePeasantLightSkin,,,0
310,74,0,0,1,255,HumanMalePeasantLightSkin,,,0
312,53,0,23,1,255,DwarfMaleWarriorLightSkin,,,0
314,116,0,0,1,255,TrollSkinJungleBloodScalpCaster,,,0
316,119,0,0,1,255,TrollSkinJungleSplitSkullMelee,,,0
317,116,0,0,1,255,TrollSkinJungleSplitSkullCaster,,,0
320,82,0,0,1,255,TigerSkinRed,,,0
321,82,0,0,1,255,TigerSkinBlack,,,0
322,34,0,0,1,255,RaptorSkinMottledDarkGreen,,,0
326,33,0,0,1,255,OgreMageSkin1Blue,OgreMageSkin2Blue,,0
327,93,0,0,1,255,HumanFemaleMerchant01_NoApron,,,0
328,114,0,0,1,255,RabbitSkin,,,0
330,98,0,0,1,255,HumanFemaleWarriorHeavy_SkinLight,,,0
332,47,0,0,1,255,DragonSpawnSkinGreen,DragonSpawnBodySkinGreen,,0
336,63,0,0,1,255,TarantulaSkinGreen,,,0
337,118,0,0,1,255,TrollSkinJungleSplitSkullScout,,,0
338,79,0,0,1,255,HumanMaleKidSkinPeach,,,0
341,74,0,0,1,255,HumanMalePeasantSkindark,,,0
342,132,0,0,1,255,CrabSkinBronze,,,0
344,80,0,0,1,255,HumanFemaleKidcitydress,,,0
346,31,0,0,1,255,SahauginskinGray,,,0
347,124,0,0,1,255,DeerSkin,,,0
348,130,0,0,1,255,DreadLordSkin,DreadLordWingSkin,,0
351,127,0,0,1,255,PirateCaptain01,,,0
352,131,0,0,1,255,GnomeSkin,,,0
355,10,0,0,1,255,MossHideGnollWhelpSkin,,,0
358,81,0,0,1,255,SlimeSkinGreen,,,0
360,81,0,0,1,255,SlimeSkinBlackpudding,,,0
363,47,0,0,1,255,DragonSpawnSkinRed,DragonSpawnBodySkinRed,,0
365,26,26,0,0.85,255,koboldskinNormal,,,0
366,63,0,0,0.5,255,TarantulaSkinOrange,,,0
367,71,0,0,0.9,255,HarvestGolemSkinBrown,HarvestGolemBitsBrown,,0
368,30,0,0,0.5,255,MineSpiderSkinSteel,,,0
369,31,0,0,0.8,255,Sahauginskin,,,0
370,70,0,0,1.05,255,SkeletonSkin,,,0
371,26,26,0,1.2,255,koboldskinAlbino,,,0
372,43,0,0,0.65,255,WolfSkinTimber,WolfSkinTimberAlpha,,0
373,26,26,0,1.1,255,koboldskinNormal,,,0
374,10,0,0,0.95,255,RiverPawGnollWhelpSkin,,,0
375,99,0,0,1,255,HumanFemaleWarriorLight_Skin01,,,0
376,123,0,0,1.2,255,RiverPawGnollFighterSkin,,,0
377,66,0,0,0.6,255,BoarSkinBrown,,,0
378,71,0,0,1.1,255,HarvestGolemSkinGrey,HarvestGolemBitsGrey,,0
379,71,0,0,1.15,255,HarvestGolemSkinBrown,HarvestGolemBitsBrown,,0
380,43,0,0,0.8,255,WolfSkinTimber,WolfSkinTimberAlpha,,0
381,66,0,0,0.8,255,BoarSkinBlue,,,0
382,63,0,0,0.4,255,TarantulaSkinOrange,,,0
383,10,0,0,1.2,255,RiverPawGnollWhelpSkin,,,0
384,123,0,0,1.15,255,RiverPawGnollFighterSkin,,,0
385,31,0,0,0.9,255,Sahauginskin,,,0
386,31,0,0,1.2,255,Sahauginskin,,,0
387,6,0,0,0.9,255,DragonWhelpSkinBlack,,,0
388,61,0,0,1.1,255,CarrionBirdSkin,CarrionBirdWing,,0
389,66,0,0,0.8,255,BoarSkinIvory,,,0
390,18,0,0,0.5,255,,,,0
391,31,0,0,1.2,255,SahauginskinBlue,,,0
392,1,0,0,2,255,BasiliskSkin,BasiliskCrystalSkin,,0
393,1,0,0,3,255,BasiliskSkin,BasiliskCrystalSkin,,0
394,1,0,0,4,255,BasiliskSkin,BasiliskCrystalSkin,,0
395,1,0,0,5,255,BasiliskSkin,BasiliskCrystalSkin,,0
396,1,0,0,6,255,BasiliskSkin,BasiliskCrystalSkin,,0
397,6,0,0,2,255,DragonWhelpSkinBlack,,,0
398,1,0,0,7,255,BasiliskSkinRed,BasiliskCrystalSkin,,0
399,6,0,0,3,255,DragonWhelpSkinBlack,,,0
400,6,0,0,4,255,DragonWhelpSkinBlack,,,0
401,1,0,0,8,255,BasiliskSkinRed,BasiliskCrystalSkin,,0
402,6,0,0,5,255,DragonWhelpSkinBlack,,,0
403,6,0,0,6,255,DragonWhelpSkinBlack,,,0
404,6,0,0,8,255,DragonWhelpSkinBlack,,,0
405,6,0,0,10,255,DragonWhelpSkinBlack,,,0
406,1,0,0,10,255,BasiliskSkin,BasiliskCrystalSkin,,0
407,1,0,0,15,255,BasiliskSkin,BasiliskCrystalSkin,,0
408,6,0,0,15,255,DragonWhelpSkinBlack,,,0
409,1,0,0,20,255,BasiliskSkin,BasiliskCrystalSkin,,0
410,61,0,0,0.8,255,CarrionBirdSkinBrown,CarrionBirdWingBrown,,0
412,44,0,0,1.2,255,WargenSkinBlack,,,0
413,122,0,0,1.1,255,RiverPawGnollCasterSkin,,,0
414,45,0,0,1.2,255,GhoulSkinRed,,,0
415,32,0,0,0.9,255,OgreSkin1Green,OgreSkin2Green,,0
416,32,0,0,1.05,255,OgreSkin1Green,OgreSkin2Green,,0
418,30,0,0,0.7,255,MineSpiderSkinSteel,,,0
423,94,0,0,1,255,HumanFemaleFarmer_Bluedress,,,0
424,94,0,0,1,255,HumanFemaleFarmer_Greydress,,,0
425,94,0,0,0.75,255,HumanFemaleFarmer_Bluedress,,,0
427,96,0,0,0.8,255,HumanFemaleMerchant03,,,0
428,102,0,0,1,255,HumanMaleFarmerSkin01,,,0
429,103,0,0,1,255,HumanMaleMerchant03Skin2,,,0
430,102,0,0,1.15,255,HumanMaleFarmerSkin02,,,0
433,68,0,0,0.5,255,BalrogSkinRed,BalrogWingRed,,0
441,31,0,0,1,255,Sahauginskin,,,0
447,43,0,0,0.45,255,WolfSkinTimber,WolfSkinTimberAlpha,,0
448,32,0,0,1.2,255,OgreSkin1Purple,OgreSkin2Purple,,0
453,69,0,0,0.6,255,RockElementalSkinBrown,,,0
454,66,0,0,0.9,255,BoarSkinIvory,,,0
456,112,0,0,1.5,255,BlackRockClanOrcWarriorSkin,,,0
457,6,0,0,1.2,255,DragonWhelpSkinBlack,,,0
458,33,0,0,1.3,255,OgreMageSkin1Copper,OgreMageSkin2Copper,,0
459,107,0,0,1.2,255,HumanMaleWarriorLight_Skin01,,,0
463,66,0,0,1.75,255,BoarSkinIvory,,,0
467,78,0,0,1,255,SatyrSkinPink,SatyrSkinPinkAlpha,,0
470,81,0,0,1,255,SlimeSkinAquaBlue,,,0
471,82,0,0,1,255,TigerSkinRed,,,0
472,83,0,0,0.7,255,BearSkinBrown,,,0
473,84,0,0,1,255,StoneGolemSkin,,,0
477,66,0,0,0.7,255,BoarSkinBrown,,,0
478,31,0,0,1.8,255,SahauginskinGray,,,0
479,209,0,0,1,255,HippogryphSkin01,HippogryphSkin02,,0
480,2,0,0,2,255,BogBeastSkinBlackGreen,BogBeastSkinBlackGreenAlpha,,0
481,91,0,0,1,255,SilithidTankSkinBlue,,,0
482,92,0,0,1,255,SilithidFlyerSkinBlue,,,0
483,11,0,0,1,255,GrellSkinBlanca,,,0
486,31,0,0,1.15,255,SahauginskinBlue,,,0
487,10,0,0,1,255,RedRidgeGnollWhelpSkin,,,0
488,10,0,0,1.05,255,RedRidgeGnollWhelpSkin,,,0
489,123,0,0,1.05,255,RedRidgeGnollFighterSkin,,,0
490,61,0,0,0.75,255,CarrionBirdSkinRed,CarrionBirdWingRed,,0
491,122,0,0,1.1,255,ShadowHideGnollCasterSkin,,,0
492,122,0,0,1.05,255,RedRidgeGnollCasterSkin,,,0
493,123,0,0,1.3,255,ShadowHideGnollFighterSkin,,,0
494,10,0,0,1.2,255,ShadowHideGnollWhelpSkin,,,0
