ID,CreatureFootstepID,TerrainSoundID,SoundID,SoundIDSplash
21,8,2,0,1063
24,8,4,652,1058
25,8,3,653,1057
67,8,7,651,1069
68,8,0,650,1054
69,8,5,649,1059
70,10,0,1137,1054
71,10,1,1137,1055
72,10,3,1138,1057
73,10,4,1139,1058
75,10,5,1139,1059
76,10,6,1140,1060
77,10,7,1140,1069
78,10,8,1137,1062
79,11,0,1174,1054
80,11,1,1174,1055
81,11,2,1174,1063
82,11,3,1174,1057
83,11,4,1174,1058
84,11,5,1174,1059
85,11,6,1174,1060
86,11,7,1174,1069
87,11,8,1174,1062
88,11,9,1174,1059
89,8,1,650,1055
90,8,6,651,1060
91,8,8,650,1062
92,8,9,651,1059
94,0,0,661,1054
95,0,1,661,1055
96,0,2,661,1063
97,0,3,661,1057
98,0,4,661,1058
99,0,5,661,1059
100,0,6,661,1060
101,0,7,661,1069
103,0,8,661,1062
104,0,9,661,1059
105,12,0,661,1054
106,12,1,661,1055
107,12,2,661,1063
108,12,3,661,1057
109,12,4,661,1058
110,12,5,661,1059
111,12,6,661,1060
112,12,7,661,1069
113,12,8,661,1062
114,12,9,661,1059
115,13,0,1182,1054
116,13,1,1182,1055
117,13,2,1182,1063
118,13,3,1182,1057
119,13,4,1182,1058
120,13,5,1182,1059
121,13,6,1182,1060
122,13,7,1182,1069
123,13,8,1182,1062
124,13,9,1182,1059
125,14,0,1265,1054
126,14,1,1265,1055
127,14,2,1265,1063
128,14,3,1265,1057
129,14,4,1265,1058
130,14,5,1265,1059
131,14,6,1265,1060
132,14,7,1265,1069
133,14,8,1265,1062
134,14,9,1265,1059
157,7,0,560,1054
158,7,1,560,1055
159,7,2,564,1063
160,7,3,564,1057
161,7,4,563,1058
162,7,5,649,1059
163,7,6,562,1060
164,7,7,562,1069
165,7,8,560,1062
166,7,9,562,1059
167,6,0,2546,0
168,6,1,2546,0
169,6,2,2546,0
170,6,3,2546,0
171,6,4,2546,0
172,6,5,2546,0
173,6,6,2546,0
174,6,7,2546,0
175,6,8,2546,0
176,6,9,2546,0
177,16,0,2550,0
178,16,1,2550,0
179,16,2,2550,0
180,16,3,2550,0
181,16,4,2550,0
182,16,5,2550,0
183,16,6,2550,0
184,16,7,2550,0
185,16,8,2550,0
186,16,9,2550,0
187,10,9,1140,0
