ID,ModelName[0],ModelName[1],ModelTexture[0],ModelTexture[1],InventoryIcon,GroundModel,GeosetGroup[0],GeosetGroup[1],GeosetGroup[2],GeosetGroup[3],Flags,SpellVisualID,GroupSoundIndex,ItemSize,HelmetGeosetVisID,Texture[0],Texture[1],Texture[2],Texture[3],Texture[4],Texture[5],Texture[6],Texture[7],ItemVisual
220,,,,,INV_Robe_02,GOCloth01.mdl,1,0,1,0,0,0,7,3,0,Generic_HuWk_01_Sleeve_AU,Generic_HuWk_01_Sleeve_AL,,Generic_HuWk_01_Chest_TU,Generic_HuWk_01_Chest_TL,Generic_HuWk_01_Pants_LU,Generic_HuWk_01_Pant_LL,,0
222,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,Generic_HuMa_01_Boot_FO,0
224,,,,,INV_Jewelry_Ring_03,GOApple.mdl,0,0,0,0,0,0,14,3,0,,,,,,,,,0
229,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrWr_01_Belt_LU,,,0
230,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_OrWr_01_Boot_LL,Generic_OrWr_01_Boot_FO,0
233,,,,,INV_Boots_01,GOChain01.mdl,0,0,0,0,0,0,11,3,0,,,,,,,Mail_A_01_Boot_LL,Mail_A_01_Boot_FO,0
241,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_DwMa_01_Belt_LU,,,0
242,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,Generic_DwMa_01_Boot_FO,0
244,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_DwRu_01_Belt_LU,,,0
245,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_DwRu_01_Boot_LL,Generic_DwRu_01_Boot_FO,0
248,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_DwPr_01_Belt_LU,,,0
249,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_DwPr_01_Boot_LL,Generic_DwPr_01_Boot_FO,0
