EnumID,Name_lang
0,None
1,Instakill
2,School Damage
3,Dummy
4,Portal Teleport
5,Teleport Units
6,Apply Aura
8,Power Drain
9,Health Leech
10,Heal
11,Bind
12,Portal
13,Ritual Base
14,Ritual Specialize
15,Ritual Activate Portal
16,Quest Complete
17,Weapon Damage + (noschool)
18,Resurrect
19,Extra Attacks
20,Dodge
21,Evade
22,Parry
23,Block
24,Create Item
25,Weapon
26,Defense
27,Persistent Area Aura
28,Summon
29,Leap
30,Energize
31,Weapon % Dmg
32,Trigger Missile
33,Open Lock
34,Summon Mount
35,Apply Area Aura
36,Learn Spell
37,Spell Defense
38,Dispel
39,Language
40,Dual Wield
41,Summon Wild
42,Summon Guardian
43,Skill Rank
44,Skill Step
45,Skill Potential
46,Spawn
47,Spell Cast UI
48,Stealth
49,Detect
50,Summon Object
51,Force Critical Hit
52,Guarantee Hit
53,Enchant Item Permanent
54,Enchant Item Temporary
55,Tame Creature
56,Summon Pet
57,Learn Pet Spell
58,Weapon Damage +
59,Open Lock (Item)
60,Proficiency
61,Send Event
62,Power Burn
63,Threat
64,Trigger Spell
65,Health Funnel
66,Mana Funnel
67,Heal Max Health
68,Interrupt Cast
69,Distract
70,Pull
71,Pickpocket
72,Add Farsight
73,Summon Possessed
74,Summon Totem
75,Heal Mechanical
76,Summon Object (Wild)
77,Script Effect
78,Attack
79,Sanctuary
80,Add Combo Points
81,Create House
82,Bind Sight
83,Duel
84,Stuck
85,Summon Player
86,Activate Object
