ID,Effect[0],Effect[1],Effect[2],EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],EffectPointsMax[0],EffectPointsMax[1],EffectPointsMax[2],EffectArg[0],EffectArg[1],EffectArg[2],Name_lang[0],ItemVisual
1,2,0,0,5,0,0,10,0,0,0,0,0,Sharpened (TEST),0
2,1,0,0,100,0,0,0,0,0,2626,0,0,Lightning Proc (TEST),0
3,1,0,0,50,0,0,0,0,0,2647,0,0,Freeze Enemy,0
4,4,0,0,10,0,0,0,0,0,0,0,0,Hardened,0
5,2,0,0,100,0,0,200,0,0,0,0,0,Damage 2,0
6,3,0,0,0,0,0,0,0,0,1616,0,0,Defend V,0
7,1,0,0,30,0,0,30,0,0,2818,0,0,Poison (8 Dmg),0
8,1,0,0,30,0,0,30,0,0,2819,0,0,Poison (12 Dmg),0
9,1,0,0,30,0,0,30,0,0,2820,0,0,Poison (15 Dmg),0
10,1,0,0,30,0,0,30,0,0,2821,0,0,Poison (20 Dmg),0
11,1,0,0,30,0,0,30,0,0,2822,0,0,Poison (25 Dmg),0
12,2,0,0,2,0,0,2,0,0,0,0,0,Sharpened +2,0
13,2,0,0,3,0,0,3,0,0,0,0,0,Sharpened +3,0
14,2,0,0,4,0,0,4,0,0,0,0,0,Sharpened +4,0
15,4,0,0,1,0,0,1,0,0,0,0,0,Reinforced Armor +1,0
16,4,0,0,2,0,0,2,0,0,0,0,0,Reinforced Armor +2,0
17,4,0,0,3,0,0,3,0,0,0,0,0,Reinforced Armor +3,0
18,4,0,0,4,0,0,4,0,0,0,0,0,Reinforced Armor +4,0
19,2,0,0,2,0,0,2,0,0,0,0,0,Weighted +2,0
20,2,0,0,3,0,0,3,0,0,0,0,0,Weighted +3,0
21,2,0,0,4,0,0,4,0,0,0,0,0,Weighted +4,0
22,1,0,0,100,0,0,100,0,0,3409,0,0,Poison (Snare),0
23,1,0,0,100,0,0,100,0,0,3410,0,0,Poison (Snare) II,0
24,3,0,0,0,0,0,0,0,0,7442,0,0,Mana +10,0
25,1,0,0,15,0,0,15,0,0,1106,0,0,Shadow Oil,0
26,1,0,0,10,0,0,10,0,0,837,0,0,Frost Oil,0
27,2,0,0,-10,0,0,-10,0,0,0,0,0,Sundered,0
28,3,0,0,0,0,0,0,0,0,7438,0,0,Resist All + 4,0
29,2,0,0,1,0,0,1,0,0,0,0,0,Damage +1 (JEFFTEST),0
30,2,0,0,1,0,0,1,0,0,0,0,0,Scope (+1 Damage),0
31,3,0,0,0,0,0,0,0,0,7433,0,0,Beastslaying +4,0
32,2,0,0,2,0,0,2,0,0,0,0,0,Scope (+2 Damage),0
33,2,0,0,3,0,0,3,0,0,0,0,0,Scope (+3 Damage),0
34,3,0,0,0,0,0,0,0,0,7217,0,0,Counterweight +5% Attack Speed,0
35,1,0,0,30,0,0,30,0,0,5760,0,0,Mind Numbing Poison,0
36,1,0,0,15,0,0,15,0,0,6297,0,0,Enchant: Fire,0
37,3,0,0,0,0,0,0,0,0,7219,0,0,Weapon Chain - Immune Disarm,0
38,3,0,0,0,0,0,0,0,0,7427,0,0,Defense Skill +3,0
39,3,0,0,0,0,0,0,0,0,0,0,0,Sharpened +1,0
40,2,0,0,2,0,0,2,0,0,0,0,0,Sharpened +2,0
41,3,0,0,0,0,0,0,0,0,7419,0,0,Health +10,0
42,1,0,0,10,0,0,30,0,0,6647,0,0,Poison (Instant 20),0
43,3,0,0,0,0,0,0,0,0,7215,0,0,Iron Spike (23-37),0
44,3,0,0,0,0,0,0,0,0,7445,0,0,Absorbtion (10),0
63,3,0,0,0,0,0,0,0,0,7446,0,0,Absorbtion (25),0
64,3,0,0,0,0,0,0,0,0,7450,0,0,Spirit +3,0
65,3,0,0,0,0,0,0,0,0,7452,0,0,Resist All +2,0
66,3,0,0,0,0,0,0,0,0,7455,0,0,Stamina +1,0
67,2,0,0,1,0,0,1,0,0,0,0,0,Damage +1,0
68,3,0,0,0,0,0,0,0,0,7464,0,0,Strength +1,0
69,3,0,0,0,0,0,0,0,0,7465,0,0,Strength +2,0
70,3,0,0,0,0,0,0,0,0,7466,0,0,Strength +3,0
71,3,0,0,0,0,0,0,0,0,7477,0,0,Stamina +1,0
72,3,0,0,0,0,0,0,0,0,7478,0,0,Stamina +2,0
73,3,0,0,0,0,0,0,0,0,7479,0,0,Stamina +3,0
74,3,0,0,0,0,0,0,0,0,7471,0,0,Agility +1,0
75,3,0,0,0,0,0,0,0,0,7472,0,0,Agility +2,0
76,3,0,0,0,0,0,0,0,0,7473,0,0,Agility +3,0
77,2,0,0,2,0,0,2,0,0,0,0,0,Damage +2,0
78,2,0,0,3,0,0,3,0,0,0,0,0,Damage +3,0
79,3,0,0,0,0,0,0,0,0,7468,0,0,Intellect +1,0
80,3,0,0,0,0,0,0,0,0,7469,0,0,Intellect +2,0
81,3,0,0,0,0,0,0,0,0,7470,0,0,Intellect +3,0
82,3,0,0,0,0,0,0,0,0,7474,0,0,Spirit +1,0
83,3,0,0,0,0,0,0,0,0,7475,0,0,Spirit +2,0
84,3,0,0,0,0,0,0,0,0,7476,0,0,Spirit +3,0
85,4,0,0,1,0,0,1,0,0,0,0,0,Armor +1,0
86,4,0,0,2,0,0,2,0,0,0,0,0,Armor +2,0
87,4,0,0,3,0,0,3,0,0,0,0,0,Armor +3,0
88,0,0,0,0,0,0,0,0,0,0,0,0,,0
89,4,0,0,4,0,0,4,0,0,0,0,0,Armor +4,0
90,3,0,0,0,0,0,0,0,0,7490,0,0,Agility +4,0
91,3,0,0,0,0,0,0,0,0,7491,0,0,Agility +5,0
92,3,0,0,0,0,0,0,0,0,7492,0,0,Agility +6,0
93,3,0,0,0,0,0,0,0,0,7493,0,0,Agility +7,0
94,3,0,0,0,0,0,0,0,0,7494,0,0,Intellect +4,0
95,3,0,0,0,0,0,0,0,0,7495,0,0,Intellect +5,0
96,3,0,0,0,0,0,0,0,0,7496,0,0,Intellect +6,0
97,3,0,0,0,0,0,0,0,0,7497,0,0,Intellect +7,0
98,3,0,0,0,0,0,0,0,0,7498,0,0,+4 Spirit,0
99,3,0,0,0,0,0,0,0,0,7499,0,0,Spirit +5,0
100,3,0,0,0,0,0,0,0,0,7500,0,0,Spirit +6,0
101,3,0,0,0,0,0,0,0,0,7501,0,0,Spirit +7,0
102,3,0,0,0,0,0,0,0,0,7502,0,0,Stamina +4,0
103,3,0,0,0,0,0,0,0,0,7503,0,0,Stamina +5,0
104,3,0,0,0,0,0,0,0,0,7504,0,0,Stamina +6,0
105,3,0,0,0,0,0,0,0,0,7505,0,0,Stamina +7,0
106,3,0,0,0,0,0,0,0,0,7506,0,0,Strength +4,0
107,3,0,0,0,0,0,0,0,0,7507,0,0,Strength +5,0
108,3,0,0,0,0,0,0,0,0,7508,0,0,Strength +6,0
109,3,0,0,0,0,0,0,0,0,7509,0,0,Strength +7,0
110,3,0,0,0,0,0,0,0,0,7511,0,0,+1 Defense,0
111,3,0,0,0,0,0,0,0,0,7513,0,0,Defense +2,0
112,3,0,0,0,0,0,0,0,0,7514,0,0,Defense +3,0
113,3,0,0,0,0,0,0,0,0,7515,0,0,Defense +4,0
114,3,0,0,0,0,0,0,0,0,7516,0,0,Defense +5,0
115,3,0,0,0,0,0,0,0,0,7517,0,0,Defense +6,0
116,3,0,0,0,0,0,0,0,0,7518,0,0,Defense +7,0
117,2,0,0,4,0,0,4,0,0,0,0,0,Damage +4,0
118,2,0,0,5,0,0,5,0,0,0,0,0,Damage +5,0
119,2,0,0,6,0,0,6,0,0,0,0,0,Damage +6,0
120,2,0,0,7,0,0,7,0,0,0,0,0,Damage +7,0
121,4,0,0,5,0,0,5,0,0,0,0,0,Armor +5,0
122,4,0,0,6,0,0,6,0,0,0,0,0,Armor +6,0
123,4,0,0,7,0,0,7,0,0,0,0,0,Armor +7,0
124,4,0,0,2,0,0,2,0,0,0,0,0,Armor +2,0
125,3,0,0,0,0,0,0,0,0,7520,0,0,Sword Skill +1,0
126,3,0,0,0,0,0,0,0,0,7522,0,0,Sword Skill +2,0
127,3,0,0,0,0,0,0,0,0,7523,0,0,Sword Skill +3,0
128,3,0,0,0,0,0,0,0,0,7524,0,0,Sword Skill +4,0
129,3,0,0,0,0,0,0,0,0,7525,0,0,Sword Skill +5,0
130,3,0,0,0,0,0,0,0,0,7526,0,0,Sword Skill +6,0
131,3,0,0,0,0,0,0,0,0,7527,0,0,Sword Skill +7,0
132,3,0,0,0,0,0,0,0,0,7529,0,0,Two-Handed Sword Skill +1,0
133,3,0,0,0,0,0,0,0,0,7561,0,0,Two-Handed Sword Skill +2,0
134,3,0,0,0,0,0,0,0,0,7562,0,0,Two-Handed Sword Skill +3,0
135,3,0,0,0,0,0,0,0,0,7563,0,0,Two-Handed Sword Skill +4,0
136,3,0,0,0,0,0,0,0,0,7564,0,0,Two-Handed Sword Skill +5,0
137,3,0,0,0,0,0,0,0,0,7565,0,0,Two-Handed Sword Skill +6,0
138,3,0,0,0,0,0,0,0,0,7566,0,0,Two-Handed Sword Skill +7,0
139,3,0,0,0,0,0,0,0,0,7532,0,0,Mace Skill +1,0
140,3,0,0,0,0,0,0,0,0,7543,0,0,Mace Skill +2,0
141,3,0,0,0,0,0,0,0,0,7544,0,0,Mace Skill +3,0
142,3,0,0,0,0,0,0,0,0,7545,0,0,Mace Skill +4,0
143,3,0,0,0,0,0,0,0,0,7546,0,0,Mace Skill +5,0
144,3,0,0,0,0,0,0,0,0,7547,0,0,Mace Skill +6,0
145,3,0,0,0,0,0,0,0,0,7548,0,0,Mace Skill +7,0
146,3,0,0,0,0,0,0,0,0,7533,0,0,Two-Handed Mace Skill +1,0
147,3,0,0,0,0,0,0,0,0,7555,0,0,Two-Handed Mace Skill +2,0
148,3,0,0,0,0,0,0,0,0,7556,0,0,Two-Handed Mace Skill +3,0
149,3,0,0,0,0,0,0,0,0,7557,0,0,Two-Handed Mace Skill +4,0
150,3,0,0,0,0,0,0,0,0,7558,0,0,Two-Handed Mace Skill +5,0
151,3,0,0,0,0,0,0,0,0,7559,0,0,Two-Handed Mace Skill +6,0
152,3,0,0,0,0,0,0,0,0,7560,0,0,Two-Handed Mace Skill +7,0
153,3,0,0,0,0,0,0,0,0,7530,0,0,Axe Skill +1,0
154,3,0,0,0,0,0,0,0,0,7537,0,0,Axe Skill +2,0
155,3,0,0,0,0,0,0,0,0,7538,0,0,Axe Skill +3,0
156,3,0,0,0,0,0,0,0,0,7539,0,0,Axe Skill +4,0
157,3,0,0,0,0,0,0,0,0,7540,0,0,Axe Skill +5,0
158,3,0,0,0,0,0,0,0,0,7541,0,0,Ase Skill +6,0
159,3,0,0,0,0,0,0,0,0,7542,0,0,Axe Skill +7,0
160,3,0,0,0,0,0,0,0,0,7549,0,0,Two-Handed Axe Skill +1,0
