ID,PrecastKit,CastKit,ImpactKit,StateKit,ChannelKit,HasMissile,MissileModel,MissilePathType,MissileDestinationAttachment,MissileSound,HasAreaEffect,AreaModel,AreaKit,AnimEventSoundID,WeaponTrailRed,WeaponTrailGreen,WeaponTrailBlue,WeaponTrailAlpha,WeaponTrailFadeoutRate,WeaponTrailDuration
1,3,1,0,0,0,0,0,0,1,0,0,1,0,0,-1,-1,-1,-1,0,1000
2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
3,32,11,0,0,0,0,0,0,1,0,1,74,0,0,-1,-1,-1,-1,0,1000
4,6,6,5,0,0,1,17,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
5,7,164,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
6,0,395,0,697,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
7,45,46,9,33,0,0,0,0,1,0,0,22,0,0,-1,-1,-1,-1,0,1000
8,32,11,18,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
9,137,138,0,0,0,0,0,0,1,0,1,27,0,0,-1,-1,-1,-1,0,1000
10,114,118,0,87,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
11,17,47,0,0,0,0,0,0,1,0,1,29,0,0,-1,-1,-1,-1,0,1000
12,17,59,18,0,0,1,32,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
13,194,202,68,285,0,1,259,0,1,3013,0,0,0,0,-1,-1,-1,-1,0,1000
14,195,203,0,73,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
15,32,11,0,73,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
16,195,203,24,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
17,195,160,0,285,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
18,31,19,26,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
19,36,37,0,221,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
20,30,38,133,0,0,1,52,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
21,0,0,0,0,0,0,0,0,1,0,1,51,0,0,-1,-1,-1,-1,0,1000
22,30,38,286,0,0,1,587,0,1,3011,0,0,0,0,-1,-1,-1,-1,0,1000
23,32,11,34,33,0,0,0,0,1,0,0,22,0,0,-1,-1,-1,-1,0,1000
24,35,11,34,33,0,0,0,0,1,0,0,22,0,0,-1,-1,-1,-1,0,1000
25,12,11,0,79,0,0,0,0,1,0,0,22,0,0,-1,-1,-1,-1,0,1000
26,35,11,24,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
27,217,218,42,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
28,30,38,145,0,0,1,188,0,1,1454,0,0,0,0,-1,-1,-1,-1,0,1000
29,0,44,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
30,45,46,49,33,0,0,0,0,1,0,0,22,0,0,-1,-1,-1,-1,0,1000
31,30,38,0,0,0,0,0,0,1,0,1,69,0,0,-1,-1,-1,-1,0,1000
32,345,181,56,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
33,60,61,0,767,716,0,0,0,1,0,1,420,695,0,-1,-1,-1,-1,0,1000
34,0,259,255,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
35,30,38,57,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
