ID,ContinentID,Pos[0],Pos[1],Pos[2],Name_lang
1,0,-8888.98,-0.54,94.39,Northshire Abbey
2,0,-8840.56,489.7,109.61,"Stormwind, Elwynn"
3,0,16391.81,16341.21,69.44,Programmer Isle
4,0,-10628.89,1036.68,34.06,"Sentinel Hill, Westfall"
5,0,-9429.1,-2231.4,68.65,"Lakeshire, Redridge"
6,0,-4650,-1189.24,503.79,"Ironforge, Dun Morogh"
7,0,-3790.51,-781.64,9.36,"Menethil Harbor, Wetlands"
8,0,-5421.91,-2930.01,347.25,"Thelsamar, Loch Modan"
9,0,-14271.77,299.87,31.09,"Booty Bay, Stranglethorn"
10,0,478.86,1536.59,131.32,"Sepulcher, Silverpine"
11,0,1568.62,267.97,-43.1,"Undercity, Tirisfal"
12,0,-10510.65,-1248.78,41.12,"Darkshire, Duskwood"
13,0,-0.11,-860.12,58.82,"Tarren Mill, Hillsbrad"
14,0,-711.48,-515.48,26.11,"Southshore, Hillsbrad"
15,0,2253.4,-5344.9,83.38,Eastern Plaguelands
16,0,-1240.53,-2515.11,22.16,Arathi - Refuge Pointe
17,0,-920.24,-3496.76,70.48,Arathi - Hammerfall
18,0,-14444.29,509.62,26.2,Stranglethorn - Booty Bay - Horde
19,0,-14473.05,464.15,36.43,Stranglethorn - Booty Bay - Alliance
20,0,-12409.65,146.91,3.34,Stranglethorn - Grom'gol
21,0,-6633.38,-2184.3,244.14,Badlands - Kargath - Windrider
22,1,-1197.21,29.71,176.95,Mulgore - Thunder Bluff
23,1,1678.95,-4316.42,68.94,Durotar - Orgrimmar
24,0,-6666,-2222.3,278.6,Badlands - Kargath - Bat
25,1,-441.8,-2596.08,96.06,The Barrens - Crossroads
26,1,9945.62,2642.33,1317.99,Teldrassil - Darnassus
27,1,6341.39,557.87,15.94,Darkshore - Auberdeen
28,1,2827.34,-289.24,107.16,Ashenvale - Astranaar
29,1,-180.54,-295.33,11.54,Stonetalon Mtns. - Sun Rock
30,1,-5407.71,-2414.3,90.32,Thousand Needles - Freewind Post
31,1,-4491.78,-775.85,-39.5,Thousand Needles - Thalanaar
32,1,-3825.37,-4516.58,10.44,Dustwallow - Theramore
33,1,2686.47,1463.83,232.83,Stonetalon Mtns. - Stonetalon Peak
34,1,-1965.17,-5824.29,-1.06,The Barrens - Ratchet Boat Return TEST
35,1,-1011.14,-3759.51,-1.11,The Barrens - Ratchet Boat TEST
36,0,0,0,0,TEST
