ID,MapID,AreaID,LeftBoundary,RightBoundary,TopBoundary,BottomBoundary,AreaName
4,1,14,35,46,28,35,Durotar
9,1,215,27,38,32,39,Mulgore
11,1,17,25,48,29,44,Barrens
13,1,0,1,63,10,51,Kalimdor
14,0,0,5,61,23,60,Azeroth
15,0,36,30,35,29,32,Alterac
16,0,45,33,41,32,37,Arathi
17,0,3,35,43,42,47,Badlands
18,0,25,31,36,44,47,Blackrock
19,0,4,33,41,51,56,BlastedLands
20,0,85,27,35,25,30,Tirisfal
21,0,130,25,33,29,34,Silverpine
22,0,28,31,39,25,30,WesternPlaguelands
23,0,139,34,45,23,30,EasternPlaguelands
24,0,267,29,37,31,36,Hilsbrad
26,0,47,34,42,29,34,Hinterlands
27,0,1,29,37,39,44,DunMorogh
28,0,51,29,37,42,47,SearingGorge
29,0,46,32,37,45,48,BurningSteppes
30,0,12,28,36,46,51,Elwynn
31,0,394,34,39,28,31,DarrowmereLake
32,0,41,33,38,50,53,DeadwindPass
34,0,10,30,35,50,53,Duskwood
35,0,38,35,43,39,44,LochModan
36,0,44,35,40,48,51,Redridge
37,0,33,27,38,53,60,Stranglethorn
38,0,8,36,41,50,53,SwampOfSorrows
39,0,40,25,33,48,53,Westfall
40,0,11,33,41,36,41,Wetlands
