ID,AreaNumber,ContinentID,ParentAreaNum,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,MIDIAmbience,MIDIAmbienceUnderwater,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang[0],AreaName_lang[1],AreaName_lang[2],AreaName_lang[3],AreaName_lang[4],AreaName_lang[5],AreaName_lang[6],AreaName_lang[7],AreaName_lang_mask
249,589825,0,589824,8,0,0,11,30,25,10,0,0,-1,Dreadmaul Rock,,,,,,,,6750208
251,589827,0,589824,8,0,0,11,0,25,0,0,0,-1,Flame Crest,,,,,,,,6750208
252,589828,0,589824,8,0,0,11,30,25,10,0,0,-1,Blackrock Stronghold,,,,,,,,6750210
253,589829,0,589824,8,0,0,11,0,25,0,0,0,-1,The Pillar of Ash,,,,,,,,6750208
255,589831,0,589824,8,0,0,11,30,25,10,0,0,-1,Altar of Storms,,,,,,,,6750210
256,327684,1,327680,2,0,0,11,35,25,11,0,0,-1,Aldrassil,,,,,,,,6750210
257,327685,1,327680,2,0,0,11,35,25,11,0,0,-1,Shadowthread Cave,,,,,,,,6750208
258,327686,1,327680,2,0,0,11,35,25,11,0,0,-1,Fel Rock,,,,,,,,6750210
259,327687,1,327680,2,0,0,11,35,25,11,0,0,-1,Lake Al'Ameth,,,,,,,,6750210
260,327688,1,327680,2,0,0,11,35,25,11,0,0,-1,Starbreeze Village,,,,,,,,6750210
261,327689,1,327680,2,0,0,11,0,25,0,0,0,-1,Gnarlpine Hold,,,,,,,,6750208
262,327690,1,327680,2,0,0,11,48,25,11,0,0,-1,Ban'ethil Barrow Den,,,,,,,,6750208
263,327691,1,327680,2,0,0,11,0,25,0,0,0,-1,The Cleft,,,,,,,,6750208
264,327692,1,327680,2,0,0,11,35,25,11,0,0,-1,The Oracle Glade,,,,,,,,6750208
265,327693,1,327680,2,0,0,11,0,25,0,0,0,-1,The Wellspring River,,,,,,,,6750208
