ID,RaceMask,ClassMask,ExcludeRace,ExcludeClass,CategoryID,SkillType,MinCharLevel,MaxRank,Abandonable,DisplayName_lang[0]
393,0,0,0,0,3,4,1,1000,1,Skinning
6,0,128,0,0,3,0,1,1000,0,Frost Magic
8,0,448,0,0,3,0,1,1000,0,Fire Magic
26,0,1,0,0,3,0,1,1000,0,Combat Maneuvers
38,0,8,0,0,2,0,1,1000,0,Street Fighting
39,0,8,0,0,3,0,1,1000,0,Deception
40,0,8,0,0,3,0,1,1000,0,Poisons
43,0,15,0,0,2,0,1,1000,1,Swords
44,0,69,0,0,2,0,1,1000,1,Axes
45,100,13,1,0,2,0,1,1000,1,Bows
46,117,13,0,0,2,0,1,1000,1,Guns
50,0,4,0,0,3,0,1,1000,0,Beast Handling
51,0,4,0,0,3,0,1,1000,0,Tracking
54,0,83,0,0,2,0,1,1000,0,Maces
55,0,7,0,0,2,0,1,1000,1,Two-Handed Swords
56,0,18,0,0,3,0,1,1000,0,Holy Magic
74,0,32,0,0,3,0,0,0,0,Feign Death
78,0,272,0,0,3,0,1,1000,0,Shadow Magic
95,0,0,0,0,2,0,1,1000,0,Defense
96,0,1024,0,0,3,0,1,1000,0,Nature Magic
98,93,0,0,0,1,4,1,300,0,Language: Common
99,162,0,0,0,1,4,1,300,1,Language: Common
101,4,0,0,0,4,2,1,1000,0,Dwarven Racial
109,178,0,0,0,1,4,1,300,0,Language: Orcish
110,77,0,0,0,1,4,1,300,1,Language: Orcish
111,4,0,0,0,1,4,1,300,0,Language: Dwarven
112,251,0,0,0,1,4,1,300,1,Language: Dwarven
113,8,0,0,0,1,4,1,300,0,Language: Darnassian
114,247,0,0,0,1,4,1,300,1,Language: Darnassian
115,32,0,0,0,1,4,1,300,0,Language: Taurahe
116,223,0,0,0,1,4,1,300,1,Language: Taurahe
118,0,13,0,0,2,0,10,1000,0,Dual Wield
120,0,256,0,0,4,0,1,1000,0,Summoning
124,32,0,0,0,4,2,1,1000,0,Tauren Racial
125,2,0,0,0,4,2,1,1000,0,Orc Racial
126,8,0,0,0,4,2,1,1000,0,Night Elf Racial
129,0,1503,0,0,2,4,1,1000,1,First Aid
136,0,1488,0,0,2,0,1,1000,1,Staves
137,0,0,0,0,1,4,1,1000,1,Thalassian
138,0,0,0,0,1,4,1,1000,1,Draconic
139,0,0,0,0,1,4,1,1000,1,Demon Tongue
140,0,0,0,0,1,4,1,1000,1,Titan
141,0,0,0,0,1,4,1,1000,1,Old Tongue
142,0,0,0,0,1,4,1,1000,1,Survival
148,17,0,0,0,1,4,1,300,1,Horse Riding
149,130,0,0,0,1,4,1,300,1,Wolf Riding
150,8,0,0,0,1,4,1,300,1,Tiger Riding
151,255,0,1,0,1,4,1,1000,0,Nightmare Riding
152,68,0,0,0,1,4,1,300,1,Ram Riding
155,0,0,0,0,1,4,1,1000,1,Swimming
160,0,1027,0,0,2,0,1,1000,1,Two-Handed Maces
162,0,1495,0,0,2,0,1,1000,0,Unarmed
163,0,4,0,0,3,0,1,1000,0,Combat Shots
164,0,0,0,0,3,4,1,1000,1,Blacksmithing
165,0,0,0,0,3,4,1,1000,1,Leatherworking
171,0,0,0,0,3,4,1,1000,1,Alchemy
172,0,1029,0,0,2,0,1,1000,1,Two-Handed Axes
173,0,397,0,0,2,0,1,1000,1,Daggers
176,0,13,0,0,2,0,1,1000,1,Thrown
181,0,136,0,1,1,4,1,1000,1,Lockpicking
182,0,0,0,0,3,4,1,1000,1,Herbalism
183,0,0,0,0,4,0,1,1000,0,GENERIC (DND)
184,0,2,0,0,2,0,1,1000,0,Holy Strikes
185,0,0,0,0,3,4,1,1000,1,Cooking
186,0,0,0,0,3,4,1,1000,1,Mining
188,255,0,1,0,4,0,1,1000,0,Pet - Imp
189,255,0,1,0,4,0,1,1000,0,Pet - Felhunter
197,0,0,0,0,3,4,1,1000,1,Tailoring
198,0,2,0,0,3,0,1,1000,0,Seals
199,0,64,0,0,2,0,1,1000,0,Spirit Magic
202,0,0,0,0,3,4,1,1000,1,Engineering
203,255,0,1,0,4,0,1,1000,0,Pet - Spider
204,255,0,1,0,4,0,1,1000,0,Pet - Voidwalker
205,255,0,1,0,4,0,1,1000,0,Pet - Succubus
206,255,0,1,0,4,0,1,1000,0,Pet - Infernal
207,255,0,1,0,4,0,1,1000,0,Pet - Doomguard
208,255,0,1,0,4,0,1,1000,0,Pet - Wolf
209,255,0,1,0,4,0,1,1000,0,Pet - Cat
210,255,0,1,0,4,0,1,1000,0,Pet - Bear
211,255,0,1,0,4,0,1,1000,0,Pet - Boar
212,255,0,1,0,4,0,1,1000,0,Pet - Crocilisk
213,255,0,1,0,4,0,1,1000,0,Pet - Carrion Bird
214,255,0,1,0,4,0,1,1000,0,Pet - Crab
215,255,0,1,0,4,0,1,1000,0,Pet - Gorilla
216,255,0,1,0,4,0,1,1000,0,Pet - Horse
217,255,0,1,0,4,0,1,1000,0,Pet - Raptor
218,255,0,1,0,4,0,1,1000,0,Pet - Tall Strider
220,16,0,0,0,4,2,1,1000,0,Racial - Undead
222,0,0,0,0,4,3,1,1000,0,Weapon Talents
226,0,13,0,0,2,0,1,1000,1,Crossbows
227,0,4,0,0,2,0,1,1000,1,Spears
228,0,400,0,0,2,0,1,1000,0,Wands
229,0,1,0,0,2,0,1,1000,1,Polearms
230,0,0,0,0,4,3,1,1000,0,Attribute Enhancements
231,0,0,0,0,4,3,1,1000,0,Slayer Talents
233,0,0,0,0,4,3,1,1000,0,Magic Talents
234,0,0,0,0,4,3,1,1000,0,Defensive Talents
236,255,0,1,0,4,0,1,1000,0,Pet - Scorpion
237,0,128,0,0,3,0,1,1000,0,Arcane Magic
238,0,8,0,0,3,0,4,1000,0,Pick Pockets
239,0,8,0,0,3,0,1,1000,0,Stealth
241,0,8,0,0,3,0,1,1000,0,Disarm Traps
242,0,8,0,0,3,0,1,1000,0,Lockpicking
243,0,1,0,0,4,0,1,1000,0,Stances
244,0,1,0,0,2,0,1,1000,0,Shouts
245,0,1,0,0,2,0,1,1000,0,Advanced Combat
246,0,2,0,0,3,0,1,1000,0,Undead Mastery
247,0,1024,0,0,3,0,1,1000,0,Sneaking
273,0,4,0,0,3,0,1,1000,0,Disengage
249,0,475,0,0,3,0,1,1000,0,Forage
251,255,0,1,0,4,0,1,1000,0,Pet - Turtle
252,0,9,0,0,2,0,1,1000,0,Ranged Combat
253,0,8,0,0,2,0,1,1000,0,Assassination
254,0,8,0,0,3,0,1,1000,0,Acrobatics
255,0,1,0,0,2,0,1,1000,0,Dueling
256,0,1,0,0,2,0,4,1000,0,Savage Combat
257,0,1,0,0,2,0,1,1000,0,Shields
258,0,1,0,0,3,0,10,1000,0,Taunt
260,0,4,0,0,3,0,1,1000,0,Mend Pet
261,0,4,0,0,3,0,1,1000,0,Beast Training
262,0,4,0,0,2,0,1,1000,0,Expert Shots
263,0,4,0,0,2,0,1,1000,0,Fire Shots
264,0,4,0,0,2,0,1,1000,0,Frost Shots
293,0,3,0,0,4,0,1,300,0,Plate Mail
313,64,0,0,0,1,4,1,300,0,Language: Gnomish
267,0,2,0,0,4,0,1,1000,0,Auras
268,0,2,0,0,2,0,1,1000,0,Block
269,0,2,0,0,3,0,1,1000,0,Justice
270,255,0,1,0,4,0,1,1000,0,Pet - Talents
272,0,1024,0,0,2,0,1,1000,0,Growl
314,191,0,0,0,1,4,1,300,1,Language: Gnomish
315,128,0,0,0,1,4,1,300,0,Language: Troll
316,127,0,0,0,1,4,1,300,1,Language: Troll
333,0,0,0,0,3,4,1,1000,1,Enchanting
353,0,256,0,0,4,0,1,1000,0,Soul Craft
354,0,256,0,0,3,0,1,1000,0,Demon Mastery
355,0,0,0,0,2,0,1,1000,0,Curses
356,0,0,0,0,3,4,1,1000,1,Fishing
130,0,128,0,0,3,0,4,1000,0,Conjuration
134,0,1024,0,0,2,0,1,1000,0,Shapeshifting
373,0,64,0,0,2,0,1,1000,0,Air Magic
374,0,64,0,0,2,0,1,1000,0,Water Magic
375,0,64,0,0,2,0,1,1000,0,Earth Magic
