ID,MapAreaID,AreaID,MapPointX,MapPointY,TextureName,TextureWidth,TextureHeight,OffsetX,OffsetY
1,30,80,0,0,STORMWIND,434,440,50,0
2,30,9,0,0,NORTHSHIRE,320,371,324,22
3,30,87,0,0,GOLDSHIRE,163,218,337,272
4,30,18,0,0,CRYSTALLAKE,216,228,411,326
5,30,57,0,0,FARGODEEPMINE,161,230,545,219
7,30,54,0,0,JASPERLODEMINE,245,213,586,121
8,30,62,0,0,BRACKWELL,374,190,473,449
9,30,88,0,0,EASTVALE,275,309,721,315
10,30,86,0,0,HEROESVIGIL,360,334,641,125
11,30,64,0,0,MACCLUREFARM,200,188,342,480
12,30,63,0,0,STONEFIELDFARM,205,226,257,442
13,30,91,0,0,TOWEROFAZORA,211,170,563,363
14,30,60,0,0,WESTBROOK,266,306,107,362
