ID,VolumeFloat,MusicFile[0],MusicFile[1],SilenceIntervalMin[0],SilenceIntervalMin[1],SilenceIntervalMax[0],SilenceIntervalMax[1],SegmentLength[0],SegmentLength[1],SegmentPlayMin[0],SegmentPlayMin[1],SegmentPlayMax[0],SegmentPlayMax[1],Sounds[0],Sounds[1]
1,0.175,Sound\Music\ZoneMusic\DayForest.mp3,Sound\Music\ZoneMusic\NightForest.mp3,20000,20000,30000,30000,60000,60000,1,1,2,2,2523,2533
2,0.38,Sound\Music\ZoneMusic\DayEvilForest.mp3,Sound\Music\ZoneMusic\NightEvilForest.mp3,20000,20000,30000,30000,60000,60000,1,1,2,2,2524,2534
3,0.385,Sound\Music\ZoneMusic\DayJungle.mp3,Sound\Music\ZoneMusic\NightJungle.mp3,20000,20000,30000,30000,60000,60000,1,1,2,2,2525,2535
7,0.33,Sound\Music\ZoneMusic\DayBarrenDry.mp3,Sound\Music\ZoneMusic\NightBarrenDry.mp3,20000,20000,30000,30000,60000,60000,1,1,2,2,2526,2536
8,0.43,Sound\Music\ZoneMusic\DayMountain.mp3,Sound\Music\ZoneMusic\NightMountain.mp3,20000,20000,30000,30000,60000,60000,1,1,2,2,2527,2537
9,0.33,Sound\Music\ZoneMusic\DayPlains.mp3,Sound\Music\ZoneMusic\NightPlains.mp3,20000,20000,30000,30000,60000,60000,1,1,2,2,2528,2538
10,0.585,Sound\Music\ZoneMusic\DayVolcanic.mp3,Sound\Music\ZoneMusic\NightVolcanic.mp3,20000,20000,30000,30000,60000,60000,1,1,2,2,2529,2539
11,0.275,Sound\Music\ZoneMusic\EnchantedForest.mp3,Sound\Music\ZoneMusic\EnchantedForest.mp3,20000,20000,30000,30000,15000,15000,1,1,2,2,2530,2540
12,0.275,Sound\Music\ZoneMusic\StormwindCity.mp3,Sound\Music\ZoneMusic\StormwindCity.mp3,20000,20000,30000,30000,60000,60000,1,1,2,2,2541,2541
13,0.275,Sound\Music\ZoneMusic\StormwindCity.mp3,Sound\Music\ZoneMusic\StormwindCity.mp3,20000,20000,30000,30000,30000,30000,1,1,2,2,2532,2542
14,1,,,20000,20000,30000,30000,0,0,0,0,0,0,2902,2901
15,1,,,20000,20000,30000,30000,0,0,0,0,0,0,2989,2990
16,1,,,20000,20000,30000,30000,0,0,0,0,0,0,3402,3402
17,1,,,0,0,0,0,0,0,0,0,0,0,0,0
