ID,ContinentID,ParentAreaID,Flags,SoundProviderPref,SoundProviderPrefUnderwater,MIDIAmbience,MIDIAmbienceUnderwater,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang[0]
249,0,46,0,0,11,30,25,10,0,0,-1,Dreadmaul Rock
251,0,46,0,0,11,0,25,0,0,0,-1,Flame Crest
252,0,46,0,0,11,30,25,10,0,0,-1,Blackrock Stronghold
253,0,46,0,0,11,0,25,0,0,0,-1,The Pillar of Ash
255,0,46,0,0,11,30,25,10,0,0,-1,Altar of Storms
256,1,141,0,0,11,35,25,11,0,0,-1,Aldrassil
257,1,141,0,0,11,35,25,11,0,0,-1,Shadowthread Cave
258,1,141,0,0,11,35,25,11,0,0,-1,Fel Rock
259,1,141,0,0,11,35,25,11,0,0,5,Lake Al'Ameth
260,1,141,0,0,11,35,25,11,0,0,6,Starbreeze Village
261,1,141,0,0,11,0,25,0,0,0,8,Gnarlpine Hold
262,1,141,0,0,11,48,25,11,0,0,-1,Ban'ethil Barrow Den
263,1,141,0,0,11,0,25,0,0,0,-1,The Cleft
264,1,141,0,0,11,35,25,11,0,0,9,The Oracle Glade
265,1,141,0,0,11,0,25,0,0,0,0,Wellspring River
266,1,141,0,0,11,0,25,0,0,0,9,Wellspring Lake
267,0,0,0,0,11,44,25,1,0,0,-1,Hillsbrad Foothills
269,0,0,0,0,11,38,25,0,0,0,18,Dun Algaz
272,0,267,0,0,11,44,25,1,0,0,20,Tarren Mill
275,0,267,0,0,11,44,25,1,0,0,21,Durnholde Keep
277,0,36,0,0,11,40,25,1,0,0,-1,The Foothill Caverns
278,0,36,0,0,11,40,25,1,0,0,32,Lordamere Internment Camp
279,0,36,0,0,11,0,25,0,0,0,30,Dalaran
280,0,36,0,0,11,40,25,1,0,0,34,Strahnbrad
281,0,36,0,0,11,40,25,1,0,0,36,Ruins of Alterac
282,0,36,0,0,11,40,25,0,0,0,-1,Crushridge Hold
283,0,36,0,0,11,0,25,0,0,0,-1,Slaughter Hollow
284,0,36,0,0,11,40,25,1,0,0,-1,The Uplands
285,0,267,0,0,11,44,25,2,0,0,-1,Southpoint Tower
286,0,267,0,0,11,44,25,1,0,0,22,Hillsbrad Fields
287,0,267,0,0,11,44,25,1,0,0,-1,Hillsbrad
288,0,267,0,0,11,44,25,1,0,0,-1,Azureload Mine
289,0,267,0,0,11,44,25,1,0,0,26,Nethander Stead
290,0,267,0,0,11,44,25,1,0,0,-1,Dun Garok
293,0,0,0,0,11,44,25,1,0,0,30,Thoradin's Wall
294,0,267,0,0,11,44,25,1,0,0,30,Eastern Strand
296,0,0,0,0,11,0,25,0,0,0,-1,South Seas
297,0,33,0,0,11,0,25,0,0,0,-1,Jaguero Isle
298,0,11,0,0,11,38,25,3,0,0,0,Baradin Bay
299,0,11,0,0,11,0,25,0,0,0,0,Menethil Bay
300,0,8,0,0,11,0,25,0,0,0,-1,Mistyreed Strand
301,0,33,0,0,11,17,25,3,0,0,-1,The Savage Coast
303,0,33,0,0,11,0,25,0,0,0,-1,Shell Beach
