ID,KitType,Anim,HeadEffect,ChestEffect,BaseEffect,LeftHandEffect,RightHandEffect,BreathEffect,SpecialEffect[0],SpecialEffect[1],SpecialEffect[2],CharacterProcedure,CharacterParam[0],CharacterParam[1],CharacterParam[2],CharacterParam[3],SoundID,ShakeID
217,0,51,-1,-1,-1,17,17,-1,-1,-1,-1,-1,0,0,0,0,745,0
218,0,53,-1,-1,-1,17,17,-1,-1,-1,-1,-1,0,0,0,0,2560,0
219,1,0,-1,223,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,743,0
220,1,0,-1,228,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3134,0
221,2,0,-1,276,-1,-1,-1,-1,-1,-1,-1,1,65280,2,2,0,0,0
222,1,0,238,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1456,0
223,0,51,-1,-1,-1,88,88,-1,-1,-1,-1,-1,0,0,0,0,3087,0
224,0,53,-1,-1,-1,293,293,-1,-1,-1,-1,-1,1,1,0,0,2560,0
225,1,0,-1,-1,239,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,39,0
226,1,0,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1435,0
227,1,0,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1365,0
228,1,0,-1,245,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1431,0
229,0,53,-1,-1,-1,163,163,-1,-1,-1,-1,-1,0,0,0,0,1270,0
230,1,0,-1,-1,409,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1372,0
231,1,0,-1,-1,247,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1434,0
232,1,0,-1,-1,249,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1432,0
233,1,0,474,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,743,0
234,2,0,-1,-1,251,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,933,0
235,2,0,-1,-1,297,-1,-1,-1,-1,-1,-1,1,15160897,0.8,0.2,0.2,0,0
237,0,59,-1,-1,99,-1,242,-1,-1,-1,-1,-1,0,0,0,0,3373,0
238,0,113,-1,-1,-1,-1,256,-1,-1,-1,-1,-1,0,0,0,0,-1,0
239,0,112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
240,1,0,-1,-1,257,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,18,3
241,0,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0
242,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,0,0,0,0,0
243,2,0,-1,97,-1,-1,-1,-1,-1,-1,-1,2,1.4,1,0,0,0,0
244,2,0,-1,252,-1,-1,-1,-1,-1,-1,-1,2,0.5,0,1,0,0,0
245,2,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,45,0
246,0,117,-1,-1,-1,-1,242,-1,-1,-1,-1,-1,0,0,0,0,1162,0
247,2,0,-1,-1,99,-1,417,-1,-1,-1,-1,-1,0,0,0,0,3373,0
248,1,0,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1455,0
249,1,0,-1,-1,264,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1423,0
250,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1148,0
