ID,ContinentID,ParentAreaID,Flags,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang[0],AreaName_lang[1],AreaName_lang[2],AreaName_lang[3],AreaName_lang[4],AreaName_lang[5],AreaName_lang[6],AreaName_lang[7],AreaName_lang_mask,FactionGroupMask
396,1,215,0,0,11,0,9,0,0,6,Winterhoof Water Well,,,,,,,,7274514,0
397,1,215,0,0,11,0,9,0,0,7,Thunderhorn Water Well,,,,,,,,7274514,0
1,0,0,1,0,11,42,8,14,0,-1,Dun Morogh,,,,,,,,983058,2
2,0,40,0,0,11,0,9,0,0,-1,Longshore,,,,,,,,983058,0
3,0,0,0,0,11,25,7,0,0,-1,Badlands,,,,,,,,7274514,0
4,0,0,0,0,11,46,10,0,0,-1,Blasted Lands,,,,,,,,65538,0
7,0,33,0,0,11,0,3,0,0,-1,Blackwater Cove,,,,,,,,7274514,0
8,0,0,0,0,11,32,3,1512850505,0,-1,Swamp of Sorrows,,,,,,,,983042,0
9,0,12,0,0,11,35,1,0,0,0,Northshire Valley,,,,,,,,983058,0
12,0,0,0,0,11,35,1,0,0,-1,Elwynn Forest,,,,,,,,983058,2
14,1,0,0,0,11,25,9,14,0,-1,Durotar,,,,,,,,983058,4
15,1,0,0,0,11,33,3,1512850505,0,-1,Dustwallow Marsh,,,,,,,,983058,0
16,1,0,0,0,11,31,176,0,0,-1,Azshara,,,,,,,,65538,0
17,1,0,0,0,11,38,7,1512850505,0,-1,The Barrens,,,,,,,,983042,4
18,0,12,0,0,11,35,1,0,0,0,Crystal Lake,,,,,,,,7274514,0
20,0,40,0,0,11,0,9,0,0,-1,Moonbrook,,,,,,,,7274514,0
21,0,0,0,0,11,0,8,0,0,-1,Kul Tiras,,,,,,,,7274514,0
23,0,12,0,0,11,35,0,0,0,-1,Northshire River,,,,,,,,7274514,0
24,0,12,0,73,11,35,1,4454,1,0,Northshire Abbey,,,,,,,,983058,0
25,0,0,0,0,11,46,10,0,0,-1,Blackrock Spire,,,,,,,,589826,0
28,0,0,0,0,11,37,10,0,0,-1,Western Plaguelands,,,,,,,,7274514,0
30,0,0,0,0,11,0,0,0,0,-1,Nine,,,,,,,,7274498,0
32,0,10,0,0,11,0,2,0,0,-1,The Cemetary,,,,,,,,7274514,0
33,0,0,0,0,11,32,3,1512850505,0,-1,Stranglethorn Vale,,,,,,,,7274514,0
34,0,12,0,0,11,35,1,0,0,8,Echo Ridge Mine,,,,,,,,983058,0
