ID,ModelID,SoundID,ExtendedDisplayInfoID,CreatureModelScale,CreatureModelAlpha,TextureVariation[0],TextureVariation[1],TextureVariation[2],SizeClass,BloodID
267,101,0,0,1,255,HumanMaleMerchant02Skin1,,,1,0
268,11,0,0,1,255,GrellSkinBlanca,,,0,0
269,10,0,0,0.95,255,RedRidgeGnollWhelpSkin,,,1,0
275,10,0,0,1,255,ShadowHideGnollWhelpSkin,,,1,0
277,108,0,0,1,255,HumanMaleCaster_DefiasMage,,,1,0
278,109,0,0,1,255,HumanFemaleCaster_SkinWarlock,,,1,0
280,23,0,0,1,255,,,,1,0
282,104,0,31,1,255,HumanMaleWarriorHeavy_Skin01,,,1,0
283,30,0,0,1,255,MineSpiderSkinGreen,,,1,0
285,97,0,0,1,255,HumanFemalePeasant_BrownDress,,,1,0
286,105,0,0,1,255,HumanMaleWarriorMediumSkinLight,,,1,0
295,791,0,0,1,255,WyvernSkin01,WyvernSkin02,,1,0
298,119,0,0,1,255,TrollSkinJungleBloodScalpMelee,,,1,0
299,118,0,0,1,255,TrollSkinJungleBloodScalpScout,,,1,0
300,16,0,0,1,255,HumanThiefSkin_var5,,,1,0
301,74,0,0,1,255,HumanMalePeasantskinblack,,,1,0
302,50,0,0,1,255,HumanFemaleWarriorLight_Skin02,,,1,0
304,111,0,0,1,255,ChickenSkin,,,0,0
308,74,0,0,1,255,HumanMalePeasantLightSkin,,,1,0
309,74,0,0,1,255,HumanMalePeasantLightSkin,,,1,0
310,74,0,0,1,255,HumanMalePeasantLightSkin,,,1,0
312,53,0,23,1,255,DwarfMaleWarriorLightSkin,,,1,0
314,116,0,0,1,255,TrollSkinJungleBloodScalpCaster,,,1,0
316,119,0,0,1,255,TrollSkinJungleSplitSkullMelee,,,1,0
317,116,0,0,1,255,TrollSkinJungleSplitSkullCaster,,,1,0
320,82,0,0,1,255,TigerSkinRed,,,1,0
321,82,0,0,1,255,TigerSkinBlack,,,1,0
322,34,0,0,1,255,RaptorSkinMottledDarkGreen,,,1,0
326,33,0,0,1,255,OgreMageSkin1Blue,OgreMageSkin2Blue,,3,0
327,93,0,0,1,255,HumanFemaleMerchant01_NoApron,,,1,0
328,114,0,0,1,255,RabbitSkin,,,0,0
330,98,0,0,1,255,HumanFemaleWarriorHeavy_SkinLight,,,1,0
332,47,0,0,1,255,DragonSpawnSkinGreen,DragonSpawnBodySkinGreen,,-1,0
336,63,0,0,1,255,TarantulaSkinGreen,,,1,0
337,118,0,0,1,255,TrollSkinJungleSplitSkullScout,,,1,0
338,79,0,0,1,255,HumanMaleKidSkinPeach,,,1,0
341,74,0,0,1,255,HumanMalePeasantSkindark,,,1,0
342,132,0,0,1,255,CrabSkinBronze,,,0,0
344,80,0,0,1,255,HumanFemaleKidcitydress,,,1,0
346,31,0,0,1,255,SahauginskinGray,,,1,0
347,124,0,0,1,255,DeerSkin,,,1,0
348,130,0,0,1,255,DreadLordSkin,DreadLordWingSkin,,1,0
351,127,0,0,1,255,PirateCaptain01,,,1,0
352,131,0,0,1,255,GnomeSkin,,,1,0
355,10,0,0,1,255,MossHideGnollWhelpSkin,,,1,0
358,81,0,0,1,255,SlimeSkinGreen,,,1,0
360,81,0,0,1,255,SlimeSkinBlackpudding,,,1,0
363,47,0,0,1,255,DragonSpawnSkinRed,DragonSpawnBodySkinRed,,-1,0
365,26,26,0,0.85,255,koboldskinNormal,,,0,0
366,63,0,0,0.5,255,TarantulaSkinOrange,,,1,0
367,71,0,0,0.9,255,HarvestGolemSkinBrown,HarvestGolemBitsBrown,,1,0
368,30,0,0,0.5,255,MineSpiderSkinSteel,,,1,0
369,31,0,0,0.8,255,Sahauginskin,,,1,0
370,70,0,0,1.05,255,SkeletonSkin,,,1,0
371,26,26,0,1.2,255,koboldskinAlbino,,,0,0
372,43,0,0,0.65,255,WolfSkinTimber,WolfSkinTimberAlpha,,1,0
373,26,26,0,1.1,255,koboldskinNormal,,,0,0
374,10,0,0,0.95,255,RiverPawGnollWhelpSkin,,,1,0
375,99,0,0,1,255,HumanFemaleWarriorLight_Skin01,,,1,0
376,123,0,0,1.2,255,RiverPawGnollFighterSkin,,,1,0
