ID,TabID,TierID,ColumnIndex,SpellRank[0],SpellRank[1],SpellRank[2],SpellRank[3],SpellRank[4],SpellRank[5],SpellRank[6],SpellRank[7],SpellRank[8],PrereqTalent[0],PrereqTalent[1],PrereqTalent[2],PrereqRank[0],PrereqRank[1],PrereqRank[2],Flags
30,41,0,1,11103,12357,12358,12359,12360,0,0,0,0,0,0,0,0,0,0,0
26,41,0,2,11069,12338,12339,12340,12341,0,0,0,0,0,0,0,0,0,0,0
33,41,1,0,11115,11367,11368,11369,11370,0,0,0,0,0,0,0,0,0,0,0
27,41,1,3,11078,11080,12342,12343,12344,0,0,0,0,0,0,0,0,0,0,0
34,41,2,0,11119,11120,12846,12847,12848,0,0,0,0,33,0,0,4,0,0,0
23,41,2,1,11083,12351,12352,0,0,0,0,0,0,0,0,0,0,0,0,0
28,41,2,2,11100,12353,0,0,0,0,0,0,0,26,0,0,4,0,0,0
29,41,3,2,11366,0,0,0,0,0,0,0,0,28,0,0,1,0,0,1
31,41,3,3,11108,12349,12350,0,0,0,0,0,0,0,0,0,0,0,0,0
24,41,4,1,11094,13043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,41,4,3,11113,0,0,0,0,0,0,0,0,31,0,0,2,0,0,0
25,41,5,0,11095,12872,12873,12874,12875,0,0,0,0,0,0,0,0,0,0,0
35,41,5,1,11124,12378,12398,12399,12400,0,0,0,0,24,0,0,1,0,0,0
36,41,6,1,11129,0,0,0,0,0,0,0,0,35,0,0,4,0,0,1
61,61,0,0,11151,12952,12953,12954,12957,0,0,0,0,0,0,0,0,0,0,0
37,61,0,1,11070,12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,61,0,3,11175,12569,12571,12570,12573,0,0,0,0,0,0,0,0,0,0,0
73,61,1,1,11207,12672,15047,15052,15053,0,0,0,0,0,0,0,0,0,0,0
68,61,1,2,11180,12579,12580,0,0,0,0,0,0,37,65,0,1,4,0,0
62,61,2,0,11165,12475,12476,0,0,0,0,0,0,0,0,0,0,0,0,0
38,61,2,2,11071,12496,12497,12498,12499,0,0,0,0,0,0,0,0,0,0,0
67,61,3,1,11170,12982,12983,12984,12985,0,0,0,0,62,38,0,2,4,0,0
66,61,3,3,11160,12518,12519,0,0,0,0,0,0,0,0,0,0,0,0,0
63,61,4,0,11185,12487,12488,0,0,0,0,0,0,0,0,0,0,0,0,0
69,61,4,2,12472,0,0,0,0,0,0,0,0,66,0,0,2,0,0,1
70,61,4,3,11189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,61,5,0,11190,12489,12490,0,0,0,0,0,0,0,0,0,0,0,0,0
71,61,5,3,11426,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1
72,61,6,2,11958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,81,0,0,11218,12583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,81,0,1,11210,12592,12593,0,0,0,0,0,0,0,0,0,0,0,0,0
77,81,0,2,11232,12500,12501,12502,12503,0,0,0,0,0,0,0,0,0,0,0
78,81,1,0,6057,6085,6086,6087,6088,0,0,0,0,0,0,0,0,0,0,0
76,81,1,1,11222,12839,12840,12841,12842,0,0,0,0,0,0,0,0,0,0,0
82,81,2,0,11247,12606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,81,2,1,11213,12574,12575,12576,12577,0,0,0,0,0,0,0,2,2,0,0
80,81,2,3,11237,12463,12464,0,0,0,0,0,0,0,0,0,0,0,0,0
421,81,3,1,15058,15059,15060,0,0,0,0,0,0,0,0,0,0,0,0,0
85,81,3,2,12051,0,0,0,0,0,0,0,0,77,0,0,4,0,0,0
81,81,3,3,11242,12467,12469,0,0,0,0,0,0,0,0,0,0,0,0,0
83,81,4,0,11252,12605,0,0,0,0,0,0,0,82,0,0,1,0,0,0
86,81,4,2,12043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,81,5,0,11255,12598,12600,12601,12602,0,0,0,0,0,0,0,0,0,0,0
84,81,5,2,11262,12604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,81,6,1,12042,0,0,0,0,0,0,0,0,421,0,0,2,0,0,1
132,161,0,0,12700,12781,12783,12784,12785,0,0,0,0,0,0,0,0,0,0,0
123,161,0,1,12281,12812,12813,12814,12815,0,0,0,0,0,0,0,0,0,0,0
124,161,0,2,12282,12663,12664,0,0,0,0,0,0,0,0,0,0,0,0,0
125,161,0,3,12284,12701,12702,12703,12704,0,0,0,0,0,0,0,0,0,0,0
126,161,1,0,12285,12697,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,161,1,1,12287,12665,12666,0,0,0,0,0,0,0,0,0,0,0,0,0
127,161,1,2,12286,12658,12659,0,0,0,0,0,0,124,0,0,2,0,0,0
129,161,2,1,12288,12707,12708,0,0,0,0,0,0,0,0,0,0,0,0,0
130,161,2,2,12289,12668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,161,3,1,12295,12676,12677,12678,12679,0,0,0,0,0,0,0,0,0,0,0
133,161,3,2,12292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,161,3,3,12163,12711,12712,12713,12714,0,0,0,0,133,0,0,0,0,0,0
131,161,4,0,12290,12963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,161,4,3,12165,12830,12831,12832,12833,0,0,0,0,133,0,0,0,0,0,0
135,161,5,0,12294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,161,5,2,12834,12849,12867,0,0,0,0,0,0,133,0,0,0,0,0,0
137,161,6,1,12296,0,0,0,0,0,0,0,0,122,0,0,4,0,0,1
138,163,0,1,12297,12750,12751,12752,12753,0,0,0,0,0,0,0,0,0,0,0
139,163,0,2,12298,12724,12725,12726,12727,0,0,0,0,0,0,0,0,0,0,0
144,163,1,0,12303,12788,12789,12791,12792,0,0,0,0,0,0,0,0,0,0,0
140,163,1,1,12299,12761,12762,12763,12764,0,0,0,0,0,0,0,0,0,0,0
141,163,1,3,12300,12959,12960,12961,12962,0,0,0,0,0,0,0,0,0,0,0
143,163,2,0,12302,12765,0,0,0,0,0,0,0,144,0,0,4,0,0,0
142,163,2,1,12301,12819,12818,0,0,0,0,0,0,0,0,0,0,0,0,0
146,163,2,3,12308,12810,12811,0,0,0,0,0,0,0,0,0,0,0,0,0
153,163,3,0,12975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,163,3,2,12945,12307,12944,0,0,0,0,0,0,139,0,0,4,0,0,0
147,163,3,3,12797,12799,12800,0,0,0,0,0,0,0,0,0,0,0,0,0
149,163,4,2,12311,12958,0,0,0,0,0,0,0,145,0,0,2,0,0,0
151,163,5,0,12313,12804,12807,0,0,0,0,0,0,0,0,0,0,0,0,0
150,163,5,2,12312,12803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,163,5,3,12809,0,0,0,0,0,0,0,0,147,0,0,2,0,0,1
148,163,6,1,12310,0,0,0,0,0,0,0,0,142,0,0,2,0,0,1
154,164,0,1,12318,12857,12858,12860,12861,0,0,0,0,0,0,0,0,0,0,0
157,164,0,2,12320,12852,12853,12855,12856,0,0,0,0,0,0,0,0,0,0,0
155,164,1,1,12317,13045,13046,13047,13048,0,0,0,0,0,0,0,0,0,0,0
156,164,1,2,12319,12971,12972,12973,12974,0,0,0,0,157,0,0,4,0,0,0
158,164,2,1,12321,12835,12836,12837,12838,0,0,0,0,0,0,0,0,0,0,0
159,164,2,2,12322,12999,13000,13001,13002,0,0,0,0,0,0,0,0,0,0,0
161,164,3,0,12324,12876,12877,12878,12879,0,0,0,0,0,0,0,0,0,0,0
160,164,3,1,12323,0,0,0,0,0,0,0,0,158,0,0,4,0,0,1
163,164,4,0,12326,13058,13059,0,0,0,0,0,0,0,0,0,0,0,0,0
162,164,4,2,12325,12863,12864,12865,12866,0,0,0,0,159,0,0,4,0,0,0
164,164,5,1,12327,12886,0,0,0,0,0,0,0,160,0,0,0,0,0,0
165,164,6,0,12328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,164,6,1,12329,12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,164,6,2,13078,0,0,0,0,0,0,0,0,166,168,0,1,1,0,1
168,164,6,3,12862,12330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,181,0,1,13706,13804,13805,13806,13807,0,0,0,0,0,0,0,0,0,0,0
186,181,0,2,13712,13788,13789,13790,13791,0,0,0,0,0,0,0,0,0,0,0
201,181,0,3,13732,13863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,181,1,0,13741,13793,13792,0,0,0,0,0,0,0,0,0,0,0,0,0
202,181,1,1,13733,13865,13866,0,0,0,0,0,0,182,203,0,4,2,0,0
181,181,1,3,13705,13832,13843,13844,13845,0,0,0,0,0,0,0,0,0,0,0
184,181,2,0,13709,13800,13801,13802,13803,0,0,0,0,0,0,0,0,0,0,0
242,181,2,1,13960,13961,13962,13963,13964,0,0,0,0,0,0,0,0,0,0,0
204,181,2,2,13742,13872,0,0,0,0,0,0,0,186,0,0,4,0,0,0
206,181,3,0,13754,13867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,181,3,1,13750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
222,181,3,2,13743,13875,13876,0,0,0,0,0,0,0,0,0,0,0,0,0
221,181,3,3,13715,13848,13849,13851,13852,0,0,0,0,181,0,0,4,0,0,0
185,181,4,0,13710,13859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,181,4,2,13713,13853,13854,13855,13856,0,0,0,0,0,0,0,0,0,0,0
183,181,4,3,13707,13966,13967,13968,13969,0,0,0,0,0,0,0,0,0,0,0
301,181,5,2,14251,0,0,0,0,0,0,0,0,187,0,0,4,0,0,1
223,181,6,1,13877,0,0,0,0,0,0,0,0,205,0,0,0,0,0,1
270,182,0,1,14138,14139,14140,14141,14142,0,0,0,0,0,0,0,0,0,0,0
272,182,0,2,14144,14148,14150,14152,14154,0,0,0,0,0,0,0,0,0,0,0
276,182,0,3,14162,14163,14164,0,0,0,0,0,0,0,0,0,0,0,0,0
283,182,1,1,14186,14190,14193,14194,14195,0,0,0,0,270,0,0,4,0,0,0
269,182,1,2,14128,14132,14135,14136,14137,0,0,0,0,0,0,0,0,0,0,0
274,182,2,0,14158,14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,182,2,1,14165,14166,14167,0,0,0,0,0,0,0,0,0,0,0,0,0
273,182,2,3,14156,14160,14161,0,0,0,0,0,0,0,0,0,0,0,0,0
278,182,3,0,14168,14169,14170,0,0,0,0,0,0,0,0,0,0,0,0,0
280,182,3,2,14177,0,0,0,0,0,0,0,0,269,0,0,4,0,0,1
268,182,4,1,14113,14114,14115,14116,14117,0,0,0,0,0,0,0,0,0,0,0
275,182,4,2,14171,14172,14173,0,0,0,0,0,0,0,0,0,0,0,0,0
302,182,5,1,14255,14256,14257,14258,14259,0,0,0,0,268,0,0,4,0,0,0
279,182,5,2,14174,14175,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
281,182,5,3,14179,0,0,0,0,0,0,0,0,273,0,0,2,0,0,0
382,182,6,2,14983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,183,0,1,13958,13970,13971,13972,13973,0,0,0,0,0,0,0,0,0,0,0
243,183,0,2,13974,14058,14059,14060,14061,0,0,0,0,0,0,0,0,0,0,0
244,183,1,1,13975,14062,14063,14064,14065,0,0,0,0,0,0,0,0,0,0,0
261,183,1,3,14057,14072,14073,14074,14075,0,0,0,0,0,0,0,0,0,0,0
247,183,2,0,13981,14066,14067,14068,14069,0,0,0,0,0,0,0,0,0,0,0
262,183,2,1,14076,14094,14095,0,0,0,0,0,0,0,0,0,0,0,0,0
303,183,3,0,14278,0,0,0,0,0,0,0,0,247,0,0,4,0,0,1
245,183,3,1,13976,13979,13980,0,0,0,0,0,0,0,0,0,0,0,0,0
264,183,3,2,14077,14078,0,0,0,0,0,0,0,261,0,0,4,0,0,0
381,183,4,1,14183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,183,4,2,13983,14070,14071,0,0,0,0,0,0,0,0,0,0,0,0,0
263,183,4,3,14079,14080,14081,0,0,0,0,0,0,261,0,0,4,0,0,0
265,183,5,0,14082,14083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,183,5,1,14088,14091,14092,0,0,0,0,0,0,0,0,0,0,0,0,0
266,183,5,2,14084,14085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,183,6,1,14185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
342,201,0,1,14522,14788,14789,14790,14791,0,0,0,0,0,0,0,0,0,0,0
352,201,0,2,14523,14784,14785,14786,14787,0,0,0,0,0,0,0,0,0,0,0
343,201,1,1,14748,14768,14769,0,0,0,0,0,0,0,0,0,0,0,0,0
344,201,1,2,14749,14767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,201,1,3,14524,14525,14526,14527,14528,0,0,0,0,0,0,0,0,0,0,0
321,201,2,0,14531,14774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,201,2,1,14520,14780,14781,14782,14783,0,0,0,0,0,0,0,0,0,0,0
348,201,3,1,14751,0,0,0,0,0,0,0,0,341,0,0,4,0,0,0
347,201,3,2,14521,14776,14777,14778,14779,0,0,0,0,0,0,0,0,0,0,0
346,201,3,3,14747,14770,14771,0,0,0,0,0,0,0,0,0,0,0,0,0
322,201,4,0,14529,0,0,0,0,0,0,0,0,321,0,0,1,0,0,1
349,201,4,1,14746,14773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,201,5,1,14750,14772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,201,6,2,14752,0,0,0,0,0,0,0,0,347,0,0,4,0,0,1
403,202,0,0,14909,15017,15509,0,0,0,0,0,0,0,0,0,0,0,0,0
401,202,0,1,14889,15008,15009,15010,15011,0,0,0,0,0,0,0,0,0,0,0
402,202,0,2,14901,15028,15029,15030,15031,0,0,0,0,0,0,0,0,0,0,0
404,202,1,1,14898,15349,15354,15355,15356,0,0,0,0,401,0,0,4,0,0,0
361,202,1,3,14892,15362,15363,15364,15365,0,0,0,0,0,0,0,0,0,0,0
405,202,2,1,14905,15034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,202,2,2,14908,15020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,202,3,0,14914,0,0,0,0,0,0,0,0,403,0,0,2,0,0,1
408,202,3,2,14912,15013,15014,15015,15016,0,0,0,0,0,0,0,0,0,0,0
441,202,4,1,15227,0,0,0,0,0,0,0,0,405,0,0,1,0,0,1
410,202,4,3,14913,15012,0,0,0,0,0,0,0,361,0,0,0,0,0,0
411,202,5,2,14904,15024,15025,15026,15027,0,0,0,0,408,0,0,4,0,0,0
442,202,6,0,15237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
412,202,6,1,14910,15022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,202,6,2,14911,15018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,203,0,1,15270,15335,15336,15337,15338,0,0,0,0,0,0,0,0,0,0,0
464,203,0,2,15268,15323,15324,15325,15326,0,0,0,0,0,0,0,0,0,0,0
466,203,1,0,15318,15272,15320,15321,15322,0,0,0,0,0,0,0,0,0,0,0
482,203,1,1,15275,15317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,203,1,2,15260,15327,15328,15329,15330,0,0,0,0,0,0,0,0,0,0,0
483,203,2,0,15274,15311,0,0,0,0,0,0,0,466,0,0,4,0,0,0
481,203,2,1,15273,15312,15313,15314,15316,0,0,0,0,0,0,0,0,0,0,0
461,203,3,1,15257,15331,15332,15333,15334,0,0,0,0,0,0,0,0,0,0,0
501,203,3,2,15407,0,0,0,0,0,0,0,0,463,0,0,4,0,0,1
542,203,3,3,15392,15448,15450,0,0,0,0,0,0,0,0,0,0,0,0,0
462,203,4,1,15259,15307,15308,15309,15310,0,0,0,0,461,0,0,4,0,0,0
