ID,Text_lang
109,"With arms flapping, %s struts around you.  Cluck, Cluck, Chicken!"
115,You chuckle at %s.
117,You let out a hearty chuckle.
118,%s claps excitedly for %s.
120,You clap excitedly for %s.
121,%s claps excitedly.
123,%s looks at %s with a confused look.
125,You look at %s with a confused look.
127,You are hopelessly confused.
128,%s congratulates %s.
129,%s congratulates you.
131,%s congratulates everyone.
137,You let out a hacking cough.
141,%s cowers in fear.
142,You cower in fear.
147,You crack your knuckles.
149,%s cracks her knuckles while staring at you.
150,%s cracks her knuckles.
151,%s cringes away from %s.
152,%s cringes away from you.
159,%s cries.
162,%s is curious what you are up to.
168,%s curtsies before you.
175,%s bursts into dance.
177,%s raises a drink to %s.  Cheers!
181,You raise a drink in the air before chugging it down.  Cheers!
186,A tendril of drool runs down your lip.
190,%s begins to eat.
195,%s looks at you with crossed eyes.
199,You brush up against %s and fart loudly.
206,You fidget.
209,You flex at %s.  Oooooh so strong!
216,%s frowns.
217,You frown.
221,%s gasps.
222,You gasp.
228,%s giggles at %s.
231,%s giggles.
236,%s glares angrily.
243,%s greets %s warmly.
246,%s greets everyone warmly.
248,%s grins wickedly at %s.
252,You grin wickedly.
253,%s looks at %s and groans.
258,%s grovels before %s like a subservient peon.
261,"%s grovels on the ground, wallowing in subservience."
264,%s takes one look at you and lets out a guffaw!
267,You let out a boisterous guffaw!
268,%s hails %s.
269,%s hails you.
273,%s hails everyone around her.
277,%s is filled with happiness!
278,You are filled with happiness!
280,%s greets you with a hearty hello!
285,%s hugs you.
287,%s needs a hug!
292,%s is hungry!
293,You are hungry!
294,%s blows %s a kiss.
297,%s blows a kiss into the wind.
302,%s kneels down.
307,%s laughs.
308,You laugh.
309,%s lies down before %s.
312,%s lies down.
313,You lie down.
319,%s moans suggestively at %s.
322,%s moans suggestively.
324,%s drops his trousers and moons %s.
330,%s drops her trousers and moons you.
334,"In quiet contemplation, you mourn the death of %s."
339,You tell %s NO.  Not going to happen.
345,%s nods.
348,%s picks his nose and shows it to you.
353,%s picks her nose and shows it to you.
358,You run around in a frenzied state of panic.
364,%s pleads with %s.
375,%s pokes %s.  Hey!
376,%s pokes you.  Hey!
379,You poke your belly and giggle.
380,%s pokes her belly and giggles.
381,%s says a prayer for %s.
385,You pray to the Gods.
387,%s roars with bestial vigor at you.  So fierce!
392,%s rolls on the floor laughing at you.
396,%s makes a rude gesture at %s.
403,You salute %s with respect.
404,%s stands at attention and salutes.
405,You stand at attention and salute.
411,"%s scratches herself.  Ah, much better!"
414,You think %s is a sexy devil.
419,%s shakes his rear at you.
425,%s shakes her rear.
426,%s shouts at %s.
427,%s shouts at you.
429,%s shouts.
430,You shout.
438,You shy away from %s.
439,%s is so shy!
442,%s sighs at you.
446,
447,
449,You fall asleep.  Zzzzzzz.
450,%s bares his teeth and snarls at %s.
455,%s bares her teeth and snarls at %s.
457,%s bares her teeth and snarls.
458,%s spits on %s.
462,You spit on the ground.
466,%s stares off into the distance.
471,%s is so surprised!
478,%s surrenders to her opponents.
481,You want to talk things over with %s.
486,%s talks excitedly with you.
487,You talk excitedly with %s.
494,You want to know the meaning of life.
496,%s taps his foot as he waits for you.
503,%s thanks %s.
509,%s threatens you with the wrath of doom.
513,%s lets %s know that he is tired.
517,You let everyone know that you are tired.
519,%s lets you know that she is tired.
521,%s basks in the glory of victory with %s.
523,You bask in the glory of victory with %s.
530,You wave.
534,%s welcomes everyone.
535,You welcome everyone.
537,%s whines pathetically at you.
540,You whine pathetically.
546,%s works with %s.
550,You begin to work.
551,%s yawns sleepily at %s.
554,%s yawns sleepily.
555,You yawn sleepily.
559,%s boggles at the situation.
560,You boggle at the situation.
562,%s tries to calm you down.
572,%s lets you know that she is cold.
573,%s lets everyone know that she is cold.
574,%s comforts %s.
580,%s cuddles up against you.
583,You need to be cuddled.
592,%s thinks everyone around him is a son of a motherless ogre.
597,You introduce yourself to %s.
601,%s introduces herself to you.
610,%s licks %s.
611,%s licks you.
612,You lick %s.
614,You lick your lips.
616,%s listens intently to %s.
622,%s wants you to know that he is hopelessly lost.
628,%s mocks the foolishness of %s.
633,%s ponders %s's actions.
637,You ponder the situation.
1,%s agrees with %s.
3,You agree with %s.
4,%s agrees.
6,%s is amazed by %s!
8,You are amazed by %s!
9,%s is amazed!
10,You are amazed!
13,You raise your fist in anger at %s.
14,%s raises his fist in anger.
15,You raise your fist in anger.
16,%s raises her fist in anger at %s.
17,%s raises her fist in anger at you.
21,You apologize to %s.  Sorry!
22,%s apologizes to everyone.  Sorry!
25,%s applauds at you.  Bravo!
26,You applaud at %s.  Bravo!
27,%s applauds.  Bravo!
32,%s is bashful.
36,You beckon %s over.
37,%s beckons everyone over.
39,%s begs %s.  How pathetic.
49,You look around for someone to bite.
52,%s blinks at %s.
53,%s blinks at you.
55,%s blinks.
57,%s blushes at %s.
61,You blush.
63,%s bonks you on the noggin.  Doh!
68,%s is terribly bored with %s.
72,You are overcome with boredom.  Oh the drudgery!
73,%s bounces up and down in front of %s.
76,%s bounces up and down.
81,%s will be right back.
83,%s bows before %s.
84,%s bows before you.
88,%s burps rudely in %s's face.
91,%s lets out a loud belch.
96,%s waves goodbye to everyone.  Farewell!
325,%s drops his trousers and moons you.
327,%s drops his trousers and moons everyone.
329,%s drops her trousers and moons %s.
331,%s drops her trousers and moons everyone.
343,%s nods at you.
346,You nod.
347,%s picks his nose and shows it to %s.
