ID,Name_lang[0],ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],SetSpellID[0],SetSpellID[1],SetSpellID[2],SetSpellID[3],SetSpellID[4],SetSpellID[5],SetSpellID[6],SetSpellID[7],SetThreshold[0],SetThreshold[1],SetThreshold[2],SetThreshold[3],SetThreshold[4],SetThreshold[5],SetThreshold[6],SetThreshold[7],RequiredSkill,RequiredSkillRank
1,The Gladiator,0,0,0,0,0,0,0,4128830,11729,11726,11728,11731,11730,0,0,0,0,0,0,0,0,0,0,0,0,7514,9761,7597,9140,0,0,0,0,3,2
41,Dal'Rend's Arms,0,0,0,0,0,0,0,4128830,12940,12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14056,0,0,0,0,0,0,0,2,0
65,Spider's Kiss,0,0,0,0,0,0,0,4128830,13218,13183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17332,0,0,0,0,0,0,0,2,0
81,The Postmaster,0,0,0,0,0,0,0,4128830,13390,13388,13391,13392,13389,0,0,0,0,0,0,0,0,0,0,0,0,9764,17498,9417,14590,14712,9106,0,0,2,5
121,Cadaverous Garb,0,0,0,0,0,0,0,4128830,14637,14636,14640,14638,14641,0,0,0,0,0,0,0,0,0,0,0,0,7516,9140,18686,15465,0,0,0,0,2,3
122,Necropile Raiment,0,0,0,0,0,0,0,4128830,14631,14629,14632,14633,14626,0,0,0,0,0,0,0,0,0,0,0,0,7495,7516,18686,14047,0,0,0,0,3,2
123,Bloodmail Regalia,0,0,0,0,0,0,0,4128830,14614,14616,14615,14611,14612,0,0,0,0,0,0,0,0,0,0,0,0,13665,18686,9140,7516,0,0,0,0,5,4
124,Deathbone Guardian,0,0,0,0,0,0,0,4128830,14624,14622,14620,14623,14621,0,0,0,0,0,0,0,0,0,0,0,0,7516,9764,18686,13665,0,0,0,0,2,3
141,Volcanic Armor,0,0,0,0,0,0,0,4128830,15053,15054,15055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9233,0,0,0,0,0,0,0,3,0
142,Stormshroud Armor,0,0,0,0,0,0,0,4128830,15056,15057,15058,21278,0,0,0,0,0,0,0,0,0,0,0,0,0,18979,23863,9142,0,0,0,0,0,2,3
143,Devilsaur Armor,0,0,0,0,0,0,0,4128830,15062,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15465,0,0,0,0,0,0,0,2
144,Ironfeather Armor,0,0,0,0,0,0,0,4128830,15066,15067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14799,0,0,0,0,0,0,0,2,0
161,Defias Leather,0,0,0,0,0,0,0,4128830,10399,10403,10402,10401,10400,0,0,0,0,0,0,0,0,0,0,0,0,9140,14707,9760,7534,0,0,0,0,5,3
162,Embrace of the Viper,0,0,0,0,0,0,0,4128830,10412,10411,10413,10410,6473,0,0,0,0,0,0,0,0,0,0,0,0,9106,7679,7694,20607,0,0,0,0,5,4
