ID,DoodadID[0],DoodadID[1],DoodadID[2],DoodadID[3],Density,Sound
6142,20040828,0,-2116576229,1,-1,-1
6153,20040828,0,-2116576229,1,-1,-1
7175,20040924,0,-2116576229,1,-1,-1
7224,20040924,0,-2116576229,1,-1,-1
8139,20040722,0,-2116576229,1,-1,-1
8163,20040828,0,-2116576229,1,-1,-1
9638,20040929,0,-2116576229,1,-1,-1
10758,20040924,0,-2116576229,1,-1,-1
8621,20040811,0,-2116576229,1,-1,-1
8156,20040924,0,-2116576229,1,-1,-1
7802,20040709,0,-2116576229,1,-1,-1
7217,20040921,0,-2116576229,1,-1,-1
6815,20040625,0,-2081244478,43,-1,-1
11079,20041004,0,-2037013654,87,-1,-1
6649,20040828,0,-2024910122,133,-1,-1
10541,20040918,0,-2024910122,133,-1,-1
7618,20040923,0,-2024910122,133,-1,-1
6685,20040828,0,-2024910122,133,-1,-1
6656,20040918,0,-2024910122,133,-1,-1
6663,20040918,0,-2024910122,133,-1,-1
6678,20040828,0,-2024910122,133,-1,-1
6673,20040828,0,-2024910122,133,-1,-1
6650,20040923,0,-2024910122,133,-1,-1
6636,20040923,0,-2006144263,194,62,63
10638,20040923,0,-2006144263,194,-1,-1
10163,20040918,0,-2006144263,194,-1,-1
10538,20040918,0,-2006144263,194,-1,-1
8478,20040828,0,-2006144263,194,-1,-1
8424,20040923,0,-2006144263,194,-1,-1
6682,20040828,0,-2006144263,194,62,63
6675,20040828,0,-2006144263,194,62,63
6670,20040828,0,-2006144263,194,62,63
6668,20040910,0,-2006144263,194,-1,-1
6654,20040918,0,-2006144263,194,62,63
6643,20040923,0,-2006144263,194,62,63
4966,20040306,0,-1979631862,243,-1,-1
6883,20040625,0,-1979631862,243,-1,-1
10224,20040908,0,-1979631862,243,-1,-1
10160,20040907,0,-1979631862,243,-1,-1
8003,20040828,0,-1979631862,243,-1,-1
7823,20040828,0,-1979631862,243,-1,-1
6892,20040828,0,-1979631862,243,-1,-1
6890,20040625,0,-1979631862,243,-1,-1
6889,20040828,0,-1979631862,243,-1,-1
6884,20040828,0,-1979631862,243,-1,-1
6882,20040828,0,-1979631862,243,-1,-1
5053,20040828,0,-1979631862,243,-1,-1
5501,20040828,0,-1979631862,243,-1,-1
4992,20040306,0,-1979631862,243,-1,-1
6694,20040630,0,-1979631862,243,-1,-1
4986,20040306,0,-1979631862,243,-1,-1
5229,20040828,0,-1906212278,282,-1,-1
5126,20040924,0,-1906212278,282,-1,-1
9912,20040930,0,-1906212278,282,-1,-1
10134,20040917,0,-1906212278,282,-1,-1
10125,20040924,0,-1906212278,282,-1,-1
10114,20040924,0,-1906212278,282,-1,-1
9869,20040918,0,-1906212278,282,-1,-1
8314,20040727,0,-1906212278,282,-1,-1
7786,20040918,0,-1906212278,282,-1,-1
6958,20040625,0,-1906212278,282,-1,-1
5922,20040828,0,-1906212278,282,-1,-1
10158,20040918,0,-1906212278,282,-1,-1
10139,20040907,0,-1906212278,282,-1,-1
9921,20040907,0,-1906212278,282,-1,-1
5918,20040828,0,-1906212278,282,-1,-1
5911,20040727,0,-1906212278,282,-1,-1
5906,20040524,0,-1906212278,282,-1,-1
5901,20040930,0,-1906212278,282,-1,-1
5894,20040930,0,-1906212278,282,-1,-1
5890,20040930,0,-1906212278,282,-1,-1
5885,20040930,0,-1906212278,282,-1,-1
5882,20040930,0,-1906212278,282,-1,-1
6850,20040918,0,-1906212278,282,-1,-1
7820,20040709,0,-1906212278,282,-1,-1
7045,20040930,0,-1906212278,282,-1,-1
6980,20040625,0,-1906212278,282,-1,-1
6979,20040625,0,-1906212278,282,-1,-1
6360,20040918,0,-1906212278,282,-1,-1
6259,20040630,0,-1906212278,282,-1,-1
6258,20040630,0,-1906212278,282,-1,-1
7107,20040828,0,-1906212278,282,-1,-1
6634,20040930,0,-1906212278,282,-1,-1
6838,20040625,0,-1906212278,282,-1,-1
7134,20040727,0,-1906212278,282,-1,-1
7100,20040828,0,-1906212278,282,-1,-1
5926,20040727,0,-1906212278,282,-1,-1
5125,20040924,0,-1906212278,282,-1,-1
5932,20040727,0,-1906212278,282,-1,-1
5274,20040326,0,-1906212278,282,-1,-1
6244,20040630,0,-1846979018,323,-1,-1
8701,20040806,0,-1846979018,323,-1,-1
5217,20040326,0,-1838329702,365,-1,-1
5222,20040326,0,-1838329702,365,-1,-1
5238,20040828,0,-1838329702,365,-1,-1
5250,20040326,0,-1838329702,365,-1,-1
5264,20040326,0,-1838329702,365,-1,-1
8126,20040924,0,-1838329702,365,-1,-1
8125,20040924,0,-1838329702,365,-1,-1
7036,20040826,0,-1838329702,365,-1,-1
6335,20040624,0,-1838329702,365,-1,-1
6327,20040721,0,-1838329702,365,-1,-1
6323,20040721,0,-1838329702,365,-1,-1
6204,20040602,0,-1838329702,365,-1,-1
6199,20040630,0,-1838329702,365,-1,-1
9924,20040907,0,-1838329702,365,-1,-1
8194,20040924,0,-1838329702,365,-1,-1
8152,20040924,0,-1838329702,365,-1,-1
8147,20040924,0,-1838329702,365,-1,-1
8141,20040924,0,-1838329702,365,-1,-1
7169,20040924,0,-1838329702,365,-1,-1
5602,20041001,0,-1838329702,365,-1,-1
5598,20040826,0,-1838329702,365,-1,-1
5256,20040326,0,-1838329702,365,-1,-1
6896,20040828,0,-1812635961,408,-1,-1
6962,20040625,0,-1812635961,408,-1,-1
10339,20040910,0,-1812635961,408,-1,-1
8440,20040921,0,-1812635961,408,-1,-1
6972,20040625,0,-1812635961,408,-1,-1
6971,20040625,0,-1812635961,408,-1,-1
6923,20040625,0,-1812635961,408,-1,-1
6908,20040625,0,-1812635961,408,-1,-1
6913,20040921,0,-1812635961,408,-1,-1
6919,20040625,0,-1812635961,408,-1,-1
6906,20040921,0,-1812635961,408,-1,-1
6639,20040923,0,-1709313344,451,62,63
10539,20040918,0,-1709313344,451,-1,-1
6677,20040828,0,-1709313344,451,62,63
6684,20040828,0,-1709313344,451,62,63
6671,20040828,0,-1709313344,451,62,63
6644,20040923,0,-1709313344,451,62,63
6655,20040918,0,-1709313344,451,62,63
6809,20040625,0,-1697609079,509,-1,-1
6811,20040625,0,-1697609079,509,-1,-1
5107,20040714,0,-1670492489,543,-1,-1
10709,20040924,0,-1670492489,543,-1,-1
9519,20040924,0,-1670492489,543,-1,-1
9621,20040924,0,-1670492489,543,-1,-1
9619,20040902,0,-1670492489,543,-1,-1
5134,20040924,0,-1670492489,543,-1,-1
5136,20040924,0,-1670492489,543,-1,-1
7778,20040918,0,-1640249682,586,-1,-1
7779,20040917,0,-1640249682,586,-1,-1
8324,20040918,0,-1640249682,586,-1,-1
8329,20040917,0,-1640249682,586,-1,-1
5320,20040330,0,-1640034600,640,-1,-1
7220,20040924,0,-1640034600,640,-1,-1
7223,20040924,0,-1640034600,640,-1,-1
10079,20040907,0,-1640034600,640,-1,-1
10101,20040907,0,-1640034600,640,-1,-1
9061,20040823,0,-1640034600,640,-1,-1
10102,20040907,0,-1640034600,640,-1,-1
10083,20040907,0,-1640034600,640,-1,-1
7204,20040626,0,-1640034600,640,-1,-1
7200,20040626,0,-1640034600,640,-1,-1
9527,20040924,0,-1632474463,679,-1,-1
10749,20040924,0,-1632474463,679,-1,-1
5239,20040828,0,-1619156047,732,-1,-1
10287,20040909,0,-1619156047,732,-1,-1
7066,20040828,0,-1619156047,732,-1,-1
6215,20040602,0,-1619156047,732,-1,-1
6211,20040602,0,-1619156047,732,-1,-1
6206,20040602,0,-1619156047,732,-1,-1
5269,20040326,0,-1619156047,732,-1,-1
5248,20040828,0,-1619156047,732,-1,-1
7766,20040918,0,-1610282521,779,-1,-1
8316,20040918,0,-1610282521,779,-1,-1
8632,20040806,0,-1603837609,830,-1,-1
8655,20040806,0,-1603837609,830,-1,-1
8721,20040807,0,-1603837609,830,-1,-1
8728,20040807,0,-1603837609,830,-1,-1
8650,20040806,0,-1603837609,830,-1,-1
8638,20040806,0,-1603837609,830,-1,-1
5052,20040828,0,-1540610489,868,-1,-1
8685,20040829,0,-1540610489,868,-1,-1
8679,20040929,0,-1540610489,868,-1,-1
8676,20040929,0,-1540610489,868,-1,-1
8672,20040929,0,-1540610489,868,-1,-1
8669,20040929,0,-1540610489,868,-1,-1
8664,20040929,0,-1540610489,868,-1,-1
7322,20040626,0,-1540610489,868,-1,-1
8165,20040924,0,-1540610489,868,-1,-1
7827,20040709,0,-1540610489,868,-1,-1
9520,20040924,0,-1540610489,868,-1,-1
10121,20040924,0,-1540610489,868,-1,-1
9661,20040902,0,-1540610489,868,-1,-1
9631,20040929,0,-1540610489,868,-1,-1
8739,20040808,0,-1540610489,868,-1,-1
8698,20040929,0,-1540610489,868,-1,-1
8694,20040929,0,-1540610489,868,-1,-1
8687,20040929,0,-1540610489,868,-1,-1
6886,20040828,0,-1540610489,868,-1,-1
4969,20040306,0,-1540610489,868,-1,-1
6511,20040828,0,-1540610489,868,-1,-1
6504,20040828,0,-1540610489,868,-1,-1
5056,20040316,0,-1540610489,868,-1,-1
4998,20040306,0,-1540610489,868,-1,-1
5498,20040828,0,-1540610489,868,-1,-1
5608,20040826,0,-1531524484,917,-1,-1
6333,20040721,0,-1531524484,917,-1,-1
5379,20040701,0,-1518716061,970,-1,-1
6140,20040828,0,-1518716061,970,-1,-1
6144,20040917,0,-1518716061,970,-1,-1
5318,20040330,0,-1518716061,970,-1,-1
7164,20040924,0,-1518716061,970,-1,-1
7216,20040626,0,-1518716061,970,-1,-1
7152,20040924,0,-1518716061,970,-1,-1
10095,20040907,0,-1518716061,970,-1,-1
10094,20040907,0,-1518716061,970,-1,-1
8157,20040924,0,-1518716061,970,-1,-1
8578,20040917,0,-1518716061,970,-1,-1
8190,20040924,0,-1518716061,970,-1,-1
8183,20040924,0,-1518716061,970,-1,-1
8149,20040924,0,-1518716061,970,-1,-1
8143,20040924,0,-1518716061,970,-1,-1
8134,20040924,0,-1518716061,970,-1,-1
6851,20040625,0,-1518716061,970,-1,-1
8128,20040924,0,-1518716061,970,-1,-1
8120,20040924,0,-1518716061,970,-1,-1
7157,20040924,0,-1518716061,970,-1,-1
6814,20040625,0,-1518716061,970,-1,-1
7170,20040924,0,-1518716061,970,-1,-1
5605,20041001,0,-1486199294,1012,-1,-1
5220,20040326,0,-1486199294,1012,-1,-1
5254,20040326,0,-1486199294,1012,-1,-1
5259,20040326,0,-1486199294,1012,-1,-1
6123,20040721,0,-1486199294,1012,-1,-1
7060,20040630,0,-1486199294,1012,-1,-1
7057,20040625,0,-1486199294,1012,-1,-1
7056,20040721,0,-1486199294,1012,-1,-1
7041,20040721,0,-1486199294,1012,-1,-1
6340,20040624,0,-1486199294,1012,-1,-1
6326,20040721,0,-1486199294,1012,-1,-1
6800,20040625,0,-1470283422,1055,-1,-1
6807,20040625,0,-1470283422,1055,-1,-1
5609,20040826,0,-1458793234,1097,-1,-1
6126,20041001,0,-1458793234,1097,-1,-1
5611,20040826,0,-1458793234,1097,-1,-1
5380,20040701,0,-1412401677,1153,216,219
6146,20040917,0,-1412401677,1153,-1,-1
7166,20040924,0,-1412401677,1153,-1,-1
7225,20040924,0,-1412401677,1153,-1,-1
7230,20040924,0,-1412401677,1153,-1,-1
