ID,Importance,Icon,FactionID,Pos[0],Pos[1],Pos[2],ContinentID,Flags,AreaID,Name_lang[0],Description_lang[0],WorldStateID
792,3,4,0,234.85,-2127.76,118.095,0,13,-1,Aerie Peak,,0
27,3,6,84,-6392.65,-3158,299.765,0,5,0,Angor Fortress,,0
1,3,6,0,-6134.2783,383.7634,399.25397,0,5,0,Anvilmar,,0
40,3,4,0,-14383.3,487.139,-29.5617,0,13,0,Booty Bay,,0
2,3,6,0,2249.85,278.41385,34.11371,0,5,0,Brill,,0
3,3,4,0,-10564.7,-1170.65,28.0505,0,13,-1,Darkshire,,0
4,3,6,0,1879.8323,1588.2028,90.17196,0,5,0,Deathknell,,0
327,0,6,0,-1014.22,-3827.39,145.41,0,4,-1,Drywhisker Gorge,,0
5,3,6,0,-4191.0234,-2373.1401,205.15083,0,5,0,Dun Algaz,,0
6,3,6,0,-2610.2583,-2350.5583,81.59118,0,5,0,Dun Modr,,0
7,3,6,0,-9480.089,63.521755,56.17569,0,5,0,Goldshire,,0
41,3,4,83,-12378.4,185.734,3.05513,0,13,0,Grom'gol,,0
25,3,4,83,-991.57,-3528.34,56.5482,0,13,-1,Hammerfall,,0
8,3,5,0,-5021,-834.059,495.319,0,29,-1,Ironforge,,0
26,3,4,83,-6676.42,-2186.68,245.829,0,13,-1,Kargath,,0
9,2,6,0,-5585.9507,-482.12653,397.01672,0,5,0,Kharanos,,0
10,3,4,0,-9227.69,-2201.47,63.9334,0,13,-1,Lakeshire,,0
11,3,4,0,-3672.7,-828.455,9.89915,0,13,-1,Menethil Harbor,,0
227,0,2,0,-9389.26,458.427,38.2854,0,4,-1,Mirror Lake,,0
12,3,6,0,-11017.066,1510.168,43.16575,0,5,0,Moonbrook,,0
13,3,6,0,-8896.159,-179.32834,80.290924,0,5,0,Northshire Abbey,,0
14,3,6,0,-10752.526,310.43338,40.16275,0,5,0,Raven Hill,,0
24,3,6,84,-1251.05,-2526.81,20.7117,0,5,0,Refuge Pointe,,0
710,0,6,0,1262.19,-2579.41,126.37,0,4,-1,Scholomance,,0
15,3,4,0,-10503.7,1027.76,55.5831,0,13,-1,Sentinel Hill,,0
247,0,2,0,861.216,-558.217,146.61,0,4,-1,Slaughter Hollow,,0
22,3,4,0,-803.031,-531.727,15.9654,0,13,-1,Southshore,,0
788,3,4,0,-10443.7,-3277.49,20.1782,0,13,-1,Stonard,,0
16,3,5,0,-9153.77,364.057,90.4829,0,29,-1,Stormwind,,0
23,3,4,0,-27.0354,-900.562,55.9603,0,13,-1,Tarren Mill,,0
17,3,4,0,508.073,1619.02,125.272,0,13,-1,The Sepulcher,,0
18,4,5,0,1849.69,235.699,61.6564,0,29,-1,The Undercity,,0
19,3,4,0,-5349.27,-2959.91,323.627,0,13,-1,Thelsamar,,0
709,0,6,0,969.176,-1825.52,99.6067,0,4,-1,Uther's Tomb,,0
36,3,4,84,10462.7,805.993,1312.66,1,5,188,Aldrassil,,0
42,3,4,84,2720.43,-382.391,107.09,1,13,-1,Astranaar,,0
798,3,4,0,6439.33,411.951,10.8632,1,13,-1,Auberdine,,0
28,3,6,83,-2323.92,-394.981,-9.12757,1,5,0,Bloodhoof Village,,0
790,3,4,0,-4394.98,215.611,25.4133,1,13,-1,Camp Mojache,,0
30,3,6,83,-2906.49,-253.607,52.9407,1,5,0,Camp Narache,,0
787,3,4,0,-2352.52,-1926.45,95.7845,1,13,-1,Camp Taurajo,,0
38,3,5,84,9951.75,2254.5,1335.42,1,29,-1,Darnassus,,0
37,3,4,84,9787.99,949.897,1306.73,1,1,-1,Dolanaar,,0
794,3,4,0,6723.46,-4662.5,722.806,1,13,-1,Everlook,,0
796,3,4,0,-4434.99,3276.74,11.7785,1,13,-1,Feathermoon,,0
46,3,4,83,-5454.07,-2445.5,90.1133,1,13,0,Freewind Post,,0
789,3,4,0,-7139.15,-3752.11,8.5398,1,13,-1,Gadgetzan,,0
708,0,6,0,3556.64,-6232.79,44.0086,1,4,-1,Hetaera's Clutch,,0
799,3,4,0,202.521,1308.24,190.236,1,13,-1,Nijel's Point,,0
33,3,5,83,1381.77,-4371.16,26.0233,1,29,-1,Orgrimmar,,0
39,3,4,0,-951.364,-3680.07,8.04018,1,13,0,Ratchet,,0
31,3,6,83,312.659,-4745.52,9.54726,1,5,0,Razor Hill,,0
34,3,6,83,-819.492,-4918.24,19.3401,1,5,0,Sen'jin Village,,0
795,3,4,0,-1657.85,3097.92,30.4995,1,13,-1,Shadowprey Village,,0
800,3,4,0,2312.89,-2538.96,100.169,1,13,-1,Splintertree Post,,0
44,3,4,84,2658.78,1449.71,226.135,1,13,0,Stonetalon Peak,,0
701,3,4,0,936.308,910.974,104.439,1,13,-1,Sun Rock Retreat,,0
707,0,6,0,3549.15,-5359.12,204.102,1,4,-1,Temple of Zin-Malor,,0
45,3,4,84,-4510.03,-779.474,-41.5353,1,13,0,Thalanaar,,0
35,3,4,83,-455.9,-2652.15,95.5865,1,13,-1,The Crossroads,,0
32,3,6,83,-604.098,-4202.92,38.7281,1,5,0,The Den,,0
791,3,4,0,-3680.17,-4388.51,10.5549,1,13,-1,Theramore Isle,,0
29,3,5,83,-1205.41,29.4214,126.347,1,29,-1,Thunder Bluff,,0
767,0,6,0,-4917.35,-1375.5,-52.3732,1,4,-1,Whitereach Post,,0
20,0,0,0,-448.982,-1028.22,431.971,37,1,0,Alliance,,0
21,0,0,0,-669.134,-483.289,387.273,37,1,0,Horde,,0
