ID,AnimKitPriorityID,AnimKitBoneSetID,ParentAnimKitConfigID
1,1,0,1
2,243,1,361
3,243,1,401
4,247,0,401
5,245,1,402
6,247,0,402
7,247,5,403
8,247,6,404
9,261,1,182
10,162,0,405
11,249,1,406
12,247,7,407
13,247,8,408
14,247,4,409
15,249,0,410
16,249,4,411
17,249,6,412
18,249,5,413
19,247,5,414
20,247,4,414
21,1,4,2
22,1,1,3
23,1,0,4
24,21,1,5
41,22,0,21
42,23,0,22
43,2,0,23
61,41,0,41
81,277,0,61
82,278,1,61
83,64,0,62
84,65,1,62
85,63,0,63
86,270,1,63
87,83,0,64
88,66,1,64
89,67,0,65
90,68,1,65
101,242,1,81
121,81,0,101
122,81,1,101
123,82,0,102
124,84,0,103
125,84,1,103
141,101,0,121
142,101,1,121
143,247,6,506
144,247,4,506
149,247,6,508
150,247,5,508
157,249,7,513
161,121,3,141
162,121,2,142
181,144,0,161
182,144,0,162
183,141,0,163
184,142,0,164
185,143,0,165
201,161,0,181
202,162,0,182
203,262,0,183
204,263,1,183
205,164,0,184
206,163,1,184
221,183,0,201
222,183,0,202
223,184,0,203
226,182,0,221
227,181,1,221
228,181,0,222
229,182,0,223
230,181,1,223
231,181,0,224
241,184,1,241
261,202,0,261
262,201,0,262
281,222,1,301
282,222,0,281
283,264,0,594
284,62,1,594
285,164,0,595
286,163,1,595
287,265,0,596
289,266,0,597
301,265,0,301
321,267,0,321
341,247,0,341
342,241,0,342
343,243,0,343
344,244,0,344
345,247,0,345
346,241,0,346
347,243,0,347
348,247,1,348
349,241,1,349
350,243,1,350
351,244,1,351
361,247,0,361
363,241,0,362
364,243,1,362
365,243,0,363
366,247,1,363
367,243,0,364
368,241,1,364
369,246,0,365
370,248,0,366
371,249,0,367
372,242,0,368
373,245,0,369
374,247,0,370
375,241,1,370
376,241,0,371
377,247,1,371
378,244,0,372
391,241,4,382
392,241,3,383
393,241,2,384
394,241,8,385
395,241,7,386
467,269,0,661
468,164,0,662
469,266,1,662
470,262,0,663
471,265,1,663
472,248,0,664
490,164,0,682
491,163,1,682
492,248,6,683
493,248,5,683
495,243,0,685
497,242,0,687
498,242,0,688
499,242,0,689
500,249,0,690
501,241,0,691
502,241,0,692
503,245,4,693
504,248,0,694
505,248,1,695
507,241,6,697
508,241,5,697
511,246,1,700
538,267,0,707
540,249,2,709
541,249,3,709
542,247,2,710
543,249,2,711
544,249,3,712
545,249,2,713
546,249,3,713
547,249,4,713
548,243,0,714
549,248,1,714
550,247,2,715
551,247,3,715
552,247,3,716
559,144,0,719
587,243,0,731
588,249,1,731
589,249,8,732
590,244,5,733
591,247,3,734
592,247,2,734
597,241,3,737
598,241,2,737
636,247,1,749
638,244,3,751
639,243,2,751
646,247,0,755
647,249,0,756
648,249,4,757
649,241,0,758
650,248,0,759
680,249,3,774
681,249,2,774
726,242,1,801
733,248,10,804
734,248,11,805
735,248,12,806
736,248,13,807
737,248,14,808
738,248,15,809
739,248,16,810
740,248,17,811
741,241,6,812
746,244,0,815
747,244,0,816
757,248,0,822
764,242,0,827
765,243,1,827
766,246,2,828
767,242,2,829
769,241,2,831
770,241,4,831
785,243,0,837
786,246,1,837
791,263,4,183
792,163,4,184
793,245,9,840
798,244,3,843
799,244,4,844
809,249,2,848
810,249,4,848
811,243,0,849
812,249,1,849
813,243,3,849
822,244,0,852
823,243,1,852
873,271,0,884
874,272,1,884
889,274,0,893
890,273,1,893
891,273,0,894
892,275,0,895
893,276,1,895
901,273,1,900
902,277,0,901
903,278,1,901
919,249,7,911
920,249,8,911
935,241,5,920
943,65,1,925
945,243,0,925
1025,246,0,972
1026,248,1,972
1034,247,2,977
1035,247,3,978
1036,243,2,979
1037,243,3,980
1039,241,0,981
1040,242,8,982
1041,245,2,983
1056,279,0,992
1057,280,1,992
1100,245,0,1017
1109,243,0,1022
1110,246,1,1022
1128,247,8,1033
1129,83,0,1034
1130,61,0,1035
1265,276,2,1116
1266,268,2,1117
1304,68,1,1017
1385,269,1,1189
1386,265,0,1189
1410,280,0,1204
1411,281,0,1205
1419,279,0,1210
1420,280,1,1210
