ID,AnimStartTime,EndConditionParam,EndConditionDelay,Speed,OverrideConfigFlags,ParentAnimKitID,AnimID,AnimKitConfigID,SegmentFlags,BlendInTimeMs,BlendOutTimeMs,OrderIndex,StartCondition,StartConditionParam,EndCondition,ForcedVariation,LoopToSegmentIndex,StartConditionDelay
1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,-1,0
2,0,0,0,1,0,21,0,1,33,0,0,0,0,0,1,0,-1,0
3,0,0,0,1,0,22,0,2,1,0,0,0,0,0,0,0,-1,0
4,0,0,0,1,0,23,0,2,33,0,0,0,0,0,1,0,-1,0
5,0,0,0,1,0,24,0,3,1,0,0,0,0,0,0,0,-1,0
6,0,0,0,1,0,25,0,3,33,0,0,0,0,0,1,0,-1,0
7,0,0,0,1,0,26,0,4,1,0,0,0,0,0,0,0,-1,0
8,0,0,0,1,0,26,0,5,1,0,0,1,0,0,0,0,-1,0
9,0,0,0,1,0,27,0,4,33,0,0,0,0,0,1,0,-1,0
10,0,0,0,1,0,27,0,5,33,0,0,1,0,0,1,0,-1,0
21,0,0,0,1,65536,42,0,21,0,0,0,0,0,0,0,0,-1,0
22,0,0,0,1,8192,42,0,21,32,0,0,1,2,0,1,0,-1,0
23,0,0,0,1,73728,41,0,21,32,0,0,0,0,0,1,0,-1,0
24,0,0,0,1,73728,43,0,23,288,300,0,0,0,0,1,0,-1,0
25,0,0,0,1,73728,44,0,22,288,250,0,0,0,0,1,0,-1,0
26,0,0,0,1,4096,45,0,21,0,0,0,0,0,0,0,0,-1,0
41,0,0,0,1,0,61,6,41,0,0,0,0,0,0,1,0,-1,0
42,0,0,0,1,0,62,1,41,1280,0,0,0,0,0,0,0,-1,0
43,0,0,0,1,0,62,6,41,64,0,0,1,2,0,1,0,-1,0
52,0,0,0,1,0,67,132,41,0,0,0,0,0,0,1,0,-1,0
53,0,0,0,1,0,68,131,41,0,0,0,0,0,0,0,0,-1,0
54,0,0,0,1,0,68,132,41,64,0,0,1,2,0,1,0,-1,0
61,0,0,0,1,0,81,0,61,1280,100,0,0,0,0,0,0,-1,0
62,0,0,0,1,0,82,0,62,0,0,0,0,0,0,0,0,-1,0
63,0,0,0,1,0,83,0,63,0,0,0,0,0,0,0,0,-1,0
64,0,0,0,1,0,84,0,64,0,0,0,0,0,0,1,0,-1,0
65,0,0,0,1,0,85,0,64,0,0,0,0,0,0,0,0,-1,0
66,0,0,0,1,0,85,0,64,0,0,0,1,2,0,1,0,-1,0
67,0,0,0,1,0,86,0,65,256,200,0,0,0,0,1,0,-1,0
81,0,0,0,1,0,101,0,81,0,0,0,0,0,0,0,0,-1,0
101,0,0,0,1,0,123,0,102,3872,0,0,0,0,0,1,0,-1,0
102,0,0,0,1,0,121,0,101,0,0,0,0,0,0,1,0,-1,0
103,0,0,0,1,0,122,0,101,0,0,0,0,0,0,0,0,-1,0
104,0,0,0,1,0,122,0,101,0,0,0,1,2,0,1,0,-1,0
105,0,0,0,1,0,124,0,61,1,0,0,0,0,0,0,0,-1,0
106,0,0,0,1,0,125,0,103,0,0,0,0,0,0,0,0,-1,0
121,0,0,0,1,8192,141,0,121,0,0,0,0,0,0,1,0,-1,0
122,0,0,0,1,1048576,142,0,121,0,0,0,0,0,0,0,0,-1,0
123,0,0,0,1,1048576,142,0,121,0,0,0,1,2,0,1,0,-1,0
141,0,0,0,1,0,161,0,141,0,0,0,0,0,0,0,0,-1,0
142,0,0,0,1,0,162,0,142,0,0,0,0,0,0,0,0,-1,0
161,0,0,0,1,0,181,0,161,0,0,0,0,0,0,0,0,-1,0
