ID,Flags,Fallback,BehaviorID,BehaviorTier
0,3,147,0,0
1,1056770,0,1,0
2,65546,0,2,0
3,0,0,3,0
4,3,0,4,0
5,2,0,5,0
6,1081379,1,6,0
7,0,0,7,0
8,8454144,0,8,0
9,8454147,8,9,0
10,10551299,9,10,0
11,0,0,11,0
12,0,0,12,0
13,17,4,13,0
14,65667,0,14,0
15,65536,0,15,0
16,18941955,0,16,0
17,2166787,16,17,0
18,2166787,17,18,0
19,2166791,18,19,0
20,18944003,8,20,0
21,2166787,8,21,0
22,2166787,8,22,0
23,2166787,8,23,0
24,2166787,8,24,0
25,16844931,0,25,0
26,69763,0,26,0
27,69763,0,27,0
28,69763,0,28,0
29,65667,0,29,0
30,2162691,8,30,0
31,536936459,0,31,0
32,536936459,16,32,0
33,536936458,32,33,0
34,65536,0,34,0
35,65536,0,35,0
36,2166784,8,36,0
37,3,0,37,0
38,2,0,38,0
39,3,0,39,0
40,3,0,40,0
41,3,0,41,0
42,10,0,42,0
43,8,0,43,0
44,8,0,44,0
45,26,42,45,0
46,198659,0,46,0
47,65538,0,47,0
48,65667,0,48,0
49,329731,0,49,0
50,11,0,50,0
51,536936587,52,51,0
52,536936587,31,52,0
53,536936459,54,53,0
54,536936459,33,54,0
55,536936451,16,55,0
56,69762,0,56,0
57,6361091,17,57,0
58,6361091,18,58,0
59,2162690,87,59,0
60,67651,0,60,0
61,1073809475,0,61,0
62,67651,0,62,0
63,1073809473,0,63,0
64,67651,0,64,0
65,67651,0,65,0
66,67651,0,66,0
67,1073809475,0,67,0
68,1073809475,0,68,0
69,1073743939,0,69,0
70,67651,0,70,0
71,2115,100,71,0
72,2115,0,72,0
73,67651,0,73,0
74,65603,0,74,0
75,2115,0,75,0
76,1073809475,0,76,0
77,1073809475,0,77,0
78,67651,0,78,0
79,1073743939,0,79,0
80,1073809475,0,80,0
81,67651,0,81,0
82,1073809475,0,82,0
83,67651,0,83,0
84,1073809475,0,84,0
85,2166790,17,85,0
86,2166788,19,86,0
87,2166787,88,87,0
88,2166791,16,88,0
89,65539,0,89,0
90,65536,0,90,0
91,33554443,0,91,0
92,0,0,92,0
93,0,0,93,0
94,3,0,94,0
95,2097155,16,95,0
96,2114,0,96,0
97,2146,96,97,0
98,2130,96,98,0
99,10306,0,99,0
100,1073774699,99,100,0
101,16466,99,101,0
102,73,0,102,0
103,73,0,103,0
104,73,0,104,0
105,196610,0,105,0
106,327682,0,106,0
107,67700739,16,107,0
108,67700867,0,108,0
109,196611,0,109,0
110,327683,0,110,0
111,67698691,0,111,0
112,67698690,0,112,0
113,1073809475,0,113,0
114,2050,0,114,0
115,2082,114,115,0
116,2066,114,116,0
117,18941952,87,117,0
118,23136259,57,118,0
119,66,4,119,0
120,67,0,120,0
121,131,0,121,0
122,65538,0,122,0
123,1073809506,128,123,0
124,536936459,52,124,0
125,536936459,31,125,0
126,4099,0,126,0
127,2,0,127,0
128,1073807434,0,128,0
129,1073811538,128,129,0
130,65539,0,130,0
131,1048579,1,131,0
132,1048611,131,132,0
133,1073811523,0,133,0
134,1073811523,0,134,0
135,32770,0,135,0
136,69699,62,136,0
137,195,14,137,0
138,1073807425,63,138,0
139,2,0,139,0
140,3,0,140,0
141,2,0,141,0
142,2,0,142,0
143,0,5,143,0
144,2,0,144,0
145,0,0,145,0
146,18,148,146,0
147,34,146,147,0
148,19,146,148,0
149,35,148,149,0
150,0,148,150,0
151,32,150,151,0
152,16,150,152,0
153,65539,0,153,0
154,65539,0,154,0
155,65539,0,155,0
156,65539,0,156,0
157,0,0,157,0
158,3,0,158,0
159,3,0,159,0
160,0,0,160,0
161,2,0,161,0
162,0,0,162,0
163,0,0,163,0
164,0,0,164,0
165,0,0,165,0
166,0,0,166,0
167,0,0,167,0
168,0,0,168,0
169,3,0,169,0
170,2097154,0,170,0
171,2097154,0,171,0
172,2097154,0,172,0
173,2097154,0,173,0
174,2097154,0,174,0
175,2097154,0,175,0
176,2097154,0,176,0
177,2097154,0,177,0
178,2097154,0,178,0
179,2097154,0,179,0
180,2,0,180,0
181,3,0,181,0
182,3,0,182,0
183,2,0,183,0
184,2,0,184,0
185,67651,0,185,0
186,67651,0,186,0
187,1,5,187,0
188,35,50,188,0
189,16,50,189,0
190,0,0,190,0
191,0,0,191,0
192,3,0,192,0
193,2,0,193,0
194,2,0,194,0
195,1073807427,0,195,0
196,66,1,196,0
197,66,69,197,0
198,0,0,198,0
199,65603,61,199,0
200,3,0,200,0
201,3,0,201,0
202,3,0,202,0
203,3,115,203,0
204,0,0,204,0
205,0,0,205,0
206,0,0,206,0
207,0,0,207,0
