ID,Importance,Icon,FactionID,Pos[0],Pos[1],Pos[2],ContinentID,Flags,AreaID,Name_lang[0]
792,3,4,0,234.85,-2127.76,118.095,0,13,-1,Aerie Peak
1032,0,6,0,-4817.79,-2666.7,351.197,0,4,838,Algaz Station
27,3,6,84,-6392.65,-3158,299.765,0,5,0,Angor Fortress
1,3,6,0,-6134.28,383.763,399.254,0,5,132,Anvilmar
1089,0,6,0,-10344.5,-1541.08,92.6449,0,4,42,Beggar's Haunt
40,3,4,0,-14383.3,487.139,-29.5617,0,13,0,Booty Bay
1010,0,6,0,-1194.05,-2119.16,61.8808,0,4,1858,Boulderfist Outpost
2,3,6,0,2249.85,278.41385,34.11371,0,5,0,Brill
1018,0,6,0,2483.98,-5183.79,76.1135,0,4,2271,Browman Mill
3,3,4,0,-10564.7,-1170.65,28.0505,0,13,42,Darkshire
4,3,6,0,1879.8323,1588.2028,90.17196,0,5,0,Deathknell
327,0,6,0,-1014.22,-3827.39,145.41,0,4,321,Drywhisker Gorge
5,3,6,0,-4191.0234,-2373.1401,205.15083,0,5,0,Dun Algaz
6,3,6,0,-2610.2583,-2350.5583,81.59118,0,5,0,Dun Modr
1028,0,6,0,-7320.59,-2265.09,244.548,0,4,344,Dustbelch Grotto
1090,0,6,0,3186.38,-4039.12,107.991,0,4,2277,Eastwall Gate
949,0,6,0,-8676.57,-119.634,91.4235,0,4,24,Echo Ridge Mine
7,3,6,0,-9480.089,63.521755,56.17569,0,5,0,Goldshire
1033,0,6,0,-4055,-3448.54,283.115,0,4,1038,Grim Batol
41,3,4,83,-12378.4,185.734,3.05513,0,13,0,Grom'gol
1011,0,6,0,-11112.2,-2335.63,117.131,0,4,2561,Grosh'gok Compound
25,3,4,83,-991.57,-3528.34,56.5482,0,13,-1,Hammerfall
948,0,6,0,-5858.7,-2004.1,401.649,0,4,212,Ironband's Compound
8,3,5,0,-5021,-834.059,495.319,0,29,-1,Ironforge
1031,0,6,0,-14179.6,718,28.2885,0,4,35,Janeiro's Point
1030,0,6,0,-9184.5,-605.891,62.8185,0,4,91,Jasperlode Mine
26,3,4,83,-6676.42,-2186.68,245.829,0,13,-1,Kargath
9,2,6,0,-5585.9507,-482.12653,397.01672,0,5,0,Kharanos
