ID,Category,Sex,Race,SoundID
213,12,0,1,6162
214,12,1,1,6134
219,12,0,4,6180
220,12,1,4,6171
221,12,0,5,6414
222,12,1,5,6405
223,12,0,6,6378
224,12,1,6,6369
226,12,1,7,6116
227,12,0,8,6396
228,12,1,8,6387
229,13,0,1,6163
230,13,1,1,6135
231,13,0,2,6361
233,13,0,3,6108
234,13,1,3,6095
235,13,0,4,6181
236,13,1,4,6172
237,13,0,5,6415
238,13,1,5,6406
239,13,0,6,6379
240,13,1,6,6370
241,13,0,7,6126
242,13,1,7,6117
243,13,0,8,6397
244,13,1,8,6388
251,14,0,4,6182
321,18,1,6,6375
324,18,0,8,6402
329,19,1,2,6358
335,19,1,5,6412
349,20,1,4,6179
355,20,1,7,6124
375,21,0,7,7641
378,21,1,1,7635
382,21,1,2,7639
387,21,0,5,7644
215,12,0,2,6360
216,12,1,2,6351
217,12,0,3,6107
218,12,1,3,6094
225,12,0,7,6125
232,13,1,2,6352
263,15,0,2,6363
281,16,0,3,6111
282,16,1,3,6102
284,16,1,4,6175
285,16,0,5,6418
286,16,1,5,6409
287,16,0,6,6382
295,17,0,2,6365
296,17,1,2,6356
297,17,0,3,6112
298,17,1,3,6103
307,17,0,8,6401
308,17,1,8,6392
385,21,0,8,7648
1,0,0,1,2668
2,1,0,1,2669
3,2,0,1,2670
4,3,0,1,2671
5,4,0,1,2672
6,5,0,1,2673
7,6,0,1,2674
8,7,0,1,2675
9,8,0,1,2676
10,9,0,1,2677
11,10,0,1,2678
12,11,0,1,2679
13,0,1,7,2838
14,1,1,7,2839
15,2,1,7,2840
16,3,1,7,2841
17,4,1,7,2842
18,5,1,7,2843
19,6,1,7,2844
20,7,1,7,2845
21,8,1,7,2846
22,9,1,7,2847
23,10,1,7,2848
24,11,1,7,2849
25,0,0,8,2850
26,1,0,8,2851
27,2,0,8,2852
28,3,0,8,2853
29,4,0,8,2854
30,5,0,8,2855
31,6,0,8,2856
32,7,0,8,2857
33,8,0,8,2858
34,9,0,8,2859
35,10,0,8,2860
36,11,0,8,2861
37,0,1,6,2801
38,1,1,6,2802
39,2,1,6,2803
40,3,1,6,2804
41,4,1,6,2805
42,5,1,6,2806
43,6,1,6,2807
44,7,1,6,2808
45,8,1,6,2809
46,9,1,6,2810
47,10,1,6,2811
48,11,1,6,2812
49,0,0,2,2692
50,1,0,2,2693
51,2,0,2,2694
52,3,0,2,2695
53,4,0,2,2696
54,5,0,2,2697
55,6,0,2,2698
56,7,0,2,2699
57,8,0,2,2700
58,9,0,2,2701
59,10,0,2,2702
60,11,0,2,2703
