ID,Importance,Icon,FactionID,Pos[0],Pos[1],Pos[2],ContinentID,Flags,AreaID,Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang_mask
792,3,4,0,234.85,-2127.76,118.095,0,13,-1,Aerie Peak,,,,,,,,983042
27,3,6,84,-6392.65,-3158,299.765,0,5,0,Angor Fortress,,,,,,,,7274526
1,3,6,0,-6134.2783,383.7634,399.25397,0,5,0,Anvilmar,,,,,,,,7274527
40,3,4,0,-14383.3,487.139,-29.5617,0,13,0,Booty Bay,,,,,,,,7274526
2,3,6,0,2249.85,278.41385,34.11371,0,5,0,Brill,,,,,,,,7274526
3,3,4,0,-10564.7,-1170.65,28.0505,0,13,-1,Darkshire,,,,,,,,7274526
4,3,6,0,1879.8323,1588.2028,90.17196,0,5,0,Deathknell,,,,,,,,7274526
327,0,6,0,-1014.22,-3827.39,145.41,0,4,-1,Drywhisker Gorge,,,,,,,,983070
5,3,6,0,-4191.0234,-2373.1401,205.15083,0,5,0,Dun Algaz,,,,,,,,7274526
6,3,6,0,-2610.2583,-2350.5583,81.59118,0,5,0,Dun Modr,,,,,,,,7274526
7,3,6,0,-9480.089,63.521755,56.17569,0,5,0,Goldshire,,,,,,,,7274526
41,3,4,83,-12378.4,185.734,3.05513,0,13,0,Grom'gol,,,,,,,,7274526
25,3,4,83,-991.57,-3528.34,56.5482,0,13,-1,Hammerfall,,,,,,,,7274526
8,3,5,0,-5021,-834.059,495.319,0,29,-1,Ironforge,,,,,,,,7274526
26,3,4,83,-6676.42,-2186.68,245.829,0,13,-1,Kargath,,,,,,,,7274526
9,2,6,0,-5585.9507,-482.12653,397.01672,0,5,0,Kharanos,,,,,,,,7274526
10,3,4,0,-9227.69,-2201.47,63.9334,0,13,-1,Lakeshire,,,,,,,,7274526
11,3,4,0,-3672.7,-828.455,9.89915,0,13,-1,Menethil Harbor,,,,,,,,7274526
227,0,2,0,-9389.26,458.427,38.2854,0,4,-1,Mirror Lake,,,,,,,,983070
12,3,6,0,-11017.066,1510.168,43.16575,0,5,0,Moonbrook,,,,,,,,7274526
13,3,6,0,-8896.159,-179.32834,80.290924,0,5,0,Northshire Abbey,,,,,,,,7274526
14,3,6,0,-10752.526,310.43338,40.16275,0,5,0,Raven Hill,,,,,,,,7274526
24,3,6,84,-1251.05,-2526.81,20.7117,0,5,0,Refuge Pointe,,,,,,,,7274526
710,0,6,0,1262.19,-2579.41,126.37,0,4,-1,Scholomance,,,,,,,,983054
15,3,4,0,-10503.7,1027.76,55.5831,0,13,-1,Sentinel Hill,,,,,,,,7274526
247,0,2,0,861.216,-558.217,146.61,0,4,-1,Slaughter Hollow,,,,,,,,983070
22,3,4,0,-803.031,-531.727,15.9654,0,13,-1,Southshore,,,,,,,,7274526
788,3,4,0,-10443.7,-3277.49,20.1782,0,13,-1,Stonard,,,,,,,,983042
16,3,5,0,-9153.77,364.057,90.4829,0,29,-1,Stormwind,,,,,,,,7274526
23,3,4,0,-27.0354,-900.562,55.9603,0,13,-1,Tarren Mill,,,,,,,,7274526
17,3,4,0,508.073,1619.02,125.272,0,13,-1,The Sepulcher,,,,,,,,7274526
18,4,5,0,1849.69,235.699,61.6564,0,29,-1,The Undercity,,,,,,,,7274526
19,3,4,0,-5349.27,-2959.91,323.627,0,13,-1,Thelsamar,,,,,,,,7274526
709,0,6,0,969.176,-1825.52,99.6067,0,4,-1,Uther's Tomb,,,,,,,,983054
36,3,4,84,10462.7,805.993,1312.66,1,5,188,Aldrassil,,,,,,,,7274526
42,3,4,84,2720.43,-382.391,107.09,1,13,-1,Astranaar,,,,,,,,7274526
798,3,4,0,6439.33,411.951,10.8632,1,13,-1,Auberdine,,,,,,,,983042
28,3,6,83,-2323.92,-394.981,-9.12757,1,5,0,Bloodhoof Village,,,,,,,,7274526
790,3,4,0,-4394.98,215.611,25.4133,1,13,-1,Camp Mojache,,,,,,,,983042
30,3,6,83,-2906.49,-253.607,52.9407,1,5,0,Camp Narache,,,,,,,,7274526
787,3,4,0,-2352.52,-1926.45,95.7845,1,13,-1,Camp Taurajo,,,,,,,,983042
38,3,5,84,9951.75,2254.5,1335.42,1,29,-1,Darnassus,,,,,,,,7274526
37,3,4,84,9787.99,949.897,1306.73,1,1,-1,Dolanaar,,,,,,,,7274526
794,3,4,0,6723.46,-4662.5,722.806,1,13,-1,Everlook,,,,,,,,983042
796,3,4,0,-4434.99,3276.74,11.7785,1,13,-1,Feathermoon,,,,,,,,983042
46,3,4,83,-5454.07,-2445.5,90.1133,1,13,0,Freewind Post,,,,,,,,7274526
789,3,4,0,-7139.15,-3752.11,8.5398,1,13,-1,Gadgetzan,,,,,,,,983042
708,0,6,0,3556.64,-6232.79,44.0086,1,4,-1,Hetaera's Clutch,,,,,,,,983054
799,3,4,0,202.521,1308.24,190.236,1,13,-1,Nijel's Point,,,,,,,,983042
33,3,5,83,1381.77,-4371.16,26.0233,1,29,-1,Orgrimmar,,,,,,,,7274526
39,3,4,0,-951.364,-3680.07,8.04018,1,13,0,Ratchet,,,,,,,,7274526
31,3,6,83,312.659,-4745.52,9.54726,1,5,0,Razor Hill,,,,,,,,7274526
34,3,6,83,-819.492,-4918.24,19.3401,1,5,0,Sen'jin Village,,,,,,,,7274526
795,3,4,0,-1657.85,3097.92,30.4995,1,13,-1,Shadowprey Village,,,,,,,,983042
800,3,4,0,2312.89,-2538.96,100.169,1,13,-1,Splintertree Post,,,,,,,,983042
44,3,4,84,2658.78,1449.71,226.135,1,13,0,Stonetalon Peak,,,,,,,,7274526
701,3,4,0,936.308,910.974,104.439,1,13,-1,Sun Rock Retreat,,,,,,,,983054
707,0,6,0,3549.15,-5359.12,204.102,1,4,-1,Temple of Zin-Malor,,,,,,,,983054
45,3,4,84,-4510.03,-779.474,-41.5353,1,13,0,Thalanaar,,,,,,,,7274526
35,3,4,83,-455.9,-2652.15,95.5865,1,13,-1,The Crossroads,,,,,,,,7274526
32,3,6,83,-604.098,-4202.92,38.7281,1,5,0,The Den,,,,,,,,7274526
791,3,4,0,-3680.17,-4388.51,10.5549,1,13,-1,Theramore Isle,,,,,,,,983042
