ID,FromTaxiNode,ToTaxiNode,Cost
101,26,27,0
254,5,4,110
255,4,19,630
261,12,45,830
262,45,12,330
263,6,43,730
264,43,6,730
271,7,14,330
305,58,25,110
285,47,35,0
371,65,52,1020
289,26,49,830
303,54,24,0
329,64,26,730
335,23,55,630
338,23,48,830
372,65,64,730
342,26,65,730
343,56,20,630
344,20,56,630
345,22,55,630
346,66,14,330
347,14,66,830
349,43,67,1020
350,58,61,430
351,61,58,330
352,67,43,730
353,42,25,730
354,25,58,330
360,25,55,630
361,20,21,630
364,69,48,930
366,69,53,1020
367,49,52,1020
121,56,18,630
141,37,32,530
161,38,22,530
252,12,4,110
253,46,7,0
257,5,12,330
258,12,5,210
259,12,19,630
307,48,53,1020
283,25,44,830
286,48,25,930
287,25,48,930
297,1,36,0
298,52,49,830
302,35,24,0
315,62,27,0
316,63,22,0
318,56,21,630
320,17,21,630
321,17,13,330
323,39,31,430
324,31,39,730
336,55,23,630
339,52,65,730
341,48,23,930
348,55,22,630
355,25,42,730
356,38,29,210
358,29,38,530
359,68,11,1020
368,49,26,830
369,65,26,730
4,3,1,0
6,2,4,110
7,4,2,110
8,5,2,210
9,2,5,210
12,6,2,50
13,2,6,50
15,8,6,110
16,6,8,110
17,7,6,330
18,6,7,330
20,11,10,110
21,10,11,110
22,12,2,330
23,2,12,330
24,13,11,330
25,11,13,330
26,14,6,330
27,6,14,330
319,21,17,630
325,31,41,630
30,16,6,530
31,6,16,530
32,17,11,530
33,11,17,530
34,20,18,630
35,18,20,630
36,18,21,630
37,21,18,630
38,21,11,630
39,11,21,630
40,2,19,630
41,19,2,630
42,23,22,50
43,22,23,50
44,25,22,110
45,25,23,110
46,22,25,110
47,23,25,110
241,34,35,0
102,27,26,0
50,28,26,330
51,26,28,330
52,29,22,210
53,22,29,210
54,30,22,430
55,22,30,430
56,32,31,430
57,31,32,730
58,33,26,330
59,26,33,330
242,44,23,830
244,45,2,830
250,4,12,330
82,18,56,630
266,7,8,110
260,19,12,330
265,8,7,330
268,16,8,110
269,7,16,530
270,16,7,330
272,14,7,330
276,43,16,530
290,22,44,830
291,44,22,830
292,50,36,0
293,51,50,0
322,13,17,530
357,11,68,1020
162,22,38,530
163,32,37,530
181,26,32,630
182,32,26,630
224,23,40,730
222,32,39,730
223,40,23,730
225,41,26,730
226,26,41,730
227,42,22,730
228,22,42,730
229,43,14,330
230,14,43,730
245,2,45,830
249,4,5,210
256,19,4,110
273,16,14,330
274,14,16,530
275,16,43,730
282,30,25,430
201,39,32,630
243,23,44,830
280,29,25,210
267,8,16,530
279,25,29,210
281,25,30,430
284,44,25,830
295,50,51,0
306,53,48,930
309,22,40,730
301,35,20,0
304,55,25,630
308,30,40,730
310,40,30,430
311,40,22,730
312,59,6,0
313,60,11,0
314,6,59,0
317,21,56,710
326,41,31,430
327,61,23,530
328,23,61,510
330,26,64,730
332,64,65,730
333,61,25,530
334,25,61,530
362,21,20,530
363,53,69,830
365,48,69,830
