ID,ReputationIndex,ReputationRaceMask[0],ReputationRaceMask[1],ReputationRaceMask[2],ReputationRaceMask[3],ReputationClassMask[0],ReputationClassMask[1],ReputationClassMask[2],ReputationClassMask[3],ReputationBase[0],ReputationBase[1],ReputationBase[2],ReputationBase[3],ReputationFlags[0],ReputationFlags[1],ReputationFlags[2],ReputationFlags[3],ParentFactionID,Name_lang,Description_lang
70,6,255,0,0,0,0,0,0,0,-10000,0,0,0,2,0,0,0,0,Syndicate,
73,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Demon,
74,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elemental,
75,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spirit,
76,14,160,77,2,16,0,0,0,0,3100,-42000,4000,500,17,6,17,17,67,Orgrimmar,
77,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Treasure,
83,23,255,0,0,0,0,0,0,0,2999,0,0,0,4,0,0,0,0, Leatherworking - Elemental,
84,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Quilboar, Razormane",
85,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Quilboar, Bristleback",
86,22,255,0,0,0,0,0,0,0,2999,0,0,0,4,0,0,0,0, Leatherworking - Dragonscale,
87,0,255,0,0,0,0,0,0,0,-6500,0,0,0,2,0,0,0,0,Bloodsail Buccaneers,
88,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blackfathom,
89,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Makrura,
90,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Centaur, Kolkar",
91,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Centaur, Galak",
92,2,255,0,0,0,0,0,0,0,2000,0,0,0,2,0,0,0,0,Gelkis Clan Centaur,
93,3,255,0,0,0,0,0,0,0,2000,0,0,0,2,0,0,0,0,Magram Clan Centaur,
94,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maraudine,
108,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Human, Theramore",
109,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Quilboar, Razorfen",
110,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Quilboar, Razormane 2",
111,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Quilboar, Deathshead",
128,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enemy,
148,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ambient,
168,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nethergarde Caravan,
169,10,255,0,0,0,0,0,0,0,500,0,0,0,8,0,0,0,0,Steamwheedle Cartel,
189,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alliance Generic,
209,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nethergarde,
229,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wailing Caverns,
249,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Silithid,
269,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alliance Red Team,
270,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alliance Blue Team,
289,30,255,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0, Blacksmithing - Weaponsmithing,
4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Night Elf",
19,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Murloc,
30,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defias Brotherhood Traitor,
47,20,73,178,4,0,0,0,0,0,3100,-42000,4000,0,17,6,17,0,469,Ironforge,
57,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnoll, Rothide",
68,17,162,77,16,0,0,0,0,0,500,-42000,4000,0,17,6,17,0,67,Undercity,
79,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HIllsbrad, Southshore Mayor",
2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Orc",
21,1,255,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,169,Booty Bay,
32,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trogg,
42,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Raptor,
52,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Orc, Dragonmaw",
66,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horde Generic,
80,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragonflight, Black",
630,38,178,77,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,Ravasaur Trainers,
673,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Hyena,
369,7,255,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,169,Gadgetzan,
449,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shadowsilk Poacher,
450,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Searing Spider,
469,11,77,178,0,0,0,0,0,0,3300,-42000,0,0,9,14,0,0,0,Alliance,
