EnumID,Name_lang[0]
93,Summon Phantasm
94,Self Resurrect
104,Summon Object (slot 1)
107,Summon Object (slot 4)
108,Dispel Mechanic
9,Health Leech
110,Destroy All Totems
111,Durability Damage
113,Resurrect (Flat)
95,Skinning
96,Charge
102,Dismiss Pet
105,Summon Object (slot 2)
106,Summon Object (slot 3)
115,Durability Damage Pct(%)
0,None
1,Instakill
2,School Damage
3,Dummy
4,Portal Teleport
5,Teleport Units
6,Apply Aura
7,Environmental Damage
8,Power Drain
10,Heal
11,Bind
12,Portal
13,Ritual Base
14,Ritual Specialize
15,Ritual Activate Portal
16,Quest Complete
18,Resurrect
19,Extra Attacks
20,Dodge
21,Evade
22,Parry
23,Block
24,Create Item
25,Weapon
26,Defense
27,Persistent Area Aura
29,Leap
30,Energize
31,Weapon % Dmg
32,Trigger Missile
36,Learn Spell
37,Spell Defense
38,Dispel
40,Dual Wield
41,Summon Wild
42,Summon Guardian
44,Skill Step
46,Spawn
47,Spell Cast UI
48,Stealth
49,Detect
51,Force Critical Hit
52,Guarantee Hit
54,Enchant Item Temporary
55,Tame Creature
56,Summon Pet
57,Learn Pet Spell
58,Weapon Damage +
60,Proficiency
61,Send Event
62,Power Burn
63,Threat
64,Trigger Spell
66,Power Funnel
67,Heal Max Health
68,Interrupt Cast
69,Distract
70,Pull
72,Add Farsight
73,Summon Possessed
74,Summon Totem
76,Summon Object (Wild)
77,Script Effect
78,Attack
79,Sanctuary
80,Add Combo Points
82,Bind Sight
83,Duel
84,Stuck
85,Summon Player
88,Summon Totem (slot 2)
89,Summon Totem (slot 3)
90,Summon Totem (slot 4)
91,Threat (All)
92,Enchant Held Item
101,Feed Pet
17,Weapon Damage + (noschool)
28,Summon
33,Open Lock
39,Language
43,Teleport Units (Face Caster)
50,Summon Object
53,Enchant Item Permanent
59,Open Lock (Item)
65,Health Funnel
71,Pickpocket
75,Heal Mechanical
81,Create House
86,Activate Object
87,Summon Totem (slot 1)
103,Reputation
112,Summon Demon
97,Summon Critter
98,Knock Back
99,Disenchant
100,Inebriate
109,Summon Dead Pet
114,Attack Me
116,Skin Player Corpse
117,Spirit Heal
35,Apply Area Aura
