ClassID,SubClassID,PrerequisiteProficiency,PostrequisiteProficiency,Flags,DisplayFlags,WeaponParrySeq,WeaponReadySeq,WeaponAttackSeq,WeaponSwingSize,DisplayName_lang,VerboseName_lang
-1,-1,-1,-1,0,1,0,0,3,0,NewItem,
0,0,-1,-1,0,1,3,2,3,0,Consumable,
0,1,-1,-1,0,1,3,2,3,0,Cheese/Bread(OBSOLETE),
0,2,-1,-1,0,1,3,2,3,0,Liquid(OBSOLETE),
1,0,-1,-1,0,0,0,0,3,0,Container,
2,0,-1,1,3,0,2,2,3,1,Axe,
2,1,0,-1,3,0,0,0,0,2,Axe,
2,2,-1,-1,128,0,3,3,2,1,Bow,
2,3,-1,-1,168,0,3,4,4,1,Gun,
2,4,-1,5,3,0,2,2,3,1,Mace,
2,5,4,-1,3,0,0,0,0,2,Mace,
2,6,-1,-1,3,0,1,1,1,2,Polearm,
2,7,-1,8,3,0,2,2,3,1,Sword,
2,8,7,-1,3,0,0,0,0,2,Sword,
2,9,-1,-1,0,3,3,2,3,1,Obsolete,
2,10,-1,-1,3,0,1,1,1,2,Staff,
2,11,-1,12,0,3,3,2,3,1,Exotic,
2,12,11,-1,0,3,3,2,3,2,Exotic,
2,13,-1,-1,4,0,3,2,3,0,Fist Weapon,
2,14,-1,-1,2,1,3,2,3,1,Miscellaneous,
2,15,-1,-1,3,0,2,2,3,0,Dagger,
2,16,-1,-1,16,0,3,5,5,1,Thrown,
2,17,-1,-1,3,2,1,1,1,2,Spear,
2,18,-1,-1,160,0,3,4,4,1,Crossbow,
2,19,-1,-1,256,0,3,2,3,1,Wand,
2,20,-1,-1,0,0,1,1,1,2,Fishing Pole,
3,0,-1,-1,0,1,3,2,3,0,Jewelry(OBSOLETE),
4,0,-1,-1,512,1,0,0,3,0,Miscellaneous,
4,1,-1,-1,512,0,0,0,3,0,Cloth,
4,2,-1,-1,512,0,0,0,3,0,Leather,
4,3,-1,-1,512,0,0,0,3,0,Mail,
4,4,-1,-1,512,0,0,0,3,0,Plate,
4,5,-1,-1,0,2,0,0,3,0,Buckler(OBSOLETE),
4,6,5,-1,0,0,0,0,3,0,Shield,
5,0,-1,-1,0,1,3,2,3,0,Reagent,
6,0,-1,-1,0,3,0,0,3,0,Wand(OBSOLETE),
6,1,-1,-1,0,2,0,0,3,0,Bolt(OBSOLETE),
6,2,-1,-1,0,0,0,0,3,0,Arrow,
6,3,-1,-1,0,0,0,0,3,0,Bullet,
6,4,-1,-1,64,2,3,2,3,0,Thrown(OBSOLETE),
7,0,-1,-1,0,1,3,2,3,0,Trade Goods,
7,1,-1,-1,0,1,3,2,3,0,Parts,
7,2,-1,-1,0,1,3,2,3,0,Explosives,
7,3,-1,-1,0,1,3,2,3,0,Devices,
8,0,-1,-1,0,1,3,2,3,0,Generic(OBSOLETE),
9,0,-1,-1,0,1,3,2,3,0,Book,
9,1,-1,-1,0,1,3,2,3,0,Leatherworking,
9,2,-1,-1,0,1,3,2,3,0,Tailoring,
9,3,-1,-1,0,1,3,2,3,0,Engineering,
9,4,-1,-1,0,1,3,2,3,0,Blacksmithing,
9,5,-1,-1,0,1,3,2,3,0,Cooking,
9,6,-1,-1,0,1,3,2,3,0,Alchemy,
9,7,-1,-1,0,1,3,2,3,0,First Aid,
9,8,-1,-1,0,1,3,2,3,0,Enchanting,
9,9,-1,-1,0,1,3,2,3,0,Fishing,
10,0,-1,-1,0,1,3,2,3,0,Money(OBSOLETE),
11,0,-1,-1,0,3,0,0,3,0,Quiver(OBSOLETE),
11,1,-1,-1,0,3,0,0,3,0,Quiver(OBSOLETE),
11,2,-1,-1,0,0,0,0,3,0,Quiver,
11,3,-1,-1,0,0,0,0,3,0,Ammo Pouch,
12,0,-1,-1,0,1,3,2,3,0,Quest,
13,0,-1,-1,0,1,3,2,3,0,Key,
13,1,-1,-1,0,1,3,2,3,0,Lockpick,
14,0,-1,-1,0,1,3,2,3,0,Permanent,
15,0,-1,-1,0,1,3,2,3,0,Junk,
