"ID","Directory","InstanceType","MapName_enUS","MapName_enGB","MapName_koKR","MapName_frFR","MapName_deDE","MapName_enCN","MapName_zhCN","MapName_enTW","MapName_Mask","MinLevel","MaxLevel","MaxPlayers","Field08","Field09","Field10","AreaTableID","MapDescription0_enUS","MapDescription0_enGB","MapDescription0_koKR","MapDescription0_frFR","MapDescription0_deDE","MapDescription0_enCN","MapDescription0_zhCN","MapDescription0_enTW","MapDescription0_Mask","MapDescription1_enUS","MapDescription1_enGB","MapDescription1_koKR","MapDescription1_frFR","MapDescription1_deDE","MapDescription1_enCN","MapDescription1_zhCN","MapDescription1_enTW","MapDescription1_Mask","LoadingScreenID","RaidOffset","Field16","MinimapIconScale"
"48","Blackfathom","0","Blackfathom Instance","","","","","","","","8323134","0","0","0","-1","0","0","719","","","","","","","","","2031644","","","","","","","","","2031644","21","0","1","1065353216"
"109","SunkenTemple","0","SunkenTempleInstance","","","","","","","","8323134","0","0","0","-1","0","0","1477","","","","","","","","","2031644","","","","","","","","","2031644","23","0","1","1065353216"
"70","Uldaman","0","Uldaman Instance","","","","","","","","8323134","0","0","0","-1","0","0","1337","","","","","","","","","2031644","","","","","","","","","2031644","144","0","1","1065353216"
"90","GnomeragonInstance","0","GnomeragonInstance","","","","","","","","8323134","0","0","0","-1","0","0","721","","","","","","","","","2031644","","","","","","","","","2031644","23","0","1","1065353216"
"129","RazorfenDowns","0","RazorfenDownsInstance","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","145","0","1","1065353216"
"249","OnyxiaLairInstance","0","Onyxias Lair Instance","","","","","","","","2031662","0","0","0","-1","0","0","2159","","","","","","","","","2031644","","","","","","","","","2031644","61","0","1","1065353216"
"289","SchoolofNecromancy","0","School of Necromancy","","","","","","","","2031678","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","102","0","1","1065353216"
"409","MoltenCore","0","Molten Core","","","","","","","","2031678","0","0","0","-1","0","0","2717","","","","","","","","","2031644","","","","","","","","","2031644","61","0","1","1065353216"
"469","BlackwingLair","0","Blackwing Lair","","","","","","","","2031678","0","0","0","-1","0","0","2677","","","","","","","","","2031644","","","","","","","","","2031644","141","0","1","1065353216"
"189","MonasteryInstances","0","MonasteryInstances","","","","","","","","2031678","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","42","0","1","1065353216"
"269","CavernsOfTime","0","Caverns of Time","","","","","","","","2031678","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","4","0","1","1065353216"
"229","BlackRockSpire","0","Blackrock Upper Instance","","","","","","","","2031678","0","0","0","0","0","0","1583","","","","","","","","","2031644","","","","","","","","","2031644","21","0","1","1065353216"
"230","BlackrockDepths","0","Blackrock Lower Instance","","","","","","","","2031678","0","0","0","0","0","0","1584","","","","","","","","","2031644","","","","","","","","","2031644","103","0","1","1065353216"
"349","Mauradon","0","Mauradon","","","","","","","","2031678","0","0","0","-1","0","0","2100","","","","","","","","","2031644","","","","","","","","","2031644","81","0","1","1065353216"
"449","AlliancePVPBarracks","0","Alliance PVP Barracks","","","","","","","","2031678","0","0","0","-1","0","0","2918","","","","","","","","","2031644","","","","","","","","","2031644","181","0","1","1065353216"
"450","HordePVPBarracks","0","Horde PVP Barracks","","","","","","","","2031678","0","0","0","-1","0","0","2917","","","","","","","","","2031644","","","","","","","","","2031644","182","0","1","1065353216"
"451","development","0","Development Land","","","","","","","","2031662","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","21","0","1","1065353216"
"509","AhnQiraj","0","Ahn'Qiraj","","","","","","","","2031678","0","0","0","-1","0","0","0","","","","","","","","","2031628","","","","","","","","","2031628","25","0","1","1065353216"
