ID,Condition_ID,Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang_mask
1,5879,Private,,,,,,,,1507334
2,5880,Corporal,,,,,,,,1507334
3,5881,Sergeant,,,,,,,,1507334
4,5882,Master Sergeant,,,,,,,,1507334
5,5883,Sergeant Major,,,,,,,,1507334
6,5884,Knight,,,,,,,,1507334
7,5885,Knight-Lieutenant,,,,,,,,1507334
8,5886,Knight-Captain,,,,,,,,1507334
9,5887,Knight-Champion,,,,,,,,1507334
10,5888,Lieutenant Commander,,,,,,,,1507334
11,5889,Commander,,,,,,,,1507334
12,5890,Marshal,,,,,,,,1507334
13,5891,Field Marshal,,,,,,,,1507334
14,5892,Grand Marshal,,,,,,,,1507334
15,5893,Scout,,,,,,,,1507334
16,5894,Grunt,,,,,,,,1507334
17,5895,Sergeant,,,,,,,,1507334
18,5896,Senior Sergeant,,,,,,,,1507334
19,5897,First Sergeant,,,,,,,,1507334
20,5898,Stone Guard,,,,,,,,1507334
21,5899,Blood Guard,,,,,,,,1507334
22,5900,Legionnare,,,,,,,,1507334
23,5901,Centurion,,,,,,,,1507334
24,5902,Champion,,,,,,,,1507334
25,5903,Lieutenant General,,,,,,,,1507334
26,5904,General,,,,,,,,1507334
27,5905,Warlord,,,,,,,,1507334
28,5906,High Warlord,,,,,,,,1507334
