ID,Achievement_ID,Type,Asset_ID,Quantity,Start_event,Start_asset,Fail_event,Fail_asset,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask
1,1,2,1,20,0,0,0,0,Level to 20 as a Human. [PH],,,,,,,,,,,,,,,,16711752
2,1,2,2,20,0,0,0,0,Level to 20 as an Orc. [PH],,,,,,,,,,,,,,,,16711752
3,1,2,3,20,0,0,0,0,Level to 20 as a Dwarf. [PH],,,,,,,,,,,,,,,,16711752
4,1,2,4,20,0,0,0,0,Level to 20 as a Night Elf. [PH],,,,,,,,,,,,,,,,16711752
5,1,2,5,20,0,0,0,0,Level to 20 as an Undead. [PH],,,,,,,,,,,,,,,,16711752
6,1,2,7,20,0,0,0,0,Level to 20 as a Gnome. [PH],,,,,,,,,,,,,,,,16711752
7,1,2,8,20,0,0,0,0,Level to 20 as a Troll. [PH],,,,,,,,,,,,,,,,16711752
8,1,2,10,20,0,0,0,0,Level to 20 as a Blood Elf. [PH],,,,,,,,,,,,,,,,16711752
9,1,2,11,20,0,0,0,0,Level to 20 as a Draenei. [PH],,,,,,,,,,,,,,,,16711752
10,1,2,6,20,0,0,0,0,Level to 20 as a Tauren. [PH],,,,,,,,,,,,,,,,16711752
11,2,3,1,20,0,0,0,0,Level to 20 as a Warrior. [PH],,,,,,,,,,,,,,,,16711752
12,2,3,2,20,0,0,0,0,Level to 20 as a Paladin. [PH],,,,,,,,,,,,,,,,16711752
13,2,3,3,20,0,0,0,0,Level to 20 as a Hunter. [PH],,,,,,,,,,,,,,,,16711752
14,2,3,4,20,0,0,0,0,Level to 20 as a Rogue. [PH],,,,,,,,,,,,,,,,16711752
15,2,3,5,20,0,0,0,0,Level to 20 as a Priest. [PH],,,,,,,,,,,,,,,,16711752
16,2,3,6,20,0,0,0,0,Level to 20 as a Death Knight. [PH],,,,,,,,,,,,,,,,16711752
