ID,RaceID,ClassID,SexID,OutfitID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],DisplayItemID[0],DisplayItemID[1],DisplayItemID[2],DisplayItemID[3],DisplayItemID[4],DisplayItemID[5],DisplayItemID[6],DisplayItemID[7],DisplayItemID[8],DisplayItemID[9],DisplayItemID[10],DisplayItemID[11],DisplayItemID[12],DisplayItemID[13],DisplayItemID[14],DisplayItemID[15],DisplayItemID[16],DisplayItemID[17],DisplayItemID[18],DisplayItemID[19],DisplayItemID[20],DisplayItemID[21],DisplayItemID[22],DisplayItemID[23],InventoryType[0],InventoryType[1],InventoryType[2],InventoryType[3],InventoryType[4],InventoryType[5],InventoryType[6],InventoryType[7],InventoryType[8],InventoryType[9],InventoryType[10],InventoryType[11],InventoryType[12],InventoryType[13],InventoryType[14],InventoryType[15],InventoryType[16],InventoryType[17],InventoryType[18],InventoryType[19],InventoryType[20],InventoryType[21],InventoryType[22],InventoryType[23]
1,1,1,0,0,38,39,40,0,25,2362,117,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9891,9892,10141,-1,1542,18730,2473,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,-1,21,14,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,1,1,0,38,39,40,0,25,2362,117,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9891,9892,10141,-1,1542,18730,2473,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,-1,21,14,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,1,2,0,0,45,43,44,6948,2361,159,2070,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3265,9938,9937,6418,8690,18084,6353,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,8,7,0,17,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,1,2,1,0,45,43,44,6948,2361,159,2070,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3265,9938,9937,6418,8690,18084,6353,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,8,7,0,17,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,4,0,0,49,47,48,28979,2092,2070,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9906,9915,9913,40187,6442,6353,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,8,7,25,13,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,1,4,1,0,49,47,48,28979,2092,2070,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9906,9915,9913,40187,6442,6353,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,8,7,25,13,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1,5,0,0,6098,52,53,51,36,159,2070,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12679,9945,9944,9946,5194,18084,6353,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,4,8,21,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,1,5,1,0,6098,52,53,51,36,159,2070,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12679,9945,9944,9946,5194,18084,6353,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,4,8,21,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
352,1,6,0,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,0,0,0,0,0,0,0,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
353,1,6,1,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,0,0,0,0,0,0,0,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
