ID,Achievement_ID,Type,Asset_ID,Quantity,Start_event,Start_asset,Fail_event,Fail_asset,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask,Flags,Ui_order
74,33,11,3537,130,0,0,0,0,Complete 130 quests in Boren Tundra,,,,,,,,,,,,,,,,16711680,3,1
1237,159,1,529,1,0,0,3,529,Win in 6 minutes,,,,,,,,,,,,,,,,16712190,2,1
75,34,11,495,130,0,0,0,0,Complete 130 quests in Howling Fjord,,,,,,,,,,,,,,,,16711680,1,1
78,37,11,394,85,0,0,0,0,Complete 85 quests in Grizzly Hills,,,,,,,,,,,,,,,,16711680,1,1
80,39,11,3711,80,0,0,0,0,Complete 80 Scholozar Basin quests.,,,,,,,,,,,,,,,,16711680,1,1
81,40,11,210,100,0,0,0,0,Complete 100 Icecrown Glacier quests,,,,,,,,,,,,,,,,16712190,1,1
82,41,8,33,1,0,0,0,0,Nothing Boring About Borean,,,,,,,,,,,,,,,,16712174,0,1
103,50,15,489,0,0,0,0,0,Warsong Gulch Played: [PH],,,,,,,,,,,,,,,,16711918,0,1
105,54,15,566,0,0,0,0,0,Eye of the Storm Played: [PH],,,,,,,,,,,,,,,,16711918,0,1
231,504,9,0,100,0,0,0,0,Complete 100 quests,,,,,,,,,,,,,,,,16712190,1,1
230,503,9,0,50,0,0,0,0,Complete 50 quests,,,,,,,,,,,,,,,,16712190,1,1
226,230,8,1167,0,0,0,0,0,Master of Alterac Valley,,,,,,,,,,,,,,,,16712174,0,1
225,219,1,30,100,0,0,0,0,Complete 100 victories in Alterac Valley,,,,,,,,,,,,,,,,16712174,1,1
222,208,1,566,1,0,0,0,0,Win Eye of the Storm.,,,,,,,,,,,,,,,,16712174,2,1
221,167,1,489,100,0,0,0,0,Complete 100 victories in Warsong Gulch,,,,,,,,,,,,,,,,16712174,1,1
218,486,0,28586,1,0,0,0,0,General Gjarngrin,,,,,,,,,,,,,,,,16712174,0,1
72,31,10,0,5,2,0,2,0,Complete a daily quest every day for five consecutive days,,,,,,,,,,,,,,,,16712174,1,1
215,485,0,27975,1,0,0,0,0,Maiden of Grief,,,,,,,,,,,,,,,,16712174,0,1
41,13,5,0,80,0,0,0,0,Reach level 80,,,,,,,,,,,,,,,,16712174,2,1
39,11,5,0,60,0,0,0,0,Reach level 60,,,,,,,,,,,,,,,,16712174,2,1
38,10,5,0,50,0,0,0,0,Reach level 50,,,,,,,,,,,,,,,,16712174,2,1
37,9,5,0,40,0,0,0,0,Reach level 40,,,,,,,,,,,,,,,,16712174,2,1
34,6,5,0,10,0,0,0,0,Reach level 10,,,,,,,,,,,,,,,,16712174,2,1
36,8,5,0,30,0,0,0,0,Reach level 30,,,,,,,,,,,,,,,,16712174,2,1
35,7,5,0,20,0,0,0,0,Reach level 20,,,,,,,,,,,,,,,,16712174,2,1
1158,777,43,941,1,0,0,0,0,Deadman's Crossing,,,,,,,,,,,,,,,,16712190,0,1
306,397,37,0,1,0,0,0,0,Win 1 ranked arena match,,,,,,,,,,,,,,,,16712190,2,1
174,324,18,25,0,0,0,0,0,,,,,,,,,,,,,,,,,16711757,0,1
172,322,18,5,0,0,0,0,0,,,,,,,,,,,,,,,,,16711757,0,1
169,321,18,5,0,0,0,0,0,,,,,,,,,,,,,,,,,16711756,0,1
166,154,1,529,1,0,0,0,0,Win Arathi Basin,,,,,,,,,,,,,,,,16712174,2,1
2037,951,46,1105,42000,0,0,0,0,The Oracles exalted,,,,,,,,,,,,,,,,16712174,2,1
988,712,46,889,42000,0,0,0,0,Exalted with Warsong Outriders,,,,,,,,,,,,,,,,16712190,2,1
987,711,46,509,42000,0,0,0,0,Exalted with The League of Arathor,,,,,,,,,,,,,,,,16712190,2,1
984,519,47,0,25,0,0,0,0,25 reputations to exalted,,,,,,,,,,,,,,,,16712174,1,1
980,521,47,0,15,0,0,0,0,15 reputations to exalted,,,,,,,,,,,,,,,,16712174,1,1
979,524,47,0,10,0,0,0,0,10 reputations to exalted,,,,,,,,,,,,,,,,16712174,1,1
123,73,30,122,3,3,529,3,529,Assault 3 bases in a single Arathi Basin battle,,,,,,,,,,,,,,,,16712174,2,1
1185,780,43,364,1,0,0,0,0,Lakeshire,,,,,,,,,,,,,,,,16712190,0,1
1176,779,43,318,1,0,0,0,0,The Loch,,,,,,,,,,,,,,,,16712190,0,1
177,166,1,489,1,0,0,0,0,Win Warsong Gulch,,,,,,,,,,,,,,,,16712174,2,1
570,663,36,13583,1,0,0,0,0,Panda Collar,,,,,,,,,,,,,,,,16712190,2,1
613,123,40,185,4,0,0,0,0,Become an artisan cook,,,,,,,,,,,,,,,,16712174,2,1
612,122,40,185,3,0,0,0,0,Become an expert cook,,,,,,,,,,,,,,,,16712174,2,1
567,660,0,20912,1,0,0,0,0,Harbinger Skyriss,,,,,,,,,,,,,,,,16712190,2,1
563,656,0,17798,1,0,0,0,0,Warlord Kalithresh,,,,,,,,,,,,,,,,16712190,2,1
562,655,0,17881,1,0,0,0,0,Aeonus,,,,,,,,,,,,,,,,16712190,2,1
559,652,0,18096,1,0,0,0,0,Epoch Hunter,,,,,,,,,,,,,,,,16712190,2,1
557,650,0,17882,1,0,0,0,0,The Black Stalker,,,,,,,,,,,,,,,,16712190,2,1
555,648,0,17377,1,0,0,0,0,Keli'dan the Breaker,,,,,,,,,,,,,,,,16712190,2,1
842,133,40,129,4,0,0,0,0,Become an artisan in first aid,,,,,,,,,,,,,,,,16712174,2,1
836,127,40,356,3,0,0,0,0,Become a expert fisherman,,,,,,,,,,,,,,,,16712174,2,1
835,126,40,356,2,0,0,0,0,Become a journeyman fisherman,,,,,,,,,,,,,,,,16712174,2,1
524,628,0,639,1,0,0,0,0,Edwin VanCleef,,,,,,,,,,,,,,,,16712190,2,1
