ID,Faction,Instance_ID,Supercedes,Title_lang[0],Title_lang[1],Title_lang[2],Title_lang[3],Title_lang[4],Title_lang[5],Title_lang[6],Title_lang[7],Title_lang[8],Title_lang[9],Title_lang[10],Title_lang[11],Title_lang[12],Title_lang[13],Title_lang[14],Title_lang[15],Title_lang_mask,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask,Category,Points,Ui_order,Flags,IconID,Reward_lang[0],Reward_lang[1],Reward_lang[2],Reward_lang[3],Reward_lang[4],Reward_lang[5],Reward_lang[6],Reward_lang[7],Reward_lang[8],Reward_lang[9],Reward_lang[10],Reward_lang[11],Reward_lang[12],Reward_lang[13],Reward_lang[14],Reward_lang[15],Reward_lang_mask,Minimum_criteria,Shares_criteria
60,-1,-1,0,Total Deaths: [PH],,,,,,,,,,,,,,,,16711886,Total Deaths. [PH],,,,,,,,,,,,,,,,16711886,122,0,1,1,1,,,,,,,,,,,,,,,,,16711684,0,0
166,-1,489,0,Warsong Gulch Victory,,,,,,,,,,,,,,,,16711750,Win Warsong Gulch.,,,,,,,,,,,,,,,,16711750,14804,5,1,0,2835,,,,,,,,,,,,,,,,,16711748,0,0
6,-1,-1,0,Level 10,,,,,,,,,,,,,,,,16711750,Reach level 10.,,,,,,,,,,,,,,,,16711750,92,5,1,4,2970,,,,,,,,,,,,,,,,,16711748,0,0
176,-1,-1,0,Current enchanting skill,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711775,176,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
86,-1,-1,0,Chat lines sent,,,,,,,,,,,,,,,,16711788,,,,,,,,,,,,,,,,,16711756,151,0,1,1,0,,,,,,,,,,,,,,,,,16711748,0,0
343,-1,-1,0,Percent time PvP flagged,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,154,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
112,-1,-1,0,Deaths from drowning,,,,,,,,,,,,,,,,16711750,Deaths from drowning,,,,,,,,,,,,,,,,16711750,126,0,1,1,4,,,,,,,,,,,,,,,,,16711684,0,0
121,-1,-1,0,Journeyman Cook,,,,,,,,,,,,,,,,16712006,Become a journeyman cook.,,,,,,,,,,,,,,,,16711750,170,5,1,0,1467,,,,,,,,,,,,,,,,,16711748,0,0
275,-1,-1,0,Veteran Nanny,,,,,,,,,,,,,,,,16711782,"Acquire Egbert's Egg, Sleepy Willy, and Elekk Training Collar on one character.",,,,,,,,,,,,,,,,16711782,163,50,1,0,2525,,,,,,,,,,,,,,,,,16711748,0,0
605,-1,-1,0,A Coin of Ancestry,,,,,,,,,,,,,,,,16711750,Receive a Coin of Ancestry.,,,,,,,,,,,,,,,,16711750,160,5,1,0,2717,,,,,,,,,,,,,,,,,16711748,0,0
527,-1,-1,0,Largest hit received,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711748,141,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
503,-1,-1,0,50 Quests Completed,,,,,,,,,,,,,,,,16711750,Complete 50 quests.,,,,,,,,,,,,,,,,16711750,96,5,1,0,2892,,,,,,,,,,,,,,,,,16711748,0,0
