ID,Parent,Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang[8],Name_lang[9],Name_lang[10],Name_lang[11],Name_lang[12],Name_lang[13],Name_lang[14],Name_lang[15],Name_lang_mask,Ui_order
173,132,Alchemy,,,,,,,,,,,,,,,,16712062,1
92,-1,General,,,,,,,,,,,,,,,,16712190,1
123,122,Arenas,,,,,,,,,,,,,,,,16711806,1
135,128,Creatures,,,,,,,,,,,,,,,,16711806,1
140,130,Wealth,,,,,,,,,,,,,,,,16711806,1
152,21,Arenas,,,,,,,,,,,,,,,,16711806,1
165,95,Arena,,,,,,,,,,,,,,,,16712062,1
14821,14807,Classic,,,,,,,,,,,,,,,,16711680,1
14808,168,Classic,,,,,,,,,,,,,,,,16711806,1
14777,97,Eastern Kingdoms,,,,,,,,,,,,,,,,16712062,1
170,169,Cooking,,,,,,,,,,,,,,,,16712062,1
160,155,Lunar Festival,,,,,,,,,,,,,,,,16712062,1
148,131,Friends,,,,,,,,,,,,,,,,16712062,1
130,1,Character,,,,,,,,,,,,,,,,16712062,1
96,-1,Quests,,,,,,,,,,,,,,,,16712190,2
136,128,Honorable Kills,,,,,,,,,,,,,,,,16712062,2
141,1,Damage,,,,,,,,,,,,,,,,16712062,2
14801,95,Alterac Valley,,,,,,,,,,,,,,,,16711806,2
14778,97,Kalimdor,,,,,,,,,,,,,,,,16712062,2
14805,168,The Burning Crusade,,,,,,,,,,,,,,,,16711806,2
14822,14807,The Burning Crusade,,,,,,,,,,,,,,,,16711680,2
187,155,Love is in the Air,,,,,,,,,,,,,,,,16712062,2
171,169,Fishing,,,,,,,,,,,,,,,,16712062,2
153,21,Battlegrounds,,,,,,,,,,,,,,,,16711806,2
149,131,Groups,,,,,,,,,,,,,,,,16712062,2
145,130,Consumables,,,,,,,,,,,,,,,,16711806,2
124,122,Battlegrounds,,,,,,,,,,,,,,,,16712062,2
176,132,Enchanting,,,,,,,,,,,,,,,,16712062,2
178,132,First Aid,,,,,,,,,,,,,,,,16711806,3
154,21,World,,,,,,,,,,,,,,,,16712062,3
14802,95,Arathi Basin,,,,,,,,,,,,,,,,16711806,3
14779,97,Outland,,,,,,,,,,,,,,,,16712062,3
14806,168,Wrath of the Lich King,,,,,,,,,,,,,,,,16711806,3
14823,14807,Wrath of the Lich King,,,,,,,,,,,,,,,,16711680,3
172,169,First Aid,,,,,,,,,,,,,,,,16712062,3
163,155,Children's Week,,,,,,,,,,,,,,,,16712062,3
150,131,Guilds,,,,,,,,,,,,,,,,16711806,3
147,130,Reputation,,,,,,,,,,,,,,,,16712062,3
142,1,Healing,,,,,,,,,,,,,,,,16712062,3
137,128,Killing Blows,,,,,,,,,,,,,,,,16712062,3
125,122,Dungeons,,,,,,,,,,,,,,,,16712062,3
97,-1,Exploration,,,,,,,,,,,,,,,,16712190,3
180,132,Herbalism,,,,,,,,,,,,,,,,16712062,4
14803,95,Eye of the Storm,,,,,,,,,,,,,,,,16711806,4
14780,97,Northrend,,,,,,,,,,,,,,,,16712062,4
191,130,Gear,,,,,,,,,,,,,,,,16711804,4
159,155,Noble Garden,,,,,,,,,,,,,,,,16711804,4
151,131,Communication,,,,,,,,,,,,,,,,16711806,4
128,1,Kills,,,,,,,,,,,,,,,,16712062,4
126,122,World,,,,,,,,,,,,,,,,16712062,4
95,-1,Player vs. Player,,,,,,,,,,,,,,,,16712062,4
182,132,Leatherworking,,,,,,,,,,,,,,,,16712062,5
122,1,Deaths,,,,,,,,,,,,,,,,16712062,5
127,122,Resurrection,,,,,,,,,,,,,,,,16712062,5
143,130,Attributes,,,,,,,,,,,,,,,,16712060,5
14804,95,Warsong Gulch,,,,,,,,,,,,,,,,16711806,5
168,-1,Dungeons & Raids,,,,,,,,,,,,,,,,16711806,5
161,155,Midsummer,,,,,,,,,,,,,,,,16712062,5
184,132,Tailoring,,,,,,,,,,,,,,,,16712062,6
169,-1,Professions,,,,,,,,,,,,,,,,16712062,6
162,155,Brewfest,,,,,,,,,,,,,,,,16712062,6
133,1,Quests,,,,,,,,,,,,,,,,16712062,6
186,132,Inscription,,,,,,,,,,,,,,,,16711806,7
201,-1,Reputation,,,,,,,,,,,,,,,,16711806,7
14807,1,Dungeons & Raids,,,,,,,,,,,,,,,,16711680,7
158,155,Hallow's End,,,,,,,,,,,,,,,,16711806,7
185,132,Skinning,,,,,,,,,,,,,,,,16712062,8
155,-1,World Events,,,,,,,,,,,,,,,,16711806,8
156,155,Winterveil,,,,,,,,,,,,,,,,16711806,8
132,1,Professions,,,,,,,,,,,,,,,,16712062,8
183,132,Mining,,,,,,,,,,,,,,,,16712062,9
157,155,Darkmoon Faire,,,,,,,,,,,,,,,,16712062,9
134,1,Travel,,,,,,,,,,,,,,,,16712062,9
81,-1,Feats of Strength,,,,,,,,,,,,,,,,16711788,9
1,-1,Statistics,,,,,,,,,,,,,,,,16712190,10
131,1,Social,,,,,,,,,,,,,,,,16712062,10
181,132,Jewelcrafting,,,,,,,,,,,,,,,,16712062,10
21,1,Player vs. Player,,,,,,,,,,,,,,,,16712062,11
179,132,Fishing,,,,,,,,,,,,,,,,16711806,11
177,132,Engineering,,,,,,,,,,,,,,,,16712062,12
175,132,Cooking,,,,,,,,,,,,,,,,16712062,13
174,132,Blacksmithing,,,,,,,,,,,,,,,,16712062,14
