ID,Achievement_ID,Type,Asset_ID,Quantity,Start_event,Start_asset,Fail_event,Fail_asset,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask,Flags,Ui_order
74,33,11,3537,140,0,0,0,0,Complete 140 quests in Boren Tundra.,,,,,,,,,,,,,,,,16711790,1,1
1237,159,1,529,1,0,0,3,529,Win in 6 minutes,,,,,,,,,,,,,,,,16711790,2,1
75,34,11,495,110,0,0,0,0,Complete 110 quests in Howling Fjord.,,,,,,,,,,,,,,,,16711790,1,1
76,35,11,65,125,0,0,0,0,Complete 125 quests in Dragonblight.,,,,,,,,,,,,,,,,16711790,1,1
78,37,11,394,80,0,0,0,0,Complete 80 quests in Grizzly Hills.,,,,,,,,,,,,,,,,16711758,1,1
80,39,11,3711,100,0,0,0,0,Complete 100 Scholozar Basin quests.,,,,,,,,,,,,,,,,16711748,1,1
81,40,11,210,100,0,0,0,0,Complete 100 Icecrown Glacier quests.,,,,,,,,,,,,,,,,16711748,1,1
101,52,1,566,0,0,0,0,0,Eye of the Storm Wins: [PH],,,,,,,,,,,,,,,,16711886,0,1
104,53,15,30,0,0,0,0,0,Alterac Valley Played: [PH],,,,,,,,,,,,,,,,16711918,0,1
211,479,0,26529,1,0,0,0,0,Meathook killed,,,,,,,,,,,,,,,,16711758,0,1
209,488,0,26693,1,0,0,0,0,Skadi the Ruthless killed,,,,,,,,,,,,,,,,16711758,0,1
111,60,17,0,0,0,0,0,0,Total Deaths: [PH],,,,,,,,,,,,,,,,16711918,0,1
110,59,16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,16711680,0,1
108,57,16,0,0,0,0,0,0,Deaths in Alterac Valley: [PH],,,,,,,,,,,,,,,,16711886,0,1
107,56,16,0,0,0,0,0,0,Deaths in Warsong Gulch: [PH],,,,,,,,,,,,,,,,16711886,0,1
105,54,15,566,0,0,0,0,0,Eye of the Storm Played: [PH],,,,,,,,,,,,,,,,16711886,0,1
103,50,15,489,0,0,0,0,0,Warsong Gulch Played: [PH],,,,,,,,,,,,,,,,16711918,0,1
306,397,37,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,16711790,2,1
236,508,9,0,1500,0,0,0,0,Complete 1500 quests,,,,,,,,,,,,,,,,16711790,1,1
231,504,9,0,100,0,0,0,0,Complete 100 quests.,,,,,,,,,,,,,,,,16711790,1,1
230,503,9,0,50,0,0,0,0,Complete 50 quests.,,,,,,,,,,,,,,,,16711758,1,1
226,230,8,1167,0,0,0,0,0,Master of Alterac Valley,,,,,,,,,,,,,,,,16711758,0,1
225,219,1,30,100,0,0,0,0,Complete 100 victories in Alterac Valley.,,,,,,,,,,,,,,,,16711790,1,1
224,218,1,30,1,0,0,0,0,Win Alterac Valley.,,,,,,,,,,,,,,,,16711790,2,1
222,208,1,566,1,0,0,0,0,Win Eye of the Storm.,,,,,,,,,,,,,,,,16711790,2,1
221,167,1,489,100,0,0,0,0,Complete 100 victories in Warsong Gulch.,,,,,,,,,,,,,,,,16711790,1,1
39,11,5,0,60,0,0,0,0,Reach level 60. [PH],,,,,,,,,,,,,,,,16711886,2,1
38,10,5,0,50,0,0,0,0,Reach level 50. [PH],,,,,,,,,,,,,,,,16711886,2,1
37,9,5,0,40,0,0,0,0,Reach level 40. [PH],,,,,,,,,,,,,,,,16711886,2,1
34,6,5,0,10,0,0,0,0,Reach level 10. [PH],,,,,,,,,,,,,,,,16711886,2,1
36,8,5,0,30,0,0,0,0,Reach level 30. [PH],,,,,,,,,,,,,,,,16711886,2,1
35,7,5,0,20,0,0,0,0,Reach level 20. [PH],,,,,,,,,,,,,,,,16711886,2,1
1158,777,43,941,0,0,0,0,0,Deadman's Crossing,,,,,,,,,,,,,,,,16712014,0,1
307,398,37,0,100,0,0,0,0,Win 100 ranked arena matches,,,,,,,,,,,,,,,,16711790,1,1
2004,938,27,12614,1,0,0,0,0,Post-partum Aggression,,,,,,,,,,,,,,,,16711744,2,1
2035,949,46,1073,42000,0,0,0,0,The Kalu'ak exalted,,,,,,,,,,,,,,,,16711790,2,1
992,762,46,76,42000,0,0,0,0,Exalted Orgrimmar,,,,,,,,,,,,,,,,16711758,0,1
988,712,46,889,42000,0,0,0,0,Exalted with Warsong Outriders,,,,,,,,,,,,,,,,16711758,2,1
987,711,46,509,42000,0,0,0,0,Exalted with The League of Arathor,,,,,,,,,,,,,,,,16711758,2,1
986,710,46,510,42000,0,0,0,0,Exalted with The Defilers,,,,,,,,,,,,,,,,16711758,2,1
984,519,47,0,25,0,0,0,0,25 reputations to exalted,,,,,,,,,,,,,,,,16711790,1,1
980,521,47,0,15,0,0,0,0,15 reputations to exalted,,,,,,,,,,,,,,,,16711790,1,1
979,524,47,0,10,0,0,0,0,10 reputations to exalted,,,,,,,,,,,,,,,,16711790,1,1
143,104,1,0,1,0,0,0,0,Circle of Blood victories,,,,,,,,,,,,,,,,16711790,0,1
135,101,15,0,0,0,0,0,0,Ring of Trials matches,,,,,,,,,,,,,,,,16711758,0,1
134,99,1,0,0,0,0,0,0,Ruins of Lordaeron matches,,,,,,,,,,,,,,,,16711758,0,1
142,102,1,0,0,0,0,0,0,Runis of Lordaeron victories,,,,,,,,,,,,,,,,16711758,0,1
281,489,0,23953,1,0,0,0,0,Prince Keleseth killed,,,,,,,,,,,,,,,,16711758,0,1
287,548,24,0,1,0,0,0,0,,,,,,,,,,,,,,,,,16711757,0,1
106,55,15,529,0,0,0,0,0,Arathi Basin Played: [PH],,,,,,,,,,,,,,,,16711918,0,1
41,13,5,0,80,0,0,0,0,Reach level 80. [PH],,,,,,,,,,,,,,,,16711886,2,1
40,12,5,0,70,0,0,0,0,Reach level 70. [PH],,,,,,,,,,,,,,,,16711886,2,1
309,430,36,33809,1,0,0,0,0,Amani War Bear,,,,,,,,,,,,,,,,16712046,2,1
308,158,30,122,50,0,0,0,0,Take 50 flags in Arathi Basin,,,,,,,,,,,,,,,,16711790,1,1
164,281,7,171,0,0,0,0,0,,,,,,,,,,,,,,,,,16711757,0,1
162,197,13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,16711757,0,1
177,166,1,489,1,0,0,0,0,Win Warsong Gulch,,,,,,,,,,,,,,,,16711790,2,1
150,115,26,5,0,0,0,0,0,Deaths from fire and lava,,,,,,,,,,,,,,,,16711758,0,1
148,113,26,0,0,0,0,0,0,Deaths from fatigue,,,,,,,,,,,,,,,,16711758,0,1
147,112,26,1,0,0,0,0,0,Deaths from drowning,,,,,,,,,,,,,,,,16711758,0,1
140,105,1,489,0,0,0,0,0,Warsong Gulch Victories,,,,,,,,,,,,,,,,16711790,0,1
2037,951,46,1105,42000,0,0,0,0,The Oracles exalted,,,,,,,,,,,,,,,,16711788,2,1
123,73,30,122,3,3,529,3,529,Assault 3 bases in a single Arathi Basin battle,,,,,,,,,,,,,,,,16711790,2,1
94,46,8,42,1,0,0,0,0,Explore Azeroth. [PH],,,,,,,,,,,,,,,,16711886,0,1
1185,780,43,364,0,0,0,0,0,Lakeshire,,,,,,,,,,,,,,,,16712014,0,1
1176,779,43,318,0,0,0,0,0,The Loch,,,,,,,,,,,,,,,,16712046,0,1
332,400,39,2,1750,0,0,0,0,1750 rating,,,,,,,,,,,,,,,,16711790,2,1
331,406,39,5,1550,0,0,0,0,1550 rating,,,,,,,,,,,,,,,,16711790,2,1
330,402,39,3,1550,0,0,0,0,1550 rating,,,,,,,,,,,,,,,,16711790,2,1
318,429,36,17182,1,0,0,0,0,"Sulfuras, Hand of Ragnaros",,,,,,,,,,,,,,,,16712014,2,1
406,306,27,8193,1,0,0,0,0,Win the Booty Bay fishing contest,,,,,,,,,,,,,,,,16711790,2,1
396,579,0,15990,1,0,0,0,0,Kel'Thuzad,,,,,,,,,,,,,,,,16712014,0,1
395,578,0,15990,1,0,0,0,0,Kel'Thuzad,,,,,,,,,,,,,,,,16712014,0,1
375,569,0,16061,1,0,0,0,0,Instructor Razuvious,,,,,,,,,,,,,,,,16711758,0,1
369,567,0,15954,1,0,0,0,0,Noth the Plaguebringer,,,,,,,,,,,,,,,,16711758,0,1
365,566,0,15954,1,0,0,0,0,Noth the Plaguebringer,,,,,,,,,,,,,,,,16712014,0,1
361,565,0,16028,1,0,0,0,0,Patchwerk,,,,,,,,,,,,,,,,16711758,0,1
351,562,0,15956,1,0,0,0,0,Anub'Rekhan,,,,,,,,,,,,,,,,16712046,0,1
348,388,31,1519,50,0,0,0,0,Stormwind City,,,,,,,,,,,,,,,,16711748,3,1
347,561,27,11892,1,0,0,0,0,Assassination of Harold Lane,,,,,,,,,,,,,,,,16711790,2,1
345,509,35,0,10000,0,0,0,0,10000 honorable kills,,,,,,,,,,,,,,,,16711790,1,1
342,516,35,0,1000,0,0,0,0,1000 honorable kills,,,,,,,,,,,,,,,,16711790,1,1
341,515,35,0,500,0,0,0,0,500 honorable kills,,,,,,,,,,,,,,,,16711790,1,1
339,513,35,0,100,0,0,0,0,100 honorable kills,,,,,,,,,,,,,,,,16711790,1,1
335,401,39,2,2000,0,0,0,0,2000 rating,,,,,,,,,,,,,,,,16711790,2,1
334,407,39,5,1750,0,0,0,0,1750 rating,,,,,,,,,,,,,,,,16711790,2,1
917,750,43,461,0,0,0,0,0,Boulder Lode Mine,,,,,,,,,,,,,,,,16712046,0,1
892,735,40,171,6,0,0,0,0,,,,,,,,,,,,,,,,,16711917,2,1
881,734,40,171,6,0,0,0,0,,,,,,,,,,,,,,,,,16711917,2,1
859,732,40,171,4,0,0,0,0,,,,,,,,,,,,,,,,,16711917,2,1
845,730,8,130,0,0,0,0,0,,,,,,,,,,,,,,,,,16711917,0,1
844,135,40,129,6,0,0,0,0,Become a grand master in first aid,,,,,,,,,,,,,,,,16711790,2,1
842,133,40,129,4,0,0,0,0,Become an artisan in first aid,,,,,,,,,,,,,,,,16711790,2,1
836,127,40,356,3,0,0,0,0,Become a expert fisherman,,,,,,,,,,,,,,,,16711790,2,1
835,126,40,356,2,0,0,0,0,Become a journeyman fisherman,,,,,,,,,,,,,,,,16711790,2,1
800,727,36,18243,1,0,0,0,0,18243,,,,,,,,,,,,,,,,16711790,2,1
524,628,0,639,1,0,0,0,0,Edwin VanCleef,,,,,,,,,,,,,,,,16712014,2,1
522,624,0,28860,1,0,0,0,0,Sartharion the Onyx Guardian,,,,,,,,,,,,,,,,16711756,0,1
521,623,0,28859,1,0,0,0,0,Malygos,,,,,,,,,,,,,,,,16711758,0,1
1028,766,43,821,0,0,0,0,0,Dreadmaul Hold,,,,,,,,,,,,,,,,16712014,0,1
903,736,43,182,0,0,0,0,0,Red Cloud Mesa,,,,,,,,,,,,,,,,16712014,0,1
833,729,36,13335,1,0,0,0,0,Deathcharger's Rein,,,,,,,,,,,,,,,,16711758,2,1
740,454,44,1,0,0,0,0,0,Scout,,,,,,,,,,,,,,,,16712014,2,1
736,452,44,5,0,0,0,0,0,First Sergeant,,,,,,,,,,,,,,,,16712014,2,1
735,451,44,6,0,0,0,0,0,Stone Guard,,,,,,,,,,,,,,,,16712014,2,1
734,449,44,7,0,0,0,0,0,Blood Guard,,,,,,,,,,,,,,,,16712046,2,1
731,447,44,10,0,0,0,0,0,Champion,,,,,,,,,,,,,,,,16712046,2,1
729,446,44,12,0,0,0,0,0,General,,,,,,,,,,,,,,,,16712014,2,1
728,445,44,13,0,0,0,0,0,Warlord,,,,,,,,,,,,,,,,16712046,2,1
727,443,44,14,0,0,0,0,0,High Warlord,,,,,,,,,,,,,,,,16712014,2,1
723,441,44,4,0,0,0,0,0,Master Sergeant,,,,,,,,,,,,,,,,16712014,2,1
722,440,44,5,0,0,0,0,0,Seargent Major,,,,,,,,,,,,,,,,16711692,2,1
721,439,44,6,0,0,0,0,0,Knight,,,,,,,,,,,,,,,,16712014,2,1
587,678,0,20597,1,0,0,0,0,Warchief Kargath Bladefist,,,,,,,,,,,,,,,,16711790,2,1
586,677,0,20633,1,0,0,0,0,Warlord Kalithresh,,,,,,,,,,,,,,,,16711790,2,1
585,676,0,20737,1,0,0,0,0,Aeonus,,,,,,,,,,,,,,,,16711790,2,1
584,675,0,20657,1,0,0,0,0,Murmur,,,,,,,,,,,,,,,,16711758,2,1
582,673,0,20531,1,0,0,0,0,Epoch Hunter,,,,,,,,,,,,,,,,16711758,2,1
581,672,0,20306,1,0,0,0,0,Exarch Maladaar,,,,,,,,,,,,,,,,16711758,2,1
580,671,0,20266,1,0,0,0,0,Nexus-Prince Shaffar,,,,,,,,,,,,,,,,16711758,2,1
578,669,0,19894,1,0,0,0,0,Quagmirran,,,,,,,,,,,,,,,,16711758,2,1
577,668,0,18607,1,0,0,0,0,Keli'dan the Breaker,,,,,,,,,,,,,,,,16711758,2,1
572,665,36,25535,1,0,0,0,0,Netherwhelp's Collar,,,,,,,,,,,,,,,,16712014,2,1
570,663,36,13583,1,0,0,0,0,Panda Collar,,,,,,,,,,,,,,,,16712014,2,1
759,700,36,18834,1,0,0,0,0,,,,,,,,,,,,,,,,,16712318,2,1
616,116,40,171,2,0,0,0,0,,,,,,,,,,,,,,,,,16712188,2,1
615,125,40,185,6,0,0,0,0,Become a grand master cook,,,,,,,,,,,,,,,,16711790,2,1
613,123,40,185,4,0,0,0,0,Become an artisan cook,,,,,,,,,,,,,,,,16711790,2,1
612,122,40,185,3,0,0,0,0,Become an expert cook,,,,,,,,,,,,,,,,16711790,2,1
567,660,0,20912,1,0,0,0,0,Harbinger Skyriss,,,,,,,,,,,,,,,,16712014,2,1
563,656,0,17798,1,0,0,0,0,Warlord Kalithresh,,,,,,,,,,,,,,,,16712046,2,1
562,655,0,17881,1,0,0,0,0,Aeonus,,,,,,,,,,,,,,,,16712046,2,1
559,652,0,18096,1,0,0,0,0,Epoch Hunter,,,,,,,,,,,,,,,,16712014,2,1
557,650,0,17882,1,0,0,0,0,The Black Stalker,,,,,,,,,,,,,,,,16712046,2,1
555,648,0,17377,1,0,0,0,0,Keli'dan the Breaker,,,,,,,,,,,,,,,,16712014,2,1
541,641,0,5709,1,0,0,0,0,Shade of Eranikus,,,,,,,,,,,,,,,,16712014,2,1
540,640,0,12201,1,0,0,0,0,Princess Theradras,,,,,,,,,,,,,,,,16712014,2,1
426,583,30,122,2,3,529,3,529,Assault 2 bases,,,,,,,,,,,,,,,,8323072,4,1
421,582,30,63,1,3,30,3,30,Assault a graveyard,,,,,,,,,,,,,,,,16711790,4,1
420,222,30,64,50,0,0,0,0,50 towers defended,,,,,,,,,,,,,,,,16711790,1,1
419,221,30,63,50,0,0,0,0,Take 50 graveyards,,,,,,,,,,,,,,,,16711790,1,1
418,212,30,183,1,0,0,0,0,Capture the flag,,,,,,,,,,,,,,,,16711790,2,1
417,200,30,44,50,0,0,0,0,Return the flag 50 times,,,,,,,,,,,,,,,,16711758,1,1
2145,967,27,12402,1,0,0,0,0,"Eastern Plaguelands, Light's Hope Chapel",,,,,,,,,,,,,,,,16711758,0,1
2132,966,27,12332,1,0,0,0,0,"Dun Morogh, Kharanos",,,,,,,,,,,,,,,,16711758,0,1
1934,913,8,912,0,0,0,0,0,,,,,,,,,,,,,,,,,16713326,0,1
1910,910,27,8676,1,0,0,0,0,Elder Wildmane in Zul'Farrak,,,,,,,,,,,,,,,,16711758,0,1
1902,908,27,11335,1,0,0,0,0,Call to Arms: Arathi Basin,,,,,,,,,,,,,,,,16711790,0,1
1896,907,8,709,0,0,0,0,0,,,,,,,,,,,,,,,,,16711775,0,1
1886,905,27,11665,1,0,0,0,0,Crocolisks in the City,,,,,,,,,,,,,,,,16711758,0,1
1883,902,46,933,42000,0,0,0,0,Exalted with the Consortium,,,,,,,,,,,,,,,,16711758,2,1
1881,900,46,970,42000,0,0,0,0,Exalted with the Sporeggar,,,,,,,,,,,,,,,,16711758,2,1
1879,898,46,1015,42000,0,0,0,0,Exalted with Netherwing,,,,,,,,,,,,,,,,16711758,2,1
1874,893,36,33999,1,0,0,0,0,Cenarion War Hippogryph,,,,,,,,,,,,,,,,16711790,2,1
1873,892,40,762,4,0,0,0,0,Artisan Riding,,,,,,,,,,,,,,,,16711790,2,1
1872,891,40,762,1,0,0,0,0,Apprentice Riding,,,,,,,,,,,,,,,,16711790,2,1
1869,888,36,37676,1,0,0,0,0,Vengeful Nether Drake,,,,,,,,,,,,,,,,16711790,2,1
1868,887,36,34092,1,0,0,0,0,Merciless Nether Drake,,,,,,,,,,,,,,,,16711758,2,1
1866,885,36,32458,1,0,0,0,0,Ashes of Al'ar,,,,,,,,,,,,,,,,16711790,2,1
1862,881,36,19872,1,0,0,0,0,Swift Razzashi Raptor,,,,,,,,,,,,,,,,16711758,2,1
1861,880,36,19902,1,0,0,0,0,Swift Zulian Tiger,,,,,,,,,,,,,,,,16711790,2,1
1847,879,36,13317,1,0,0,0,0,Ivory Raptor,,,,,,,,,,,,,,,,16711758,0,1
738,453,44,3,0,0,0,0,0,Sergeant,,,,,,,,,,,,,,,,16712014,2,1
730,444,44,11,0,0,0,0,0,Lieutenant General,,,,,,,,,,,,,,,,16712014,2,1
589,680,0,21582,1,0,0,0,0,Warp Splinter,,,,,,,,,,,,,,,,16711790,2,1
579,670,0,20184,1,0,0,0,0,The Black Stalker,,,,,,,,,,,,,,,,16711790,2,1
569,662,36,13584,1,0,0,0,0,Diablo Stone,,,,,,,,,,,,,,,,16712014,2,1
611,165,1,529,1,3,529,3,529,Arathi Basin Shutout,,,,,,,,,,,,,,,,16711788,2,1
556,649,0,17942,1,0,0,0,0,Quagmirran,,,,,,,,,,,,,,,,16712014,2,1
1014,765,43,581,0,0,0,0,0,Lethlor Ravine,,,,,,,,,,,,,,,,16712014,0,1
173,323,18,10,0,0,0,0,0,,,,,,,,,,,,,,,,,16711757,0,1
1003,763,46,947,42000,0,0,0,0,Thrallmar,,,,,,,,,,,,,,,,16712046,0,1
2030,948,46,72,42000,0,0,0,0,Exalted Stormwind,,,,,,,,,,,,,,,,16711758,0,1
328,416,27,8743,1,0,0,0,0,Scarab Lord,,,,,,,,,,,,,,,,16711758,2,1
2023,945,8,946,0,0,0,0,0,,,,,,,,,,,,,,,,,16713436,0,1
2008,941,8,940,0,0,0,0,0,,,,,,,,,,,,,,,,,16713420,0,1
2006,940,27,338,1,0,0,0,0,The Green Hills of Stranglethorn,,,,,,,,,,,,,,,,16711790,0,1
2003,937,27,8868,1,0,0,0,0,Complete Elune's Blessing,,,,,,,,,,,,,,,,16711756,2,1
2002,928,45,0,0,0,0,0,0,,,,,,,,,,,,,,,,,16711903,0,1
1464,855,43,701,0,0,0,0,0,Lake Elune'ara,,,,,,,,,,,,,,,,16712014,0,1
1916,911,27,8670,1,0,0,0,0,Elder Runetotem in Razor Hill,,,,,,,,,,,,,,,,16711758,0,1
713,438,44,8,0,0,0,0,0,Knight-Captain,,,,,,,,,,,,,,,,16712014,2,1
944,760,43,441,0,0,0,0,0,Chillwind Point,,,,,,,,,,,,,,,,16712046,0,1
456,58,20,11946,0,0,0,0,0,,,,,,,,,,,,,,,,,16711807,0,1
450,589,38,5,0,0,0,0,0,,,,,,,,,,,,,,,,,16711901,0,1
438,585,30,164,0,0,0,0,0,,,,,,,,,,,,,,,,,16711901,0,1
599,690,0,15690,1,0,0,0,0,Prince Malchezaar,,,,,,,,,,,,,,,,16712014,2,1
490,617,0,7999,1,0,0,0,0,Tyrande Whisperwind,,,,,,,,,,,,,,,,16711790,2,1
474,607,36,21100,10,0,0,0,0,Receive 10 Coins of Ancestry.,,,,,,,,,,,,,,,,16711758,1,1
593,684,0,10184,1,0,0,0,0,Onyxia,,,,,,,,,,,,,,,,16712014,2,1
2047,954,5,0,1,0,0,0,0,Feats of Strength description,,,,,,,,,,,,,,,,16711756,2,1
2045,953,46,609,42000,0,0,0,0,Exalted with Cenarion Circle,,,,,,,,,,,,,,,,16711758,0,1
1631,862,43,1219,0,0,0,0,0,The Stair of Destiny,,,,,,,,,,,,,,,,16712046,0,1
1622,866,43,1189,0,0,0,0,0,Forge Camp: Fear,,,,,,,,,,,,,,,,16712046,0,1
1618,865,43,1288,0,0,0,0,0,Bash'ir Landing,,,,,,,,,,,,,,,,16712046,0,1
1614,864,43,1101,0,0,0,0,0,Coilskar Point,,,,,,,,,,,,,,,,16712046,0,1
1248,802,43,288,0,0,0,0,0,Sentinel Hill,,,,,,,,,,,,,,,,16712014,0,1
1552,860,43,1364,0,0,0,0,0,Ammen Vale,,,,,,,,,,,,,,,,16712046,0,1
1508,859,43,1127,0,0,0,0,0,Sunstrider Isle,,,,,,,,,,,,,,,,16712014,0,1
1504,858,43,1148,0,0,0,0,0,Tranquillien,,,,,,,,,,,,,,,,16712046,0,1
1242,220,1,30,1,3,30,3,30,Balinda and Vandaar survive,,,,,,,,,,,,,,,,16711790,6,1
1241,226,1,30,1,0,0,3,30,Win in 6 minutes,,,,,,,,,,,,,,,,16711790,2,1
1240,214,1,566,1,0,0,3,566,Win in 6 minutes,,,,,,,,,,,,,,,,16711790,2,1
1238,783,1,566,1,3,566,3,566,Win 2000 to 0,,,,,,,,,,,,,,,,16711790,2,1
1486,43,8,728,0,0,0,0,0,,,,,,,,,,,,,,,,,16712910,0,1
1473,857,43,1001,0,0,0,0,0,Frostfire Hot Springs,,,,,,,,,,,,,,,,16712014,0,1
1247,798,28,48477,0,0,0,0,0,,,,,,,,,,,,,,,,,16711807,0,1
1246,799,28,49277,0,0,0,0,0,,,,,,,,,,,,,,,,,16711807,0,1
1245,800,28,48950,0,0,0,0,0,,,,,,,,,,,,,,,,,16711807,0,1
1244,801,29,47883,0,0,0,0,0,,,,,,,,,,,,,,,,,16711807,0,1
1243,796,28,48171,0,0,0,0,0,,,,,,,,,,,,,,,,,16711807,0,1
1361,850,43,661,0,0,0,0,0,Theramore Isle,,,,,,,,,,,,,,,,16712046,0,1
1350,847,43,931,0,0,0,0,0,Camp Aparaje,,,,,,,,,,,,,,,,16712046,0,1
1262,841,43,381,0,0,0,0,0,Menethil Harbor,,,,,,,,,,,,,,,,16712014,0,1
1053,769,43,301,0,0,0,0,0,Malden's Orchard,,,,,,,,,,,,,,,,16712014,0,1
983,378,46,0,21000,0,0,0,0,,,,,,,,,,,,,,,,,16712413,0,1
