ID,Name,Weaponflags,Bodyflags,Field_0_7_0_3694_004,Flags
136,EmoteWorkNoSheathe,32,0,1,3
165,GroupArrow,0,0,0,0
137,EmoteStunNoSheathe,0,0,1,1
166,Arrow,0,0,0,0
167,CorpseArrow,0,0,0,0
168,GuideArrow,0,0,0,0
138,EmoteUseStandingNoSheathe,0,8,1,1
169,Sway,0,0,0,0
0,Stand,0,1,0,0
1,Death,0,256,500,8
2,Spell,4,256,1,2
3,Stop,0,1,11,4
4,Walk,0,65,10,4
5,Run,0,65,10,4
6,Dead,0,256,500,8
7,Rise,0,256,1,0
8,StandWound,0,296,20,0
9,CombatWound,0,296,20,7
10,CombatCritical,0,296,20,7
11,ShuffleLeft,0,1,0,4
12,ShuffleRight,0,1,0,4
13,Walkbackwards,0,65,10,0
14,Stun,0,256,1,3
15,HandsClosed,0,0,1,0
16,AttackUnarmed,0,296,20,2
17,Attack1H,32,296,20,3
18,Attack2H,32,296,20,3
19,Attack2HL,32,296,20,1
20,ParryUnarmed,0,296,20,1
21,Parry1H,0,296,20,0
22,Parry2H,0,296,20,0
23,Parry2HL,0,296,20,0
24,ShieldBlock,0,296,20,1
25,ReadyUnarmed,32,256,0,1
26,Ready1H,32,256,0,1
27,Ready2H,32,256,0,0
28,Ready2HL,32,0,0,0
29,ReadyBow,16,0,0,3
30,Dodge,0,296,20,0
31,SpellPrecast,4,264,1,3
32,SpellCast,4,256,1,3
33,SpellCastArea,4,264,1,2
34,NPCWelcome,0,0,1,0
35,NPCGoodbye,0,0,1,0
36,Block,0,296,1,0
37,JumpStart,32,257,10,0
38,Jump,0,257,0,0
39,JumpEnd,0,257,0,2
40,Fall,0,257,0,0
41,SwimIdle,0,1,10,6
42,Swim,4,321,10,4
43,SwimLeft,4,321,10,4
44,SwimRight,4,321,10,4
45,SwimBackwards,4,321,10,4
46,AttackBow,16,264,22,2
47,FireBow,0,256,2,2
48,ReadyRifle,16,0,0,2
49,AttackRifle,16,264,22,2
50,Loot,4,256,5,0
51,ReadySpellDirected,4,256,1,2
52,ReadySpellOmni,4,256,1,2
53,SpellCastDirected,4,264,20,2
54,SpellCastOmni,4,264,20,2
55,BattleRoar,0,264,20,3
56,ReadyAbility,32,256,0,2
57,Special1H,32,288,20,3
58,Special2H,32,288,20,2
59,ShieldBash,0,296,20,2
60,EmoteTalk,16,264,1,3
61,EmoteEat,16,264,1,3
62,EmoteWork,16,256,1,3
63,EmoteUseStanding,16,264,1,1
64,EmoteTalkExclamation,16,264,1,3
65,EmoteTalkQuestion,16,264,1,1
66,EmoteBow,16,256,1,1
67,EmoteWave,16,264,2,3
68,EmoteCheer,16,256,1,3
69,EmoteDance,16,256,1,1
70,EmoteLaugh,16,264,1,3
71,EmoteSleep,16,256,1,1
72,EmoteSitGround,16,256,1,1
73,EmoteRude,16,264,1,1
74,EmoteRoar,0,256,1,3
75,EmoteKneel,16,256,1,3
76,EmoteKiss,16,256,1,1
77,EmoteCry,16,256,1,1
78,EmoteChicken,16,264,1,3
79,EmoteBeg,16,256,1,1
80,EmoteApplaud,16,264,1,1
81,EmoteShout,16,264,1,3
82,EmoteFlex,16,256,1,3
83,EmoteShy,16,256,1,1
84,EmotePoint,16,264,1,3
85,Attack1HPierce,32,296,20,2
86,Attack2HLoosePierce,32,296,20,0
87,AttackOff,32,296,20,0
88,AttackOffPierce,32,296,20,0
89,Sheath,0,6,100,8
90,HipSheath,0,6,100,8
91,Mount,20,256,200,0
92,RunRight,0,1,10,0
93,RunLeft,0,1,10,0
94,MountSpecial,0,257,1,0
95,Kick,0,288,20,2
99,SleepDown,16,256,1,0
100,Sleep,4,256,1,0
101,SleepUp,0,256,1,0
102,SitChairLow,4,0,1,0
103,SitChairMed,4,0,1,0
104,SitChairHigh,4,0,1,0
105,LoadBow,16,264,20,2
106,LoadRifle,16,264,20,2
107,AttackThrown,16,264,22,3
108,ReadyThrown,16,256,0,2
109,HoldBow,16,8,21,2
110,HoldRifle,16,8,21,2
111,HoldThrown,16,8,21,2
112,LoadThrown,16,264,20,2
