ID,Name,Weaponflags,Bodyflags,Flags,Fallback,BehaviorID,BehaviorTier
0,Stand,0,1,0,3,147,1
1,Death,0,768,500,8,0,2
2,Spell,4,256,1,2,0,3
3,Stop,0,1,11,4,0,4
4,Walk,0,65,10,6,0,5
5,Run,0,65,10,6,0,6
6,Dead,0,2304,500,42,1,7
7,Rise,0,256,1,0,0,8
8,StandWound,0,296,20,0,25,9
9,CombatWound,0,296,20,7,8,10
10,CombatCritical,0,296,20,7,9,11
11,ShuffleLeft,0,1,0,4,0,12
12,ShuffleRight,0,1,0,4,0,13
13,Walkbackwards,0,65,10,16,4,14
14,Stun,0,256,1,3,0,15
15,HandsClosed,0,0,1,0,0,16
16,AttackUnarmed,16,296,20,3,0,17
17,Attack1H,32,296,20,3,16,18
18,Attack2H,32,296,20,3,17,19
19,Attack2HL,32,296,20,1,18,20
20,ParryUnarmed,0,296,20,1,8,21
21,Parry1H,0,296,20,0,8,22
22,Parry2H,0,296,20,0,8,23
23,Parry2HL,0,296,20,0,8,24
24,ShieldBlock,0,296,20,3,8,25
25,ReadyUnarmed,16,256,0,1,0,26
26,Ready1H,32,256,0,3,25,27
27,Ready2H,32,256,0,3,25,28
28,Ready2HL,32,0,0,3,25,29
29,ReadyBow,0,0,0,3,0,30
30,Dodge,0,296,20,0,8,31
31,SpellPrecast,4,264,1,3,0,32
32,SpellCast,4,256,1,3,16,33
33,SpellCastArea,4,264,1,2,32,34
34,NPCWelcome,0,0,1,0,0,35
35,NPCGoodbye,0,0,1,0,0,36
36,Block,0,296,1,0,8,37
37,JumpStart,0,257,10,1,0,38
38,Jump,0,257,0,2,0,39
39,JumpEnd,0,257,0,3,0,40
40,Fall,0,257,0,3,0,41
41,SwimIdle,0,1,10,6,0,42
42,Swim,4,321,10,6,4,43
43,SwimLeft,4,321,10,4,0,44
44,SwimRight,4,321,10,4,0,45
45,SwimBackwards,4,321,10,22,42,46
46,AttackBow,16,264,22,2,0,47
47,FireBow,0,256,2,2,0,48
48,ReadyRifle,0,0,0,3,0,49
49,AttackRifle,16,264,22,2,0,50
50,Loot,4,256,5,3,0,51
51,ReadySpellDirected,4,256,1,2,52,52
52,ReadySpellOmni,4,264,1,2,31,53
53,SpellCastDirected,4,264,20,2,54,54
54,SpellCastOmni,4,264,20,2,33,55
55,BattleRoar,0,264,20,3,16,56
56,ReadyAbility,32,256,0,2,0,57
57,Special1H,32,288,20,3,17,58
58,Special2H,32,288,20,2,18,59
59,ShieldBash,0,296,20,2,87,60
60,EmoteTalk,16,264,1,3,0,61
61,EmoteEat,16,264,1,3,0,62
62,EmoteWork,16,256,1,3,0,63
63,EmoteUseStanding,16,264,1,1,123,64
64,EmoteTalkExclamation,16,264,1,3,0,65
65,EmoteTalkQuestion,16,264,1,3,0,66
66,EmoteBow,16,256,1,1,0,67
67,EmoteWave,16,264,2,3,0,68
68,EmoteCheer,16,256,1,3,0,69
69,EmoteDance,16,256,1,3,0,70
70,EmoteLaugh,16,264,1,3,0,71
71,EmoteSleep,16,256,1,3,100,72
72,EmoteSitGround,16,256,1,3,0,73
73,EmoteRude,16,264,1,3,0,74
74,EmoteRoar,0,256,1,3,0,75
75,EmoteKneel,16,256,1,3,0,76
76,EmoteKiss,16,256,1,1,0,77
77,EmoteCry,16,256,1,3,0,78
78,EmoteChicken,16,264,1,3,0,79
79,EmoteBeg,16,256,1,3,0,80
80,EmoteApplaud,16,264,1,1,0,81
81,EmoteShout,16,264,1,3,0,82
82,EmoteFlex,16,256,1,3,0,83
83,EmoteShy,16,256,1,3,0,84
84,EmotePoint,16,264,1,3,0,85
85,Attack1HPierce,32,296,20,2,17,86
86,Attack2HLoosePierce,32,296,20,0,19,87
87,AttackOff,32,296,20,3,88,88
88,AttackOffPierce,32,296,20,3,16,89
89,Sheath,0,6,100,8,0,90
90,HipSheath,0,6,100,8,0,91
91,Mount,4,256,200,3,0,92
92,RunRight,0,1,10,0,0,93
93,RunLeft,0,1,10,0,0,94
94,MountSpecial,0,257,1,3,0,95
95,Kick,0,288,20,3,16,96
96,SitGroundDown,16,256,1,2,0,97
97,SitGround,16,256,1,34,96,98
98,SitGroundUp,16,256,1,18,96,99
99,SleepDown,16,768,1,2,0,100
100,Sleep,4,2304,1,35,99,101
101,SleepUp,0,1280,1,18,99,102
102,SitChairLow,4,0,1,1,0,103
103,SitChairMed,4,0,1,1,0,104
104,SitChairHigh,4,0,1,1,0,105
105,LoadBow,0,264,20,2,0,106
106,LoadRifle,0,264,20,2,0,107
107,AttackThrown,16,264,22,3,16,108
108,ReadyThrown,16,256,0,2,0,109
109,HoldBow,0,8,21,3,0,110
110,HoldRifle,0,8,21,3,0,111
111,HoldThrown,0,8,21,3,0,112
112,LoadThrown,0,264,20,2,0,113
113,EmoteSalute,16,264,1,3,0,114
114,KneelStart,16,256,1,0,0,115
115,KneelLoop,16,0,1,34,114,116
116,KneelEnd,16,256,1,16,114,117
117,AttackUnarmedOff,16,296,1,0,87,118
118,SpecialUnarmed,16,288,1,2,57,119
119,StealthWalk,0,65,10,6,4,120
120,StealthStand,0,1,0,2,0,121
121,Knockdown,0,384,50,10,0,122
122,EatingLoop,0,264,1,2,0,123
123,UseStandingLoop,16,256,1,34,128,124
124,ChannelCastDirected,4,256,1,2,52,125
125,ChannelCastOmni,4,256,1,2,31,126
126,Whirlwind,32,288,10,3,0,127
127,Birth,0,256,400,2,0,128
128,UseStandingStart,4,256,1,2,0,129
129,UseStandingEnd,32,256,1,18,128,130
130,CreatureSpecial,0,288,1,3,0,131
131,Drown,20,256,500,11,1,132
132,Drowned,0,256,500,43,131,133
133,FishingCast,32,256,2,3,0,134
134,FishingLoop,32,256,1,3,0,135
135,Fly,0,2305,1,2,42,136
136,EmoteWorkNoSheathe,32,0,1,3,62,137
137,EmoteStunNoSheathe,0,0,1,1,14,138
138,EmoteUseStandingNoSheathe,0,8,1,1,63,139
139,SpellSleepDown,0,0,1,2,0,140
140,SpellKneelStart,0,0,1,3,0,141
141,SpellKneelLoop,0,0,1,2,115,142
142,SpellKneelEnd,0,0,1,2,0,143
143,Sprint,0,64,10,4,5,144
144,InFlight,0,0,0,2,0,145
145,Spawn,0,0,0,0,0,146
146,Close,0,0,0,16,148,147
147,Closed,0,0,0,32,146,148
148,Open,0,0,0,16,146,149
149,Opened,0,0,0,32,148,150
150,Destroy,0,0,0,0,148,151
151,Destroyed,0,0,0,32,150,152
152,Rebuild,0,0,0,16,150,153
153,Custom0,0,0,0,0,0,154
154,Custom1,0,0,0,0,0,155
155,Custom2,0,0,0,0,0,156
156,Custom3,0,0,0,0,0,157
157,Despawn,0,0,0,0,0,158
158,Hold,0,0,0,1,0,159
159,Decay,0,0,0,0,0,160
160,BowPull,0,0,0,0,0,161
161,BowRelease,0,0,0,0,0,162
162,ShipStart,0,0,0,0,0,163
163,ShipMoving,0,0,0,0,0,164
164,ShipStop,0,0,0,0,0,165
165,GroupArrow,0,0,0,0,0,166
166,Arrow,0,0,0,0,0,167
167,CorpseArrow,0,0,0,0,0,168
168,GuideArrow,0,0,0,0,0,169
169,Sway,0,0,0,3,0,170
170,DruidCatPounce,0,0,0,2,0,171
171,DruidCatRip,0,0,0,2,0,172
172,DruidCatRake,0,0,0,2,0,173
173,DruidCatRavage,0,0,0,2,0,174
174,DruidCatClaw,0,0,0,2,0,175
175,DruidCatCower,0,0,0,2,0,176
176,DruidBearSwipe,0,0,0,2,0,177
177,DruidBearBite,0,0,0,2,0,178
178,DruidBearMaul,0,0,0,2,0,179
179,DruidBearBash,0,0,0,2,0,180
180,DragonTail,0,0,0,2,0,181
181,DragonStomp,0,0,0,3,0,182
182,DragonSpit,0,0,0,2,0,183
183,DragonSpitHover,0,0,0,2,0,184
184,DragonSpitFly,0,0,0,2,0,185
185,EmoteYes,0,0,0,1,0,186
186,EmoteNo,0,0,0,3,0,187
187,JumpLandRun,0,0,0,1,5,188
188,LootHold,0,0,0,35,50,189
189,LootUp,0,0,0,16,50,190
190,StandHigh,0,0,0,0,0,191
191,Impact,0,0,0,0,0,192
192,LiftOff,0,0,0,3,0,193
193,Hover,0,0,0,2,0,194
194,SuccubusEntice,0,0,0,2,0,195
195,EmoteTrain,0,0,0,3,0,196
196,EmoteDead,0,0,0,2,1,197
197,EmoteDanceOnce,0,0,0,2,69,198
198,Deflect,0,0,0,0,0,199
199,EmoteEatNoSheathe,0,264,0,3,61,200
200,Land,0,0,0,3,0,201
201,Submerge,0,0,0,3,0,202
202,Submerged,0,0,0,3,0,203
203,Cannibalize,0,0,0,3,115,204
204,ArrowBirth,0,0,0,0,0,205
205,GroupArrowBirth,0,0,0,0,0,206
206,CorpseArrowBirth,0,0,0,0,0,207
207,GuideArrowBirth,0,0,0,0,0,208
208,EmoteTalkNoSheathe,0,264,1,3,60,209
209,EmotePointNoSheathe,0,264,1,3,84,210
210,EmoteSaluteNoSheathe,0,264,1,3,113,211
211,EmoteDanceSpecial,16,256,1,3,69,212
212,Mutilate,32,296,0,3,16,213
213,CustomSpell01,0,0,0,3,0,214
214,CustomSpell02,0,0,0,3,0,215
215,CustomSpell03,0,0,0,3,0,216
216,CustomSpell04,0,0,0,3,0,217
217,CustomSpell05,0,0,0,3,0,218
218,CustomSpell06,0,0,0,3,0,219
219,CustomSpell07,0,0,0,3,0,220
220,CustomSpell08,0,0,0,3,0,221
221,CustomSpell09,0,0,0,3,0,222
222,CustomSpell10,0,0,0,3,0,223
223,StealthRun,0,65,10,6,119,224
224,Emerge,0,0,0,3,127,225
225,Cower,16,264,1,3,0,0
