ID,Importance,Icon,FactionID,Pos[0],Pos[1],Pos[2],ContinentID,Flags,Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang_mask
27,3,6,84,-6392.65,-3158,299.765,0,5,Angor Fortress,,,,,,,,65538
1,3,6,0,-6134.2783,383.7634,399.25397,0,5,Anvilmar,,,,,,,,65539
40,3,4,0,-14383.3,487.139,-29.5617,0,13,Booty Bay,,,,,,,,65536
2,3,6,0,2249.85,278.41385,34.11371,0,5,Brill,,,,,,,,65538
3,3,6,0,-10564.721,-1170.6549,28.05047,0,13,Darkshire,,,,,,,,65538
4,3,6,0,1879.8323,1588.2028,90.17196,0,5,Deathknell,,,,,,,,65538
5,3,6,0,-4191.0234,-2373.1401,205.15083,0,5,Dun Algaz,,,,,,,,65538
6,3,6,0,-2610.2583,-2350.5583,81.59118,0,5,Dun Modr,,,,,,,,65538
7,3,6,0,-9480.089,63.521755,56.17569,0,5,Goldshire,,,,,,,,65538
41,3,4,83,-12378.4,185.734,3.05513,0,13,Grom'gol,,,,,,,,65538
25,3,6,83,-991.57,-3528.34,56.5482,0,5,Hammerfall,,,,,,,,65538
8,1,6,0,-5021,-834.059,495.31934,0,29,Ironforge,,,,,,,,65538
26,3,6,83,-6676.42,-2186.68,245.829,0,5,Kargath,,,,,,,,65538
9,2,6,0,-5585.9507,-482.12653,397.01672,0,5,Kharanos,,,,,,,,65538
10,3,6,0,-9227.689,-2201.4744,63.93342,0,13,Lakeshire,,,,,,,,65538
11,3,6,0,-3672.6963,-828.45526,9.899147,0,13,Menethil Harbor,,,,,,,,65538
12,3,6,0,-11017.066,1510.168,43.16575,0,5,Moonbrook,,,,,,,,65538
13,3,6,0,-8896.159,-179.32834,80.290924,0,5,Northshire Abbey,,,,,,,,65538
14,3,6,0,-10752.526,310.43338,40.16275,0,5,Raven Hill,,,,,,,,65538
24,3,6,84,-1251.05,-2526.81,20.7117,0,5,Refuge Pointe,,,,,,,,65536
15,3,6,0,-10503.724,1027.7622,55.58312,0,13,Sentinel Hill,,,,,,,,65538
22,3,6,0,-803.031,-531.727,15.9654,0,5,Southshore,,,,,,,,65538
16,3,6,0,-9153.766,364.0568,90.4829,0,29,Stormwind,,,,,,,,65538
23,3,6,0,-27.0354,-900.562,55.9603,0,5,Tarren Mill,,,,,,,,65538
17,3,6,0,508.07315,1619.023,125.27246,0,13,The Sepulcher,,,,,,,,65536
18,4,6,0,1849.6897,235.69879,61.65636,0,29,The Undercity,,,,,,,,65538
19,1,6,0,-5349.2676,-2959.9077,323.6269,0,13,Thelsamar,,,,,,,,65538
36,3,4,84,10462.7,805.993,1312.66,1,5,Aldrassil,,,,,,,,65538
42,3,4,84,2720.43,-382.391,107.09,1,0,Astranaar,,,,,,,,65538
28,3,6,83,-2323.92,-394.981,-9.12757,1,5,Bloodhoof Village,,,,,,,,65538
30,3,6,83,-2906.49,-253.607,52.9407,1,5,Camp Narache,,,,,,,,65538
38,3,4,84,9951.75,2254.5,1335.42,1,29,Darnassus,,,,,,,,65538
37,3,4,84,9787.99,949.897,1306.73,1,5,Dolanaar,,,,,,,,65538
46,3,4,83,-5454.07,-2445.5,90.1133,1,13,Freewood Post,,,,,,,,65536
33,3,6,83,1381.77,-4371.16,26.0233,1,29,Orgrimmar,,,,,,,,65538
39,3,4,0,-951.364,-3680.07,8.04018,1,13,Ratchet,,,,,,,,65536
31,3,6,83,312.659,-4745.52,9.54726,1,5,Razor Hill,,,,,,,,65538
34,3,6,83,-819.492,-4918.24,19.3401,1,5,Sen'jin Village,,,,,,,,65538
44,3,4,84,2658.78,1449.71,226.135,1,13,Stonetalon Peak,,,,,,,,65538
43,3,4,83,-184.314,-320.91,9.58324,1,13,Sun Rock Retreat,,,,,,,,65536
45,3,4,84,-4510.03,-779.474,-41.5353,1,13,Thalanaar,,,,,,,,65538
35,3,6,83,-455.9,-2652.15,95.5865,1,13,The Crossroads,,,,,,,,65538
32,3,6,83,-604.098,-4202.92,38.7281,1,5,The Den,,,,,,,,65538
29,3,6,83,-1205.41,29.4214,126.347,1,29,Thunderbluff,,,,,,,,65538
20,0,0,0,-448.982,-1028.22,431.971,37,1,Alliance,,,,,,,,65538
21,0,0,0,-669.134,-483.289,387.273,37,1,Horde,,,,,,,,65538
