ID,Name_lang,Description_lang,Flags,Pos[0],Pos[1],Pos[2],PoiDataType,PoiData,ContinentID,AreaID,WorldStateID,PortLocID,Importance,Icon,PlayerConditionID,UiTextureAtlasMemberID,MapFloor,WMOGroupID
1,Anvilmar,,5,-6134.28,383.763,0,0,0,0,132,0,0,3,6,0,0,0,0
2,Brill,,5,2249.85,278.41385,0,0,0,0,0,0,0,3,6,0,0,0,0
3,Darkshire,,13,-10564.7,-1170.65,0,0,0,0,-1,0,0,3,4,0,0,0,0
4,Deathknell,,5,1879.8323,1588.2028,0,0,0,0,0,0,0,3,6,0,0,0,0
5,Dun Algaz,,5,-4191.0234,-2373.1401,0,0,0,0,0,0,0,3,6,0,0,0,0
6,Dun Modr,,5,-2610.2583,-2350.5583,0,0,0,0,0,0,0,3,6,0,0,0,0
7,Goldshire,,5,-9480.089,63.521755,0,0,0,0,0,0,0,3,6,0,0,0,0
8,Ironforge,,29,-5021,-834.059,0,0,0,0,-1,0,0,3,5,0,0,0,0
9,Kharanos,,5,-5585.9507,-482.12653,0,0,0,0,0,0,0,2,6,0,0,0,0
10,Lakeshire,,13,-9227.69,-2201.47,0,0,0,0,-1,0,0,3,4,0,0,0,0
11,Menethil Harbor,,13,-3672.7,-828.455,0,0,0,0,-1,0,0,3,4,0,0,0,0
12,Moonbrook,,5,-11017.066,1510.168,0,0,0,0,0,0,0,3,6,0,0,0,0
13,Northshire Abbey,,5,-8896.159,-179.32834,0,0,0,0,0,0,0,3,6,0,0,0,0
14,Raven Hill,,5,-10752.526,310.43338,0,0,0,0,0,0,0,3,6,0,0,0,0
15,Sentinel Hill,,13,-10503.7,1027.76,0,0,0,0,-1,0,0,3,4,0,0,0,0
16,Stormwind,,29,-9153.77,364.057,0,0,0,0,-1,0,0,3,5,0,0,0,0
17,The Sepulcher,,13,508.073,1619.02,0,0,0,0,-1,0,0,3,4,0,0,0,0
18,The Undercity,,29,1849.69,235.699,0,0,0,0,-1,0,0,4,5,0,0,0,0
19,Thelsamar,,13,-5349.27,-2959.91,0,0,0,0,-1,0,0,3,4,0,0,0,0
20,Alliance,,1,-448.982,-1028.22,0,0,0,37,0,0,0,0,0,0,0,0,0
21,Horde,,1,-669.134,-483.289,0,0,0,37,0,0,0,0,0,0,0,0,0
22,Southshore,,13,-803.031,-531.727,0,0,0,0,-1,0,0,3,4,0,0,0,0
23,Tarren Mill,,13,-27.0354,-900.562,0,0,0,0,-1,0,0,3,4,0,0,0,0
24,Refuge Pointe,,5,-1251.05,-2526.81,0,0,0,0,0,0,0,3,6,0,0,0,0
25,Hammerfall,,13,-991.57,-3528.34,0,0,0,0,-1,0,0,3,4,0,0,0,0
26,Kargath,,13,-6676.42,-2186.68,0,0,0,0,-1,0,0,3,4,0,0,0,0
27,Angor Fortress,,5,-6392.65,-3158,0,0,0,0,0,0,0,3,6,0,0,0,0
28,Bloodhoof Village,,5,-2323.92,-394.981,0,0,0,1,0,0,0,3,6,0,0,0,0
29,Thunder Bluff,,29,-1205.41,29.4214,0,0,0,1,-1,0,0,3,5,0,0,0,0
30,Camp Narache,,5,-2906.49,-253.607,0,0,0,1,0,0,0,3,6,0,0,0,0
31,Razor Hill,,5,312.659,-4745.52,0,0,0,1,362,0,0,3,6,0,0,0,0
32,The Den,,5,-604.098,-4202.92,0,0,0,1,0,0,0,3,6,0,0,0,0
33,Orgrimmar,,29,1381.77,-4371.16,0,0,0,1,-1,0,0,3,5,0,0,0,0
34,Sen'jin Village,,5,-819.492,-4918.24,0,0,0,1,367,0,0,3,6,0,0,0,0
35,The Crossroads,,13,-455.9,-2652.15,0,0,0,1,-1,0,0,3,4,0,0,0,0
36,Aldrassil,,5,10462.7,805.993,0,0,0,1,188,0,0,3,4,0,0,0,0
37,Dolanaar,,1,9787.99,949.897,0,0,0,1,-1,0,0,3,4,0,0,0,0
38,Darnassus,,29,9951.75,2254.5,0,0,0,1,-1,0,0,3,5,0,0,0,0
39,Ratchet,,13,-951.364,-3680.07,0,0,0,1,0,0,0,3,4,0,0,0,0
40,Booty Bay,,13,-14383.3,487.139,0,0,0,0,0,0,0,3,4,0,0,0,0
41,Grom'gol Base Camp,,13,-12378.4,185.734,0,0,0,0,-1,0,0,3,4,0,0,0,0
42,Astranaar,,13,2720.43,-382.391,0,0,0,1,-1,0,0,3,4,0,0,0,0
44,Stonetalon Peak,,13,2658.78,1449.71,0,0,0,1,0,0,0,3,4,0,0,0,0
