ID,AreaNumber,ContinentID,ParentAreaNum,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,MIDIAmbience,MIDIAmbienceUnderwater,ZoneMusic,IntroSound,IntroPriority,AreaName_lang[0]
1,1048576,0,0,15,1,3,11,16,25,8,0,0,Dun Morogh
2,196611,0,196608,2,0,3,11,10,25,9,0,0,Longshore
3,1114112,0,0,16,0,3,11,47,25,7,0,0,Badlands
4,131072,0,0,1,0,3,11,72,25,7,0,0,Blasted Lands
7,720897,0,720896,10,0,3,11,17,25,3,0,0,Blackwater Cove
8,458752,0,0,6,0,3,11,34,25,3,0,0,Swamp of Sorrows
9,393218,0,393216,5,0,3,11,9,25,1,0,0,Northshire Valley
12,393216,0,0,5,0,3,11,9,25,1,0,0,Elwynn Forest
14,131072,1,0,24,0,3,11,10,25,9,0,0,Durotar
15,196608,1,0,25,0,3,11,34,25,3,0,0,Dustwallow Marsh
16,262144,1,0,26,0,3,11,0,25,0,0,0,Aszhara
17,65536,1,0,23,0,3,11,46,25,7,0,0,The Barrens
18,393220,0,393216,5,0,3,11,9,25,1,0,0,Crystal Lake
20,196610,0,196608,2,0,3,11,10,25,9,0,0,Moonbrook
21,1376256,0,0,20,0,3,11,0,25,0,0,0,Kul Tiras
23,393223,0,393216,5,0,3,11,9,25,0,0,0,Northshire River
24,393224,0,393216,5,0,3,11,9,25,1,0,0,Northshire Abbey
25,1179648,0,0,17,0,3,11,30,25,10,0,0,Blackrock Mountain
28,1245184,0,0,18,0,3,11,41,25,10,0,0,Western Plaguelands
30,655360,0,0,9,0,3,11,0,25,0,0,0,Nine
32,262147,0,262144,3,0,3,11,14,25,2,0,0,The Cemetary
33,720896,0,0,10,0,3,11,17,25,3,0,0,Stranglethorn Vale
34,393222,0,393216,5,0,3,11,9,25,1,0,0,Echo Ridge Mine
35,720901,0,720896,10,0,3,11,17,25,3,0,0,Booty Bay
36,1310720,0,0,19,0,3,11,40,25,1,0,0,Alterac Mountains
37,720899,0,720896,10,0,3,11,17,25,3,0,0,Lake Nazferiti
38,983040,0,0,14,0,3,11,15,25,1,0,0,Loch Modan
40,196608,0,0,2,0,3,11,10,25,9,0,0,Westfall
42,262145,0,262144,3,0,3,11,14,25,2,0,0,Darkshire
43,720898,0,720896,10,0,3,11,17,25,3,0,0,Wild Shore
44,524288,0,0,7,0,3,11,15,25,1,0,0,Redridge Mountains
45,851968,0,0,12,0,3,11,37,25,8,0,0,Arathi Highlands
46,589824,0,0,8,0,3,11,30,25,10,0,0,Burning Steppes
47,786432,0,0,11,0,3,11,44,25,1,0,0,The Hinterlands
49,1441793,0,1441792,21,0,3,11,0,25,0,0,0,Dead Man's Hole
51,1507328,0,0,2,0,3,11,30,25,10,0,0,Searing Gorge
53,393228,0,393216,5,0,3,11,9,25,1,0,0,Thieves Camp
55,393230,0,393216,5,0,3,11,9,25,12,2541,1,Valley of Heroes
56,393231,0,393216,5,0,3,11,9,25,1,0,0,Hero's Vigil
57,393232,0,393216,5,0,3,11,9,25,1,0,0,Fargodeep Mine
59,393233,0,393216,5,0,3,11,9,25,1,0,0,Northshire Vineyards
61,393235,0,393216,5,0,3,11,9,25,1,0,0,Thunder Falls
62,393236,0,393216,5,0,3,11,9,25,1,0,0,Brackwell Pumpkin Patch
63,393237,0,393216,5,0,3,11,9,25,1,0,0,The Stonefield Farm
64,393238,0,393216,5,0,3,11,9,25,1,0,0,The Maclure Vineyards
