ID,AreaNumber,ContinentID,ParentAreaNum,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,MIDIAmbience,MIDIAmbienceUnderwater,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang
249,589825,0,589824,8,0,0,11,30,25,10,0,0,-1,Dreadmaul Rock
251,589827,0,589824,8,0,0,11,0,25,0,0,0,-1,Flame Crest
252,589828,0,589824,8,0,0,11,30,25,10,0,0,-1,Blackrock Stronghold
253,589829,0,589824,8,0,0,11,0,25,0,0,0,-1,The Pillar of Ash
255,589831,0,589824,8,0,0,11,30,25,10,0,0,-1,Altar of Storms
256,327684,1,327680,2,0,0,11,35,25,11,0,0,-1,Aldrassil
257,327685,1,327680,2,0,0,11,35,25,11,0,0,-1,Shadowthread Cave
258,327686,1,327680,2,0,0,11,35,25,11,0,0,-1,Fel Rock
259,327687,1,327680,2,0,0,11,35,25,11,0,0,-1,Lake Al'Ameth
260,327688,1,327680,2,0,0,11,35,25,11,0,0,-1,Starbreeze Village
261,327689,1,327680,2,0,0,11,0,25,0,0,0,-1,Gnarlpine Hold
262,327690,1,327680,2,0,0,11,48,25,11,0,0,-1,Ban'ethil Barrow Den
263,327691,1,327680,2,0,0,11,0,25,0,0,0,-1,The Cleft
264,327692,1,327680,2,0,0,11,35,25,11,0,0,-1,The Oracle Glade
265,327693,1,327680,2,0,0,11,0,25,0,0,0,-1,The Wellspring River
266,327694,1,327680,2,0,0,11,0,25,0,0,0,-1,Wellspring Lake
267,1966080,0,0,2,0,0,11,44,25,1,0,0,-1,Hillsbrad Foothills
269,2031616,0,0,2,0,0,11,38,25,0,0,0,18,Dun Algaz
272,1966083,0,1966080,2,0,0,11,44,25,1,0,0,20,Tarren Mill
275,1966086,0,1966080,2,0,0,11,44,25,1,0,0,21,Durnholde Keep
277,1310721,0,1310720,19,0,0,11,40,25,1,0,0,-1,The Foothill Caverns
278,1310722,0,1310720,19,0,0,11,40,25,1,0,0,32,Lordamere Internment Camp
279,1310723,0,1310720,19,0,0,11,0,25,0,0,0,30,Dalaran
280,1310724,0,1310720,19,0,0,11,40,25,1,0,0,34,Strahnbrad
281,1310725,0,1310720,19,0,0,11,40,25,1,0,0,36,Ruins of Alterac
282,1310726,0,1310720,19,0,0,11,40,25,0,0,0,-1,Crushridge Hold
283,1310727,0,1310720,19,0,0,11,0,25,0,0,0,-1,Slaughter Hollow
284,1310728,0,1310720,19,0,0,11,40,25,1,0,0,-1,The Uplands
285,1966087,0,1966080,2,0,0,11,44,25,2,0,0,-1,Southpoint Tower
286,1966088,0,1966080,2,0,0,11,44,25,1,0,0,22,Hillsbrad Fields
287,1966089,0,1966080,2,0,0,11,44,25,1,0,0,-1,Hillsbrad
288,1966090,0,1966080,2,0,0,11,44,25,1,0,0,-1,Azureload Mine
289,1966091,0,1966080,2,0,0,11,44,25,1,0,0,26,Nethander Stead
290,1966092,0,1966080,2,0,0,11,44,25,1,0,0,-1,Dun Garok
293,2162688,0,0,2,0,0,11,44,25,1,0,0,30,Thoradin's Wall
294,1966095,0,1966080,2,0,0,11,44,25,1,0,0,30,Eastern Strand
296,2228224,0,0,2,0,0,11,0,25,0,0,0,-1,South Seas
297,720919,0,720896,10,0,0,11,0,25,0,0,0,-1,Jaguero Isle
298,917509,0,917504,13,0,0,11,38,25,3,0,0,0,Baradin Bay
299,917510,0,917504,13,0,0,11,0,25,0,0,0,0,Menethil Bay
300,458757,0,458752,6,0,0,11,0,25,0,0,0,-1,Mistyreed Strand
301,720920,0,720896,10,0,0,11,17,25,3,0,0,-1,The Savage Coast
