ID,ContinentID,ParentAreaID,Flags,SoundProviderPref,SoundProviderPrefUnderwater,MIDIAmbience,MIDIAmbienceUnderwater,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang[0],AreaName_lang[1],AreaName_lang[2],AreaName_lang[3],AreaName_lang[4],AreaName_lang[5],AreaName_lang[6],AreaName_lang[7],AreaName_lang_mask
249,0,46,0,0,11,30,25,10,0,0,-1,Dreadmaul Rock,,,,,,,,6750208
251,0,46,0,0,11,0,25,0,0,0,-1,Flame Crest,,,,,,,,6750208
252,0,46,0,0,11,30,25,10,0,0,-1,Blackrock Stronghold,,,,,,,,6750210
253,0,46,0,0,11,0,25,0,0,0,-1,The Pillar of Ash,,,,,,,,6750208
255,0,46,0,0,11,30,25,10,0,0,-1,Altar of Storms,,,,,,,,6750210
256,1,141,0,0,11,35,25,11,0,0,-1,Aldrassil,,,,,,,,6750210
257,1,141,0,0,11,35,25,11,0,0,-1,Shadowthread Cave,,,,,,,,6750210
258,1,141,0,0,11,35,25,11,0,0,-1,Fel Rock,,,,,,,,6750210
259,1,141,0,0,11,35,25,11,0,0,5,Lake Al'Ameth,,,,,,,,6750210
260,1,141,0,0,11,35,25,11,0,0,6,Starbreeze Village,,,,,,,,6750210
261,1,141,0,0,11,0,25,0,0,0,8,Gnarlpine Hold,,,,,,,,6750210
262,1,141,0,0,11,48,25,11,0,0,-1,Ban'ethil Barrow Den,,,,,,,,6750210
263,1,141,0,0,11,0,25,0,0,0,-1,The Cleft,,,,,,,,6750208
264,1,141,0,0,11,35,25,11,0,0,9,The Oracle Glade,,,,,,,,6750210
265,1,141,0,0,11,0,25,0,0,0,0,Wellspring River,,,,,,,,65538
266,1,141,0,0,11,0,25,0,0,0,9,Wellspring Lake,,,,,,,,6750210
267,0,0,0,0,11,44,25,1,0,0,-1,Hillsbrad Foothills,,,,,,,,6750210
269,0,0,0,0,11,38,25,0,0,0,18,Dun Algaz,,,,,,,,6750210
272,0,267,0,0,11,44,25,1,0,0,20,Tarren Mill,,,,,,,,6750210
275,0,267,0,0,11,44,25,1,0,0,21,Durnholde Keep,,,,,,,,6750210
277,0,36,0,0,11,40,25,1,0,0,-1,The Foothill Caverns,,,,,,,,6750210
278,0,36,0,0,11,40,25,1,0,0,32,Lordamere Internment Camp,,,,,,,,6750210
279,0,36,0,0,11,0,25,0,0,0,30,Dalaran,,,,,,,,6750210
280,0,36,0,0,11,40,25,1,0,0,34,Strahnbrad,,,,,,,,6750210
281,0,36,0,0,11,40,25,1,0,0,36,Ruins of Alterac,,,,,,,,6750210
282,0,36,0,0,11,40,25,0,0,0,-1,Crushridge Hold,,,,,,,,6750210
283,0,36,0,0,11,0,25,0,0,0,-1,Slaughter Hollow,,,,,,,,6750210
284,0,36,0,0,11,40,25,1,0,0,-1,The Uplands,,,,,,,,6750210
285,0,267,0,0,11,44,25,2,0,0,-1,Southpoint Tower,,,,,,,,6750210
286,0,267,0,0,11,44,25,1,0,0,22,Hillsbrad Fields,,,,,,,,6750210
287,0,267,0,0,11,44,25,1,0,0,-1,Hillsbrad,,,,,,,,6750210
288,0,267,0,0,11,44,25,1,0,0,-1,Azureload Mine,,,,,,,,6750210
289,0,267,0,0,11,44,25,1,0,0,26,Nethander Stead,,,,,,,,6750210
290,0,267,0,0,11,44,25,1,0,0,-1,Dun Garok,,,,,,,,6750210
293,0,0,0,0,11,44,25,1,0,0,30,Thoradin's Wall,,,,,,,,6750210
294,0,267,0,0,11,44,25,1,0,0,30,Eastern Strand,,,,,,,,6750210
296,0,0,0,0,11,0,25,0,0,0,-1,South Seas,,,,,,,,458754
297,0,33,0,0,11,0,25,0,0,0,-1,Jaguero Isle,,,,,,,,6750208
298,0,11,0,0,11,38,25,3,0,0,0,Baradin Bay,,,,,,,,458754
299,0,11,0,0,11,0,25,0,0,0,0,Menethil Bay,,,,,,,,458754
300,0,8,0,0,11,0,25,0,0,0,-1,Mistyreed Strand,,,,,,,,6750208
301,0,33,0,0,11,17,25,3,0,0,-1,The Savage Coast,,,,,,,,6750210
303,0,33,0,0,11,0,25,0,0,0,-1,Shell Beach,,,,,,,,6750208
305,0,130,0,0,11,0,25,0,0,0,-1,North Tide's Run,,,,,,,,458752
306,0,130,0,0,11,0,25,0,0,0,-1,South Tide's Run,,,,,,,,458752
307,0,47,0,0,11,44,25,1,0,0,-1,The Overlook Cliffs,,,,,,,,6750208
309,0,11,0,0,11,72,25,9,1098149477,0,24,Ironbeard's Tomb,,,,,,,,6750210
310,0,33,0,0,11,0,25,0,0,0,-1,Crystalvein Mine,,,,,,,,6750210
312,0,33,0,0,11,0,25,0,0,0,-1,Janeiro's Point,,,,,,,,6750208
314,0,45,0,0,11,0,25,0,0,0,33,Go'Shek Farm,,,,,,,,6750210
316,0,45,0,0,11,0,25,0,0,0,35,Boulderfist Hall,,,,,,,,6750210
318,0,45,0,0,11,0,25,0,0,0,-1,Drywhisker Gorge,,,,,,,,6750210
320,0,45,0,0,11,0,25,0,0,0,30,Refuge Pointe,,,,,,,,6750210
321,0,45,0,0,11,37,25,8,0,0,30,Hammerfall,,,,,,,,6750210
323,0,45,0,0,11,0,25,0,0,0,-1,O'Breen's Camp,,,,,,,,6750210
324,0,45,0,0,11,0,25,0,0,0,36,Stromgarde Keep,,,,,,,,6750210
325,0,45,0,0,11,0,25,0,0,0,-1,The Tower of Arathor,,,,,,,,6750210
326,0,45,0,0,11,0,25,0,0,0,-1,The Sanctum,,,,,,,,6750210
327,0,45,0,0,11,37,25,8,0,0,-1,Faldir's Cove,,,,,,,,6750210
330,0,0,0,0,11,0,25,0,0,0,-1,Thandol Span,,,,,,,,6750210
331,1,0,0,0,11,35,25,11,0,0,-1,Ashenvale,,,,,,,,458754
332,1,0,0,0,11,10,25,9,0,0,-1,The Great Sea,,,,,,,,458754
333,0,45,0,0,11,0,25,0,0,0,38,Circle of East Binding,,,,,,,,6750210
334,0,45,0,0,11,0,25,0,0,0,38,Circle of West Binding,,,,,,,,6750210
335,0,45,0,0,11,0,25,0,0,0,38,Circle of Inner Binding,,,,,,,,6750210
336,0,45,0,0,11,0,25,0,0,0,38,Circle of Outer Binding,,,,,,,,6750210
337,0,3,0,0,11,47,25,7,0,0,-1,Apocryphan's Rest,,,,,,,,6750210
340,0,3,0,0,11,0,25,0,0,0,-1,Kargath,,,,,,,,6750210
341,0,3,0,0,11,0,25,0,0,0,-1,Camp Kosh,,,,,,,,6750210
342,0,3,0,0,11,0,25,0,0,0,-1,Camp Boff,,,,,,,,6750210
343,0,3,0,0,11,0,25,0,0,0,-1,Camp Wurg,,,,,,,,6750210
344,0,3,0,0,11,0,25,0,0,0,-1,Camp Cagg,,,,,,,,6750210
345,0,3,0,0,11,47,25,7,0,0,-1,Agmond's End,,,,,,,,6750208
346,0,3,0,0,11,0,25,0,0,0,-1,Hammertoe's Digsite,,,,,,,,6750210
347,0,3,0,0,11,0,25,0,0,0,-1,Dustbelch Grotto,,,,,,,,6750210
348,0,47,0,0,11,44,25,1,0,0,-1,Aerie Peak,,,,,,,,6750208
349,0,47,0,0,11,44,25,1,0,0,-1,Wildhammer Keep,,,,,,,,6750210
350,0,47,0,0,11,44,25,1,0,0,-1,Quel'Danil Lodge,,,,,,,,6750210
351,0,47,0,0,11,44,25,1,0,0,-1,Skulk Rock,,,,,,,,6750208
