ID,ZoneName,AreaName_lang,Flags[0],Flags[1],Ambient_multiplier,ContinentID,ParentAreaID,AreaBit,AmbienceID,ZoneMusic,IntroSound,LiquidTypeID[0],LiquidTypeID[1],LiquidTypeID[2],LiquidTypeID[3],UwZoneMusic,UwAmbience,PvpCombatWorldStateID,SoundProviderPref,SoundProviderPrefUnderwater,ExplorationLevel,FactionGroupMask,MountFlags,WildBattlePetLevelMin,WildBattlePetLevelMax,WindSettingsID,UwIntroSound
1,DunMorogh,Dun Morogh,65,0,0,0,0,119,42,8,0,0,0,0,0,0,675,-1,0,11,0,2,0,0,0,0,0
2,Longshore,Longshore,1073741888,0,0,0,40,120,0,9,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
3,Badlands,Badlands,64,0,0,0,0,121,25,7,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
4,BlastedLands,Blasted Lands,64,0,0,0,0,122,210,7,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
7,DarkwaterCove,Blackwater Cove,1073741888,0,0,0,33,123,0,3,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
8,SwampofSorrows,Swamp of Sorrows,64,0,0,0,0,124,33,223,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
9,NorthshireValley,Northshire Valley,1073741888,0,0,0,12,125,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
10,Duskwood,Duskwood,64,0,0,0,0,617,40,2,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
11,Wetlands,Wetlands,64,0,0,0,0,618,44,227,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
12,ElwynnForest,Elwynn Forest,64,0,0,0,0,126,35,1,0,0,0,0,0,0,675,-1,0,11,0,2,0,0,0,0,0
13,TheWorldTree,The World Tree,1073741888,0,0,0,10,555,48,11,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
14,Durotar,Durotar,64,0,0,1,0,127,25,9,0,0,0,0,0,0,675,-1,0,11,0,4,0,0,0,0,0
15,DustwallowMarsh,Dustwallow Marsh,64,0,0,1,0,128,33,227,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
16,Azshara,Azshara,64,0,0,1,0,129,31,205,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
17,TheBarrens,The Barrens,64,0,0,1,0,130,38,7,0,0,0,0,0,0,675,-1,0,11,0,4,0,0,0,0,0
18,CrystalLake,Crystal Lake,1073741888,0,0,0,12,131,35,1,0,0,0,0,0,0,675,-1,0,11,7,0,0,0,0,0,0
19,Zul'Gurub,Zul'Gurub,1073741888,0,0,0,33,574,32,3,0,0,0,0,0,0,675,-1,0,11,40,0,0,0,0,0,0
20,Moonbrook,Moonbrook,1073741888,0,0,0,40,132,0,9,0,0,0,0,0,0,675,-1,0,11,14,0,0,0,0,0,0
21,KulTiras,Kul Tiras,64,0,0,0,0,133,0,8,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
22,ProgrammerIsle,Programmer Isle,64,0,0,451,0,547,38,2,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
23,NorthshireRiver,Northshire River,1073741888,0,0,0,12,134,35,0,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
24,Northshireabbey,Northshire Abbey,1073741888,0,0,0,12,135,35,1,0,0,0,0,0,0,675,-1,73,11,0,0,0,0,0,0,0
25,BlackrockMountain,Blackrock Mountain,64,0,0,0,0,136,46,10,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
26,Lighthouse,Lighthouse,1073741888,0,0,0,40,602,0,7,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
28,WesternPlaguelands,Western Plaguelands,64,0,0,0,0,137,37,205,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
30,Nine,Nine,64,0,0,0,0,138,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
32,TheCemetary,The Cemetary,1073741888,0,0,0,10,139,0,2,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
33,StranglethornJungle,Stranglethorn Vale,64,0,0,0,0,140,32,3,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
34,EchoRidgeMine,Echo Ridge Mine,1073741888,0,0,0,12,141,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
35,BootyBay,Booty Bay,1073741888,0,0,0,33,142,0,3,0,0,0,0,0,0,675,-1,0,11,42,0,0,0,0,0,0
36,AlteracMountains,Alterac Mountains,64,0,0,0,0,143,31,1,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
37,LakeNazferiti,Lake Nazferiti,1073741888,0,0,0,33,144,0,3,0,0,0,0,0,0,675,-1,0,11,36,0,0,0,0,0,0
38,LochModan,Loch Modan,64,0,0,0,0,145,31,1,0,0,0,0,0,0,675,-1,0,11,0,2,0,0,0,0,0
40,Westfall,Westfall,64,0,0,0,0,146,47,9,0,0,0,0,0,0,675,-1,0,11,0,2,0,0,0,0,0
41,DeadwindPass,Deadwind Pass,64,0,0,0,0,556,49,2,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
42,Darkshire,Darkshire,1073741888,0,0,0,10,147,0,2,0,0,0,0,0,0,675,-1,0,11,25,0,0,0,0,0,0
43,WildShore,Wild Shore,1073741888,0,0,0,33,148,0,3,0,0,0,0,0,0,675,-1,0,11,42,0,0,0,0,0,0
44,RedridgeMountains,Redridge Mountains,64,0,0,0,0,149,31,1,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
45,ArathiHighlands,Arathi Highlands,64,0,0,0,0,150,30,8,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
46,BurningSteppes,Burning Steppes,64,0,0,0,0,151,46,10,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
47,TheHinterlands,The Hinterlands,64,0,0,0,0,152,31,1,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
49,DeadMansHole,Dead Man's Hole,1073741888,0,0,0,22,153,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
51,SearingGorge,Searing Gorge,64,0,0,0,0,154,46,10,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
53,ThievesCamp,Thieves Camp,1073741888,0,0,0,12,155,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
54,JasperlodeMine,Jasperlode Mine,1073741888,0,0,0,12,550,35,1,0,0,0,0,0,0,675,-1,0,11,8,0,0,0,0,0,0
55,ValleyofHeroesUNUSED,Valley of Heroes UNUSED,1073741888,0,0,0,12,156,35,17,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
56,Heroes'Vigil,Heroes' Vigil,1073741888,0,0,0,12,157,35,1,303,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
57,FargodeepMine,Fargodeep Mine,1073741888,0,0,0,12,158,35,1,0,0,0,0,0,0,675,-1,0,11,5,0,0,0,0,0,0
59,NorthshireVineyards,Northshire Vineyards,1073741888,0,0,0,12,159,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
60,Forest'sEdge,Forest's Edge,1073741888,0,0,0,12,606,35,1,0,0,0,0,0,0,675,-1,0,11,8,0,0,0,0,0,0
61,ThunderFalls,Thunder Falls,1073741888,0,0,0,12,160,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,0,0,0,0,0
62,PumpkinPatch,Brackwell Pumpkin Patch,1073741888,0,0,0,12,161,35,1,0,0,0,0,0,0,675,-1,0,11,8,0,0,0,0,0,0
63,TheStonefieldFarm,The Stonefield Farm,1073741888,0,0,0,12,162,35,1,0,0,0,0,0,0,675,-1,0,11,6,0,0,0,0,0,0
64,TheMaclureVineyards,The Maclure Vineyards,1073741888,0,0,0,12,163,35,1,0,0,0,0,0,0,675,-1,0,11,6,0,0,0,0,0,0
