ID,ContinentID,ParentAreaID,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,ZoneMusic,IntroSound,ExplorationLevel,AreaName_lang[0],AreaName_lang[1],AreaName_lang[2],AreaName_lang[3],AreaName_lang[4],AreaName_lang[5],AreaName_lang[6],AreaName_lang[7],AreaName_lang_mask,FactionGroupMask,LiquidTypeID[0],LiquidTypeID[1],LiquidTypeID[2],LiquidTypeID[3],MinElevation,Ambient_multiplier
1,0,0,119,65,0,11,42,8,0,0,Dun Morogh,,,,,,,,4128894,2,0,0,0,0,-500,0.3
2,0,40,120,64,0,11,0,9,0,0,Longshore,,,,,,,,4128894,0,0,0,0,0,-500,0
3,0,0,121,64,0,11,25,7,0,0,Badlands,,,,,,,,8323198,0,0,0,0,0,-500,0.1
4,0,0,122,64,0,11,210,7,0,0,Blasted Lands,,,,,,,,4128894,0,0,0,0,0,-500,0
7,0,33,123,64,0,11,0,3,0,0,Blackwater Cove,,,,,,,,8323198,0,0,0,0,0,-500,0
8,0,0,124,64,0,11,33,223,0,0,Swamp of Sorrows,,,,,,,,4128894,0,0,0,0,0,-500,0.3
9,0,12,125,64,0,11,35,1,0,0,Northshire Valley,,,,,,,,4128894,0,0,0,0,0,-500,0
10,0,0,617,64,0,11,40,2,0,0,Duskwood,,,,,,,,8323198,0,0,0,0,0,-500,0.3
11,0,0,618,64,0,11,44,227,0,0,Wetlands,,,,,,,,4128894,0,0,0,0,0,-500,0.3
12,0,0,126,64,0,11,35,1,0,0,Elwynn Forest,,,,,,,,4128894,2,0,0,0,0,-500,0
13,0,10,555,64,0,11,48,11,0,0,The World Tree,,,,,,,,8323198,0,0,0,0,0,-500,0
14,1,0,127,64,0,11,25,9,0,0,Durotar,,,,,,,,4128894,4,0,0,0,0,-500,0.4
15,1,0,128,64,0,11,33,227,0,0,Dustwallow Marsh,,,,,,,,4128894,0,0,0,0,0,-500,0.4
16,1,0,129,64,0,11,31,205,0,0,Azshara,,,,,,,,4128894,0,0,0,0,0,-500,0.3
17,1,0,130,64,0,11,38,7,0,0,The Barrens,,,,,,,,4128894,4,0,0,0,0,-500,0.3
18,0,12,131,64,0,11,35,1,0,7,Crystal Lake,,,,,,,,8323198,0,0,0,0,0,-500,0
19,0,33,574,64,0,11,32,3,0,40,Zul'Gurub,,,,,,,,4128894,0,0,0,0,0,-500,0
20,0,40,132,64,0,11,0,9,0,14,Moonbrook,,,,,,,,8323198,0,0,0,0,0,-500,0
21,0,0,133,64,0,11,0,8,0,0,Kul Tiras,,,,,,,,8323198,0,0,0,0,0,-500,0
22,451,0,547,1088,0,11,38,2,0,0,Programmer Isle,,,,,,,,8323198,0,0,0,0,0,-500,0.6
23,0,12,134,64,0,11,35,0,0,0,Northshire River,,,,,,,,4128894,0,0,0,0,0,-500,0
24,0,12,135,64,73,11,35,1,67,0,Northshire Abbey,,,,,,,,4128894,0,0,0,0,0,-500,0
25,0,0,136,64,0,11,46,10,0,0,Blackrock Mountain,,,,,,,,4128894,0,0,0,0,0,-500,0
26,0,40,602,64,0,11,0,7,0,0,Lighthouse,,,,,,,,4128894,0,0,0,0,0,-500,0
28,0,0,137,64,0,11,37,205,0,0,Western Plaguelands,,,,,,,,8323198,0,0,0,0,0,-500,0.3
30,0,0,138,64,0,11,0,0,0,0,Nine,,,,,,,,8323198,0,0,0,0,0,-500,0
32,0,10,139,64,0,11,0,2,0,0,The Cemetary,,,,,,,,8323198,0,0,0,0,0,-500,0
33,0,0,140,64,0,11,32,3,0,0,Stranglethorn Vale,,,,,,,,4128894,0,0,0,0,0,-500,0.3
34,0,12,141,64,0,11,35,1,0,0,Echo Ridge Mine,,,,,,,,4128894,0,0,0,0,0,-500,0
35,0,33,142,64,0,11,0,3,0,42,Booty Bay,,,,,,,,4128894,0,0,0,0,0,-500,0
36,0,0,143,64,0,11,31,1,0,0,Alterac Mountains,,,,,,,,4128894,0,0,0,0,0,-500,0.5
37,0,33,144,64,0,11,0,3,0,36,Lake Nazferiti,,,,,,,,8323198,0,0,0,0,0,-500,0
38,0,0,145,64,0,11,31,1,0,0,Loch Modan,,,,,,,,4128894,2,0,0,0,0,-500,0.1
40,0,0,146,64,0,11,47,9,0,0,Westfall,,,,,,,,4128894,2,0,0,0,0,-500,0.1
41,0,0,556,64,0,11,49,2,0,0,Deadwind Pass,,,,,,,,8323198,0,0,0,0,0,-500,0.3
42,0,10,147,64,0,11,0,2,0,25,Darkshire,,,,,,,,8323198,0,0,0,0,0,-500,0
43,0,33,148,64,0,11,0,3,0,42,Wild Shore,,,,,,,,4128894,0,0,0,0,0,-500,0
44,0,0,149,64,0,11,31,1,0,0,Redridge Mountains,,,,,,,,4128894,0,0,0,0,0,-500,0.2
45,0,0,150,64,0,11,30,8,0,0,Arathi Highlands,,,,,,,,4128894,0,0,0,0,0,-500,0.2
46,0,0,151,64,0,11,46,10,0,0,Burning Steppes,,,,,,,,8323198,0,0,0,0,0,-500,0.1
47,0,0,152,64,0,11,31,1,0,0,The Hinterlands,,,,,,,,4128894,0,0,0,0,0,-500,0.4
49,0,22,153,64,0,11,0,0,0,0,Dead Man's Hole,,,,,,,,8323198,0,0,0,0,0,-500,0
51,0,0,154,64,0,11,46,10,0,0,Searing Gorge,,,,,,,,4128894,0,0,0,0,0,-500,0.1
53,0,12,155,64,0,11,35,1,0,0,Thieves Camp,,,,,,,,8323198,0,0,0,0,0,-500,0
54,0,12,550,64,0,11,35,1,0,8,Jasperlode Mine,,,,,,,,4128894,0,0,0,0,0,-500,0
55,0,12,156,64,0,11,35,17,0,0,Valley of Heroes UNUSED,,,,,,,,4128894,0,0,0,0,0,-500,0
56,0,12,157,64,0,11,35,1,303,0,Heroes' Vigil,,,,,,,,4128894,0,0,0,0,0,-500,0
57,0,12,158,64,0,11,35,1,0,5,Fargodeep Mine,,,,,,,,4128894,0,0,0,0,0,-500,0
59,0,12,159,64,0,11,35,1,0,0,Northshire Vineyards,,,,,,,,4128894,0,0,0,0,0,-500,0
60,0,12,606,64,0,11,35,1,0,8,Forest's Edge,,,,,,,,4128894,0,0,0,0,0,-500,0
61,0,12,160,64,0,11,35,1,0,0,Thunder Falls,,,,,,,,8323198,0,0,0,0,0,-500,0
62,0,12,161,64,0,11,35,1,0,8,Brackwell Pumpkin Patch,,,,,,,,4128894,0,0,0,0,0,-500,0
