ID,ContinentID,ParentAreaID,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,ZoneMusic,IntroSound,ExplorationLevel,AreaName_lang[0],AreaName_lang[1],AreaName_lang[2],AreaName_lang[3],AreaName_lang[4],AreaName_lang[5],AreaName_lang[6],AreaName_lang[7],AreaName_lang[8],AreaName_lang[9],AreaName_lang[10],AreaName_lang[11],AreaName_lang[12],AreaName_lang[13],AreaName_lang[14],AreaName_lang[15],AreaName_lang_mask,FactionGroupMask,LiquidTypeID[0],LiquidTypeID[1],LiquidTypeID[2],LiquidTypeID[3],MinElevation,Ambient_multiplier,LightID
1,0,0,119,65,0,11,42,8,0,0,Dun Morogh,,,,,,,,,,,,,,,,16712190,2,0,0,0,0,-500,0.3,0
2,0,40,120,64,0,11,0,9,0,0,Longshore,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
3,0,0,121,64,0,11,25,7,0,0,Badlands,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.1,0
4,0,0,122,64,0,11,210,7,0,0,Blasted Lands,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
7,0,33,123,64,0,11,0,3,0,0,Blackwater Cove,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
8,0,0,124,64,0,11,33,223,0,0,Swamp of Sorrows,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.3,0
9,0,12,125,1048640,0,11,35,1,0,0,Northshire Valley,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
10,0,0,617,64,0,11,40,2,0,0,Duskwood,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.3,0
11,0,0,618,64,0,11,44,227,0,0,Wetlands,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.3,0
12,0,0,126,64,0,11,35,1,0,0,Elwynn Forest,,,,,,,,,,,,,,,,16712190,2,0,0,0,0,-500,0,0
13,0,10,555,64,0,11,48,11,0,0,The World Tree,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
14,1,0,127,64,0,11,25,9,0,0,Durotar,,,,,,,,,,,,,,,,16712190,4,0,0,0,0,-500,0.4,0
15,1,0,128,64,0,11,33,227,0,0,Dustwallow Marsh,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.4,0
16,1,0,129,64,0,11,31,205,0,0,Azshara,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.3,0
17,1,0,130,64,0,11,38,7,0,0,The Barrens,,,,,,,,,,,,,,,,16712190,4,0,0,0,0,-500,0.3,0
18,0,12,131,64,0,11,35,1,0,7,Crystal Lake,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
19,0,33,574,64,0,11,32,3,0,40,Zul'Gurub,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
20,0,40,132,64,0,11,0,9,0,14,Moonbrook,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
21,0,0,133,64,0,11,0,8,0,0,Kul Tiras,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
22,451,0,547,17472,0,11,38,2,0,0,Programmer Isle,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
23,0,12,134,1048640,0,11,35,0,0,0,Northshire River,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
24,0,12,135,1048640,73,11,35,1,67,0,Northshire Abbey,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
25,0,0,136,64,0,11,46,10,0,0,Blackrock Mountain,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
26,0,40,602,64,0,11,0,7,0,0,Lighthouse,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
28,0,0,137,64,0,11,37,205,0,0,Western Plaguelands,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.3,0
30,0,0,138,64,0,11,0,0,0,0,Nine,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
32,0,10,139,64,0,11,0,2,0,0,The Cemetary,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
33,0,0,140,64,0,11,32,3,0,0,Stranglethorn Vale,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.3,0
34,0,12,141,64,0,11,35,1,0,0,Echo Ridge Mine,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
35,0,33,142,64,0,11,0,3,0,42,Booty Bay,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
36,0,0,143,64,0,11,31,1,0,0,Alterac Mountains,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.5,0
37,0,33,144,64,0,11,0,3,0,36,Lake Nazferiti,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
38,0,0,145,64,0,11,31,1,0,0,Loch Modan,,,,,,,,,,,,,,,,16712190,2,0,0,0,0,-500,0.1,0
40,0,0,146,64,0,11,47,9,0,0,Westfall,,,,,,,,,,,,,,,,16712190,2,0,0,0,0,-500,0.1,0
41,0,0,556,64,0,11,49,2,0,0,Deadwind Pass,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0.3,0
42,0,10,147,64,0,11,0,2,0,25,Darkshire,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
43,0,33,148,64,0,11,0,3,0,42,Wild Shore,,,,,,,,,,,,,,,,16712190,0,0,0,0,0,-500,0,0
