ID,ContinentID,Pos[0],Pos[1],Pos[2],Radius,Box_length,Box_width,Box_height,Box_yaw
862,0,-14457,496.45,39.1392,28,0,0,0,0
902,0,-6606.48,-3762.19,266.91,12,0,0,0,0
1042,0,334.37,-2114.86,129.945,40,0,0,0,0
1104,0,-5096.76,750.205,260.55,2,0,0,0,0
1428,0,-11208.1,-2960.48,9.21449,2,0,0,0,0
1466,0,-7176.63,-937.667,170.206,13,0,0,0,0
1205,0,-295.639,-3460.68,193.884,14,0,0,0,0
1103,0,-14468,457.513,15.9822,2,0,0,0,0
1468,0,-7518.19,-1239.13,287.243,10,0,0,0,0
2248,0,1876.7,-1569.3,62.8674,30,0,0,0,0
2246,0,1738.5,-1184.41,66.2167,30,0,0,0,0
2217,0,3392.56,-3361.78,142.802,0,27.92,7.083,35.17,0
2175,0,-4840.26,-1330.46,508.172,10,0,0,0,0
2173,0,-8346.46,514.031,96.5989,10,0,0,0,0
2146,0,16299.2,16277.3,73.9723,0,41.28,4.667,9.306,0
1426,0,-11204.5,-2730.61,14.8972,2,0,0,0,0
2216,0,3392.46,-3396.77,143.073,0,22.81,8.083,34.69,0
1125,0,-8561.54,823.383,106.519,3,0,0,0,0
1429,0,-11337.4,-2848.93,9.34404,2,0,0,0,0
1427,0,-11079.7,-2855.64,10.6911,2,0,0,0,0
713,0,-3823.06,-834.526,18.2789,30,0,0,0,0
710,0,-5601.46,-530.747,395.483,35,0,0,0,0
708,0,-852.854,-576.712,20.0293,30,0,0,0,0
704,0,-9020.09,880.502,151.576,7,0,0,0,0
702,0,-9023.26,892.398,33.5096,7,0,0,0,0
2250,0,1480.7892,-1863.0798,60.66006,30,0,0,0,0
2249,0,1876.08,-1569.18,64.4402,35,0,0,0,0
712,0,-5390.18,-2953.93,322.03,36,0,0,0,0
707,0,-10517,-1158.39,39.0542,30,0,0,0,0
682,0,-9219.37,-2149.94,70.606,30,0,0,0,0
614,0,2859.73,-824.91,162.083,8,0,0,0,0
612,0,2877.9844,-839.2674,163.04918,6,0,0,0,0
610,0,2925.18,-820.545,161.634,8,0,0,0,0
562,0,-9465.58,16.8472,65.921,30,0,0,0,0
523,0,-4858.27,785.03,241.06,12,0,0,0,0
482,0,-8932.78,-1986.4,139.905,12,0,0,0,0
2214,0,3237.46,-4060.6,112.01,10,8.528,14.69,30.17,0
1606,0,-6657.35,-2157.1,264.133,30,0,0,0,0
1506,0,-7921.14,-2604.18,223.346,8,0,0,0,0
1446,0,-11185.1,-2834.63,116.474,2,0,0,0,0
178,0,683.771,-912.144,174.5,5,0,0,0,0
175,0,-4086.36,-2610.95,46.0143,20,0,0,0,0
173,0,1058.11,1554.68,-15,90,0,0,0,0
171,0,-5763.72,-3439.58,306.366,50,0,0,0,0
169,0,-5586.46,679.298,384.955,8,0,0,0,0
168,0,-5584.2065,759.83215,384.29016,15,0,0,0,0
145,0,-229.49,1576.35,78.8909,7,0,0,0,0
107,0,-8667.56,623.563,85.4054,7,0,0,0,0
101,0,-8758.86,851.101,88.5595,7,0,0,0,0
721,0,-7.3559,-936.734,62.3336,20,0,0,0,0
720,0,511.536,1638.63,75.4173,50,0,0,0,0
719,0,2266.68,245.993,44.4145,30,0,0,0,0
446,0,-10162.7,-3998.65,-107.978,11,0,0,0,0
382,0,-8681.4,434.439,99.259,7,0,0,0,0
362,0,-10429.435,-3828.8408,-31.629646,150,0,0,0,0
342,0,-9029.174,-608.32886,56.4679,30,0,0,0,0
324,0,-5161.33,939.623,258.288,10,0,0,0,0
286,0,-6053.73,-2954.63,213.686,10,0,0,0,0
284,0,-8681.37,434.406,99.2579,7,0,0,0,0
197,0,-9796.18,157.773,25.3878,10,0,0,0,0
196,0,-12153.621,894.01373,9.538913,80,0,0,0,0
100,0,2019.3494,1904.3594,105.14445,7,0,0,0,0
98,0,-11634.8,-54.0697,13.4439,30,0,0,0,0
97,0,-5660.33,755.299,389.605,15,0,0,0,0
88,0,-9843.54,127.525,5.3698,12,0,0,0,0
87,0,-9077.34,-552.925,60.3476,30,0,0,0,0
