ID,Type,DisplayName_lang[0],DisplayName_lang[1],DisplayName_lang[2],DisplayName_lang[3],DisplayName_lang[4],DisplayName_lang[5],DisplayName_lang[6],DisplayName_lang[7],DisplayName_lang[8],DisplayName_lang[9],DisplayName_lang[10],DisplayName_lang[11],DisplayName_lang[12],DisplayName_lang[13],DisplayName_lang[14],DisplayName_lang[15],DisplayName_lang_mask,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask,Cost_Modifier,Race,Sex,Data
3,0,Draenei Male Hair Style 1,,,,,,,,,,,,,,,,16187393,,,,,,,,,,,,,,,,,16187393,1,11,0,0
4,0,Draenei Male Hair Style 2,,,,,,,,,,,,,,,,16187393,,,,,,,,,,,,,,,,,16187393,1,11,0,1
5,0,Draenei Male Hair Style 3,,,,,,,,,,,,,,,,16187393,,,,,,,,,,,,,,,,,16187393,1,11,0,2
6,0,Draenei Male Hair Style 4,,,,,,,,,,,,,,,,16187393,,,,,,,,,,,,,,,,,16187393,1,11,0,3
7,0,Draenei Male Hair Style 5,,,,,,,,,,,,,,,,16187393,,,,,,,,,,,,,,,,,16187393,1,11,0,4
8,0,Draenei Male Hair Style 6,,,,,,,,,,,,,,,,16187393,,,,,,,,,,,,,,,,,16187393,1,11,0,5
9,0,Draenei Male Hair Style 7,,,,,,,,,,,,,,,,16187393,,,,,,,,,,,,,,,,,16187393,1,11,0,6
10,0,Draenei Male Hair Style 8,,,,,,,,,,,,,,,,16187393,,,,,,,,,,,,,,,,,16187393,1,11,0,7
11,0,Draenei Male Hair Style 9,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,8
12,1,Draenei Male Hair Color 1,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,0
13,1,Draenei Male Hair Color 2,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,1
14,1,Draenei Male Hair Color 3,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,2
15,1,Draenei Male Hair Color 4,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,3
16,1,Draenei Male Hair Color 5,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,4
17,1,Draenei Male Hair Color 6,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,5
18,1,Draenei Male Hair Color 7,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,6
19,2,Draenei Male Facial Style 1,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,0
20,2,Draenei Male Facial Style 2,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,1
21,2,Draenei Male Facial Style 3,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,2
22,2,Draenei Male Facial Style 4,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,3
23,2,Draenei Male Facial Style 5,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,4
24,2,Draenei Male Facial Style 6,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,5
25,2,Draenei Male Facial Style 7,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,6
26,2,Draenei Male Facial Style 8,,,,,,,,,,,,,,,,16187392,,,,,,,,,,,,,,,,,16187392,1,11,0,7
