ID,MapID[0],MapID[1],MapID[2],MapID[3],MapID[4],MapID[5],MapID[6],MapID[7],InstanceType,MinLevel,MaxLevel,Field_2_0_0_5610_005,Field_2_0_0_5610_006,Field_2_4_0_8089_009,GroupsAllowed,Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang[8],Name_lang[9],Name_lang[10],Name_lang[11],Name_lang[12],Name_lang[13],Name_lang[14],Name_lang[15],Name_lang_mask,Field_3_0_3_9183_010,HolidayWorldState
1,30,-1,-1,-1,-1,-1,-1,-1,3,51,80,40,10,0,1,Alterac Valley,,,,,,,,,,,,,,,,16712190,5,1941
2,489,-1,-1,-1,-1,-1,-1,-1,3,10,80,10,10,0,1,Warsong Gulch,,,,,,,,,,,,,,,,16712190,40,1942
3,529,-1,-1,-1,-1,-1,-1,-1,3,20,80,15,10,0,1,Arathi Basin,,,,,,,,,,,,,,,,16712190,40,1943
4,559,-1,-1,-1,-1,-1,-1,-1,4,10,80,5,5,0,1,Nagrand Arena,,,,,,,,,,,,,,,,16712190,40,0
5,562,-1,-1,-1,-1,-1,-1,-1,4,10,80,5,5,0,1,Blade's Edge Arena,,,,,,,,,,,,,,,,16712190,40,0
6,559,562,572,617,618,-1,-1,-1,4,10,80,5,5,0,1,All Arenas,,,,,,,,,,,,,,,,16712190,40,0
7,566,-1,-1,-1,-1,-1,-1,-1,3,61,80,15,10,9,1,Eye of the Storm,,,,,,,,,,,,,,,,16712190,40,2851
8,572,-1,-1,-1,-1,-1,-1,-1,4,10,80,5,5,0,1,Ruins of Lordaeron,,,,,,,,,,,,,,,,16712190,40,0
9,607,-1,-1,-1,-1,-1,-1,-1,3,71,80,15,10,9,1,Strand of the Ancients,,,,,,,,,,,,,,,,16712190,15,3695
10,617,-1,-1,-1,-1,-1,-1,-1,4,10,80,5,5,0,1,Dalaran Sewers,,,,,,,,,,,,,,,,16712190,40,0
11,618,-1,-1,-1,-1,-1,-1,-1,4,10,80,5,5,0,1,The Ring of Valor,,,,,,,,,,,,,,,,16712190,40,0
