ID,MapID[0],MapID[1],MapID[2],MapID[3],MapID[4],MapID[5],MapID[6],MapID[7],InstanceType,GroupsAllowed,Name_lang[0],Name_lang[1],Name_lang[2],Name_lang[3],Name_lang[4],Name_lang[5],Name_lang[6],Name_lang[7],Name_lang[8],Name_lang[9],Name_lang[10],Name_lang[11],Name_lang[12],Name_lang[13],Name_lang[14],Name_lang[15],Name_lang_mask,MaxGroupSize,HolidayWorldState,MinLevel,MaxLevel
1,30,-1,-1,-1,-1,-1,-1,-1,3,1,Alterac Valley,,,,,,,,,,,,,,,,16712190,5,1941,51,80
2,489,-1,-1,-1,-1,-1,-1,-1,3,1,Warsong Gulch,,,,,,,,,,,,,,,,16712190,10,1942,10,80
3,529,-1,-1,-1,-1,-1,-1,-1,3,1,Arathi Basin,,,,,,,,,,,,,,,,16712190,15,1943,20,80
4,559,-1,-1,-1,-1,-1,-1,-1,4,1,Nagrand Arena,,,,,,,,,,,,,,,,16712190,5,0,10,80
5,562,-1,-1,-1,-1,-1,-1,-1,4,1,Blade's Edge Arena,,,,,,,,,,,,,,,,16712190,5,0,10,80
6,559,562,572,617,618,-1,-1,-1,4,1,All Arenas,,,,,,,,,,,,,,,,16712190,5,0,10,80
7,566,-1,-1,-1,-1,-1,-1,-1,3,1,Eye of the Storm,,,,,,,,,,,,,,,,16712190,15,2851,61,80
8,572,-1,-1,-1,-1,-1,-1,-1,4,1,Ruins of Lordaeron,,,,,,,,,,,,,,,,16712190,5,0,10,80
9,607,-1,-1,-1,-1,-1,-1,-1,3,1,Strand of the Ancients,,,,,,,,,,,,,,,,16712190,15,3695,71,80
10,617,-1,-1,-1,-1,-1,-1,-1,4,1,Dalaran Sewers,,,,,,,,,,,,,,,,16712190,5,0,10,80
11,618,-1,-1,-1,-1,-1,-1,-1,4,1,The Ring of Valor,,,,,,,,,,,,,,,,16712190,5,0,10,80
30,628,-1,-1,-1,-1,-1,-1,-1,3,1,Isle of Conquest,,,,,,,,,,,,,,,,16712190,5,4273,71,80
32,30,489,529,566,607,628,-1,-1,3,1,Random Battleground,,,,,,,,,,,,,,,,16712190,5,0,0,0
